BM,Docker,LXC,DockerIso
2.272,9.923,8.021,0.849
 0.502, 18.939, 21.945, 0.506
 0.761, 18.686, 20.151, 10.485
 19.799, 19.444, 20.551, 18.891
 22.11, 52.13, 20.3, 19.437
 21.446, 47.63, 20.151, 38.847
 46.733, 50.377, 20.05, 74.873
 54.177, 56.281, 57.653, 73.684
 50.626, 55.919, 59.6, 73.214
 56.202, 54.887, 57.788, 74.055
 59.85, 55.555, 57.286, 75.566
 57.393, 59.595, 58.227, 72.979
 59.147, 73.027, 57.934, 79.545
 71.321, 73.521, 59.644, 81.155
 76.962, 73.791, 59.296, 89.672
 75.949, 74.747, 67.002, 89.552
 77.135, 74.3, 75.189, 90.703
 76.455, 74.242, 78.625, 90.476
 75.187, 80.604, 79.145, 90.225
 77.944, 81.012, 77.353, 91.183
 79.493, 79.145, 76.01, 90.274
 81.612, 79.345, 81.979, 90.274
 79.04, 79.949, 80.555, 95.979
 79.75, 87.185, 92.911, 97.493
 81.265, 88.721, 92.307, 96.758
 85.714, 90.024, 93.734, 97.994
 91.457, 90.931, 91.979, 95.0
 91.645, 90.931, 93.654, 96.992
 92.676, 90.476, 94.0, 95.979
 91.979, 90.5, 92.964, 95.979
 91.183, 90.931, 96.741, 95.979
 91.919, 96.733, 97.0, 96.5
 90.25, 96.0, 96.482, 96.75
 93.984, 98.0, 96.984, 95.979
 96.969, 95.979, 96.725, 96.24
 97.25, 95.979, 95.696, 95.76
 97.474, 97.236, 96.464, 96.231
 95.477, 95.226, 94.221, 97.236
 96.24, 97.989, 95.739, 96.24
 97.229, 96.758, 96.473, 97.493
 97.0, 97.243, 96.969, 97.0
 96.725, 96.231, 95.979, 96.758
 95.189, 97.022, 94.221, 97.481
 97.738, 97.487, 97.243, 95.488
 96.231, 96.259, 96.992, 96.977
 96.221, 95.477, 97.487, 94.763
 94.962, 95.5, 95.477, 97.243
 96.75, 96.741, 96.741, 96.733
 96.221, 96.0, 95.189, 95.488
 97.222, 97.007, 96.491, 95.5
 95.477, 95.728, 95.949, 97.25
 96.717, 96.259, 95.477, 97.732
 97.493, 96.009, 96.221, 96.25
 95.214, 95.717, 96.708, 96.984
 96.231, 95.989, 96.464, 96.491
 96.717, 96.277, 95.717, 95.25
 96.491, 96.725, 97.222, 95.989
 96.183, 97.263, 95.261, 96.491
 96.992, 95.989, 95.728, 97.487
 96.491, 96.0, 94.936, 97.487
 95.488, 96.212, 95.707, 95.979
 96.962, 97.243, 95.979, 97.256
 95.696, 96.977, 95.707, 97.75
 97.222, 97.493, 96.25, 96.977
 94.962, 96.75, 96.464, 96.019
 96.24, 96.984, 96.758, 96.5
 96.221, 96.758, 96.977, 96.482
 97.732, 96.24, 95.969, 96.482
 97.201, 94.987, 95.0, 97.256
 95.477, 93.984, 97.215, 97.493
 95.717, 95.477, 91.959, 96.5
 96.0, 95.989, 96.0, 97.744
 97.243, 96.231, 96.212, 97.25
 97.487, 96.25, 97.236, 95.979
 95.488, 96.984, 96.984, 95.238
 96.455, 97.994, 97.487, 96.75
 97.468, 95.488, 96.482, 96.741
 96.725, 96.0, 95.465, 96.977
 96.508, 96.24, 96.455, 96.268
 96.733, 96.992, 94.736, 97.007
 96.725, 96.491, 93.969, 95.477
 96.482, 96.733, 95.261, 97.243
 96.221, 96.473, 95.969, 96.24
 97.0, 96.75, 96.464, 96.0
 97.969, 95.979, 96.717, 96.977
 96.221, 96.24, 97.215, 95.522
 94.776, 98.254, 95.707, 97.989
 95.969, 97.229, 95.989, 97.256
 97.229, 96.741, 96.212, 96.24
 95.989, 95.979, 96.977, 95.75
 97.5, 96.0, 95.717, 95.949
 95.214, 97.25, 93.45, 96.75
 95.273, 96.508, 96.491, 95.739
 97.738, 96.0, 96.977, 94.5
 95.717, 96.491, 96.231, 98.236
 97.493, 96.25, 96.733, 96.24
 97.468, 95.75, 96.977, 97.243
 94.67, 96.482, 95.707, 96.766
 96.708, 96.5, 96.725, 96.992
 95.979, 95.75, 96.24, 96.231
 96.977, 96.009, 96.977, 97.5
 97.487, 96.491, 95.989, 96.75
 96.992, 96.733, 94.221, 95.477
 95.226, 96.741, 96.464, 96.733
 97.243, 97.75, 96.75, 96.984
 96.725, 96.0, 95.226, 96.259
 97.732, 95.979, 95.685, 95.717
 97.984, 95.0, 95.037, 97.732
 95.969, 96.5, 96.725, 96.75
 97.229, 94.763, 96.221, 96.984
 96.491, 96.733, 96.725, 96.491
 98.004, 94.763, 95.959, 95.75
 96.774, 96.24, 96.473, 96.231
 96.977, 96.25, 94.25, 96.482
 96.717, 97.732, 97.468, 96.977
 97.236, 96.482, 94.67, 96.992
 96.491, 96.0, 94.25, 95.979
 96.984, 95.214, 95.214, 95.214
 94.987, 96.758, 95.717, 96.766
 95.979, 95.728, 94.723, 96.733
 95.739, 96.491, 96.212, 96.25
 96.202, 95.989, 94.25, 95.739
 96.75, 97.236, 96.708, 96.741
 96.437, 96.508, 94.235, 96.009
 96.969, 96.491, 96.473, 97.984
 97.25, 95.75, 96.212, 95.989
 97.222, 97.984, 95.454, 96.992
 95.477, 95.739, 95.989, 96.741
 96.725, 97.25, 97.468, 95.739
 95.488, 96.5, 96.758, 96.741
