BM,Docker,LXC,DockerIso
15.189,37.531,23.308,0.505
 20.101, 21.859, 23.425, 11.363
 19.338, 19.346, 24.747, 19.24
 20.1, 18.987, 20.551, 20.204
 34.508, 19.493, 25.188, 18.639
 54.773, 19.083, 40.149, 19.799
 82.294, 35.427, 83.418, 80.451
 62.82, 83.291, 71.867, 80.203
 59.168, 72.564, 77.777, 64.058
 59.53, 79.064, 71.938, 69.387
 65.482, 85.0, 67.01, 79.898
 78.974, 66.334, 69.509, 86.153
 83.037, 67.774, 75.647, 84.143
 81.795, 75.186, 85.111, 87.563
 80.75, 82.025, 85.642, 87.25
 81.17, 82.957, 86.835, 85.5
 78.817, 86.0, 86.934, 88.308
 80.653, 86.029, 87.75, 87.939
 89.724, 81.047, 87.373, 88.664
 92.151, 82.531, 86.294, 86.75
 91.646, 81.592, 88.19, 89.698
 91.687, 88.916, 86.18, 86.783
 91.271, 87.064, 86.881, 90.977
 92.875, 88.721, 89.672, 92.079
 89.974, 85.75, 89.526, 89.672
 92.424, 86.329, 90.726, 92.0
 89.724, 83.743, 90.151, 90.954
 91.645, 85.822, 91.25, 90.726
 92.424, 86.533, 90.452, 92.211
 92.964, 87.531, 89.141, 91.457
 92.288, 88.029, 89.25, 91.228
 93.181, 86.716, 90.632, 90.5
 93.67, 86.716, 91.457, 91.542
 92.191, 91.228, 91.414, 90.75
 94.472, 91.0, 90.954, 91.022
 93.316, 91.271, 89.195, 91.708
 93.718, 91.5, 89.924, 90.931
 93.467, 91.959, 89.168, 90.024
 92.25, 91.228, 93.216, 91.271
 93.216, 93.25, 89.195, 91.457
 94.5, 89.276, 90.355, 91.293
 92.424, 90.024, 90.931, 91.645
 89.8, 91.435, 89.25, 90.68
 93.266, 92.23, 90.656, 91.979
 92.929, 92.75, 89.393, 90.5
 92.768, 92.713, 91.206, 90.726
 94.736, 89.578, 90.954, 90.523
 93.718, 91.271, 89.898, 90.75
 93.233, 91.75, 90.298, 91.687
 92.947, 89.303, 89.8, 91.478
 92.676, 90.476, 90.201, 89.974
 91.542, 91.979, 89.924, 90.404
 93.434, 92.111, 89.8, 90.25
 93.0, 91.521, 89.34, 90.523
 92.713, 90.201, 90.151, 89.447
 93.467, 89.33, 90.954, 90.726
 94.191, 91.139, 91.5, 90.523
 92.171, 89.5, 90.476, 90.703
 92.676, 90.0, 90.954, 91.5
 93.45, 90.201, 89.473, 91.687
 92.366, 90.523, 92.23, 90.0
 93.198, 91.478, 90.862, 91.979
 94.206, 91.478, 91.206, 89.724
 91.831, 90.225, 89.5, 92.0
 91.959, 90.773, 90.176, 91.066
 92.481, 90.977, 90.547, 90.476
 93.516, 91.293, 88.778, 91.959
 93.25, 93.266, 90.201, 89.526
 92.75, 90.523, 89.724, 91.979
 91.206, 91.729, 91.414, 91.271
 93.765, 89.603, 89.393, 89.75
 91.645, 92.019, 90.379, 90.225
 93.483, 90.225, 90.176, 91.729
 92.462, 90.75, 90.476, 91.708
 92.481, 92.211, 89.108, 92.019
 91.919, 90.977, 91.939, 91.044
 93.638, 90.37, 91.457, 90.274
 93.25, 92.786, 88.833, 90.049
 93.434, 90.404, 90.68, 90.074
 92.211, 90.656, 91.206, 91.457
 93.233, 91.542, 91.139, 91.336
 94.147, 91.729, 89.924, 90.931
 92.039, 92.25, 89.646, 90.476
 93.718, 90.5, 91.435, 91.939
 91.939, 90.0, 90.099, 90.726
 93.765, 90.726, 88.669, 89.473
 91.729, 91.271, 89.974, 91.25
 91.75, 91.77, 89.195, 91.206
 91.521, 91.729, 90.298, 91.939
 91.939, 92.731, 89.924, 90.977
 92.211, 90.931, 90.617, 90.931
 93.0, 90.977, 91.161, 90.274
 93.954, 90.773, 89.113, 89.974
 93.516, 92.5, 90.703, 92.019
 93.434, 91.542, 90.074, 91.5
 92.5, 90.75, 90.298, 90.75
 92.039, 91.435, 90.298, 91.77
 93.401, 90.656, 89.75, 91.5
 92.269, 90.298, 90.656, 90.703
 92.75, 91.228, 90.726, 91.457
 90.841, 90.024, 90.404, 91.206
 92.695, 90.977, 89.081, 92.0
 91.959, 90.5, 90.5, 90.274
 93.718, 90.726, 89.75, 91.979
 92.713, 89.303, 90.452, 91.206
 91.959, 95.0, 90.379, 92.191
 92.982, 92.269, 89.672, 92.443
 93.164, 90.274, 90.452, 90.428
 92.982, 91.5, 90.656, 90.841
 93.434, 92.039, 89.135, 91.435
 92.23, 91.478, 88.972, 90.523
 92.929, 92.964, 91.815, 90.931
 92.695, 91.729, 89.0, 91.0
