BM,Docker,LXC,DockerIso
0.505,1.007,9.319,6.532
 17.839, 5.822, 19.949, 18.829
 26.932, 18.939, 21.662, 19.083
 20.959, 22.418, 20.403, 19.849
 20.654, 18.939, 21.804, 58.5
 20.3, 19.597, 19.949, 53.517
 43.181, 20.707, 27.455, 54.911
 54.911, 20.843, 57.43, 54.911
 51.5, 23.037, 53.148, 53.615
 56.06, 52.882, 54.292, 66.165
 55.889, 53.768, 54.887, 73.164
 55.076, 55.415, 55.667, 74.12
 55.25, 52.896, 55.334, 76.767
 54.659, 54.271, 57.537, 77.974
 69.095, 53.98, 55.0, 76.59
 74.242, 60.552, 54.271, 73.536
 73.684, 73.299, 55.276, 79.04
 73.484, 73.047, 54.838, 88.693
 73.75, 73.604, 56.14, 91.729
 73.989, 74.623, 54.636, 92.191
 77.944, 73.75, 55.5, 90.225
 78.282, 77.5, 56.25, 96.491
 79.24, 77.777, 63.341, 98.0
 86.868, 81.047, 74.619, 98.0
 92.982, 85.0, 76.53, 97.236
 92.676, 90.25, 74.358, 96.977
 93.984, 90.68, 76.081, 97.493
 95.707, 90.977, 75.126, 98.496
 94.0, 92.518, 76.574, 96.508
 94.974, 91.25, 77.918, 97.744
 96.5, 91.729, 79.389, 97.25
 95.949, 91.478, 75.126, 97.75
 96.717, 97.243, 89.62, 98.746
 97.25, 98.241, 92.893, 96.5
 96.977, 97.755, 96.984, 96.984
 97.493, 96.984, 97.487, 95.739
 96.473, 96.992, 95.979, 97.75
 97.229, 96.491, 96.482, 96.75
 95.739, 98.245, 97.0, 97.487
 97.721, 97.732, 97.487, 96.733
 96.455, 98.25, 95.728, 97.493
 97.236, 95.75, 97.493, 98.004
 97.481, 96.24, 97.989, 98.488
 97.208, 98.0, 97.989, 98.009
 96.977, 97.75, 96.24, 97.732
 97.481, 96.992, 96.725, 97.75
 97.989, 97.744, 95.707, 97.994
 96.473, 96.741, 96.231, 96.758
 96.482, 96.741, 95.739, 97.979
 97.222, 97.243, 96.992, 97.014
 97.5, 96.508, 97.243, 97.229
 97.25, 97.222, 96.717, 97.5
 97.989, 97.243, 97.481, 97.256
 98.0, 97.989, 97.25, 97.727
 97.481, 96.24, 98.236, 96.0
 98.5, 97.994, 97.506, 96.992
 95.454, 97.256, 97.468, 97.014
 97.487, 97.487, 94.736, 97.25
 96.733, 97.25, 96.741, 97.236
 97.481, 96.491, 97.481, 96.491
 95.739, 97.5, 95.465, 97.755
 97.236, 97.481, 97.014, 96.977
 97.493, 97.989, 97.474, 97.243
 96.969, 97.487, 96.992, 96.24
 97.474, 97.256, 96.708, 97.994
 96.491, 97.243, 96.984, 96.75
 97.236, 97.755, 93.67, 96.725
 96.482, 96.977, 96.984, 97.014
 96.725, 97.989, 95.75, 97.493
 97.5, 96.75, 97.474, 97.25
 96.725, 97.25, 96.977, 96.984
 96.969, 96.758, 96.473, 97.75
 96.717, 97.738, 97.493, 97.25
 95.959, 97.766, 96.758, 96.984
 96.992, 98.492, 97.481, 96.75
 98.236, 97.493, 96.491, 97.744
 97.5, 98.0, 96.969, 96.741
 96.221, 96.992, 96.231, 97.493
 98.492, 97.506, 96.992, 96.758
 97.979, 96.75, 96.482, 97.989
 97.256, 97.493, 96.992, 96.259
 97.738, 97.236, 96.221, 95.979
 97.481, 97.727, 97.0, 97.236
 98.496, 98.009, 94.723, 97.25
 97.474, 98.245, 96.717, 97.243
 97.732, 98.245, 97.744, 96.984
 96.984, 97.493, 97.215, 97.989
