BM,Docker,LXC,DockerIso
5.735,1.002,54.385,18.0
 85.858, 85.39, 95.189, 89.75
 95.477, 97.222, 94.696, 95.979
 96.202, 96.287, 95.739, 97.256
 96.277, 97.732, 92.929, 97.236
 95.408, 96.473, 97.222, 96.992
 97.243, 97.75, 96.733, 96.725
 97.5, 96.009, 97.229, 97.256
 97.256, 97.0, 96.5, 97.25
 96.221, 96.992, 96.977, 97.506
 97.994, 97.493, 96.984, 96.231
 96.977, 95.238, 95.739, 98.25
 97.243, 97.014, 95.707, 97.5
 96.019, 95.979, 97.243, 94.235
 97.979, 97.25, 96.25, 98.254
 95.238, 97.493, 97.487, 97.506
 97.215, 97.0, 96.212, 96.977
 96.491, 95.717, 97.755, 96.75
 96.758, 97.0, 93.702, 96.717
 97.969, 96.75, 97.222, 96.733
 95.511, 97.984, 95.728, 96.508
 97.25, 96.009, 95.465, 97.738
 97.493, 97.493, 95.728, 97.994
 97.732, 96.009, 95.739, 96.758
 97.493, 96.733, 95.465, 96.5
 98.492, 97.75, 96.25, 97.229
 96.25, 97.0, 97.0, 96.24
 96.7, 98.492, 96.24, 97.5
 97.5, 98.997, 95.202, 96.725
 94.974, 97.236, 96.482, 96.992
 96.766, 96.508, 96.992, 96.733
 96.24, 97.989, 96.482, 97.487
 96.741, 96.009, 94.235, 95.75
 96.984, 96.009, 96.482, 96.25
 96.482, 97.75, 96.173, 96.977
 97.493, 96.977, 95.989, 97.25
 97.25, 96.5, 96.491, 97.0
 96.984, 96.0, 95.408, 97.243
 97.5, 96.24, 96.508, 96.0
 96.482, 98.0, 95.454, 95.989
 97.732, 97.243, 96.24, 96.202
 96.24, 96.5, 96.259, 98.5
 97.474, 96.259, 95.214, 97.243
 95.728, 97.75, 95.979, 96.473
 96.24, 96.473, 95.989, 97.994
 97.715, 95.261, 96.482, 96.75
 96.758, 96.725, 93.984, 97.493
 97.25, 96.517, 95.477, 97.25
 95.969, 98.236, 95.189, 98.484
 96.259, 95.76, 95.226, 96.5
 96.221, 97.738, 94.206, 96.009
 96.984, 94.75, 96.464, 97.493
 95.261, 97.5, 94.71, 97.5
 96.725, 97.481, 96.473, 96.5
 95.979, 96.5, 95.454, 97.738
 95.949, 97.989, 96.5, 96.75
 96.741, 96.75, 93.924, 96.491
 96.491, 97.243, 95.465, 96.992
 95.717, 97.989, 96.019, 95.5
 96.992, 97.5, 96.24, 97.493
 96.984, 96.5, 93.164, 97.5
 95.707, 97.75, 95.214, 96.231
 97.738, 97.25, 95.696, 98.5
 96.491, 97.25, 94.235, 97.0
 96.24, 96.984, 97.474, 97.744
 96.446, 98.241, 94.736, 97.25
 97.989, 96.984, 95.707, 96.75
 97.493, 98.0, 97.744, 97.487
 97.256, 96.5, 94.987, 97.256
 98.009, 97.236, 96.473, 97.994
 96.464, 99.0, 95.238, 96.25
 97.5, 96.508, 96.473, 97.0
 95.949, 96.75, 95.728, 96.977
 96.221, 97.994, 96.984, 97.007
 96.25, 98.0, 96.231, 96.491
 96.543, 96.733, 94.486, 96.741
 98.746, 96.75, 95.202, 96.24
 97.229, 98.25, 95.454, 95.226
 97.75, 95.261, 97.229, 98.5
 97.738, 95.75, 96.725, 96.75
 97.243, 98.496, 97.989, 97.721
 96.25, 95.488, 96.473, 97.007
 97.487, 97.487, 97.994, 95.75
 96.992, 97.014, 95.717, 96.0
 95.696, 96.231, 96.508, 96.482
 97.481, 96.766, 96.231, 97.75
 96.741, 96.25, 97.007, 96.758
 95.465, 97.481, 96.491, 96.717
 96.221, 96.75, 96.5, 97.994
 96.992, 97.229, 95.707, 95.75
 96.977, 98.0, 95.238, 96.259
 96.977, 96.984, 97.215, 98.492
 98.009, 98.746, 95.488, 95.488
 95.465, 96.977, 96.464, 95.989
 97.25, 97.5, 96.482, 96.259
 96.183, 95.76, 96.733, 96.733
 95.969, 98.0, 97.984, 98.492
 97.243, 97.487, 96.482, 96.0
 97.732, 97.75, 96.231, 96.259
 94.736, 96.0, 96.231, 97.744
 98.236, 98.0, 96.473, 97.236
 97.229, 97.493, 96.725, 96.231
 95.465, 98.0, 95.959, 96.5
 96.25, 96.984, 94.416, 97.493
 98.241, 96.491, 95.685, 97.994
 96.969, 96.75, 96.221, 95.989
 97.236, 97.0, 97.487, 97.25
 98.254, 96.491, 96.725, 95.989
 97.487, 96.733, 97.738, 96.491
 97.506, 97.0, 95.25, 97.75
 96.428, 96.75, 95.739, 97.994
 97.761, 97.5, 96.984, 96.75
 96.984, 96.992, 96.24, 97.744
 97.0, 96.733, 95.717, 96.75
 96.24, 98.25, 96.221, 97.994
 97.744, 96.758, 94.962, 96.24
 96.259, 97.744, 97.236, 98.25
 96.725, 97.229, 95.238, 96.741
 95.707, 97.755, 95.5, 98.753
 97.25, 98.0, 95.5, 94.5
 97.744, 98.496, 95.739, 96.491
 96.733, 94.71, 95.728, 96.992
 96.491, 96.75, 97.0, 96.491
 95.214, 96.984, 96.508, 98.503
 96.491, 98.0, 98.227, 96.231
 97.493, 95.75, 94.472, 98.245
 97.25, 98.25, 95.959, 97.014
 96.75, 95.76, 96.733, 96.984
 97.215, 96.992, 95.189, 95.024
 96.202, 96.992, 96.717, 96.992
 96.221, 97.493, 96.984, 95.739
 96.741, 97.506, 96.725, 98.245
 95.969, 96.992, 96.464, 97.487
 96.508, 94.75, 95.0, 97.0
 96.482, 97.732, 96.24, 96.969
 97.994, 97.744, 94.949, 97.506
 96.455, 96.508, 94.177, 96.24
 97.979, 96.725, 97.744, 97.493
 96.231, 96.473, 95.979, 97.243
 96.24, 96.766, 96.5, 95.989
 97.487, 98.488, 96.741, 97.493
 95.979, 96.009, 94.962, 96.491
 96.473, 97.25, 96.7, 95.728
 96.5, 97.487, 97.989, 97.738
 97.229, 95.511, 96.221, 97.994
 96.464, 97.487, 97.236, 97.75
 95.979, 97.994, 96.25, 98.492
 96.24, 97.007, 97.5, 95.273
 97.222, 97.481, 94.936, 96.741
 95.75, 97.25, 94.458, 96.5
 95.969, 96.766, 95.959, 97.007
 96.473, 94.486, 96.259, 96.733
 97.243, 95.771, 96.984, 95.969
 96.25, 97.243, 94.75, 96.741
 96.202, 95.261, 95.969, 97.755
 95.728, 97.989, 96.992, 96.25
 97.229, 97.755, 97.994, 96.733
 97.022, 98.004, 96.491, 98.25
 97.236, 97.487, 97.236, 97.761
 96.741, 97.5, 95.989, 96.491
 98.492, 96.212, 96.24, 97.738
 94.264, 97.25, 96.984, 96.25
 97.732, 96.75, 95.979, 96.984
 95.739, 96.24, 97.744, 95.477
 96.202, 96.717, 94.458, 97.215
 97.007, 98.0, 95.989, 96.508
 97.738, 96.25, 96.977, 98.25
 96.268, 97.481, 96.24, 97.989
 96.717, 95.989, 97.256, 97.27
 97.0, 97.5, 95.979, 96.984
 97.474, 98.746, 96.455, 98.0
 95.707, 98.245, 96.5, 98.0
 95.75, 97.0, 94.987, 97.0
 98.236, 97.994, 96.24, 97.75
 96.741, 95.238, 94.458, 95.739
 98.245, 97.25, 96.984, 97.014
 92.964, 94.987, 94.723, 95.707
 97.215, 97.25, 97.732, 96.0
 96.473, 96.75, 96.24, 97.744
 96.221, 97.994, 94.723, 96.741
 96.482, 95.739, 96.733, 97.007
 96.473, 97.744, 97.263, 97.994
 96.221, 97.5, 96.473, 97.0
 96.984, 95.261, 96.508, 97.75
 98.258, 97.75, 97.727, 96.491
 96.992, 96.212, 95.739, 97.487
 96.708, 96.517, 97.481, 96.0
 97.5, 96.473, 95.959, 96.733
 95.717, 97.236, 96.766, 95.75
 97.0, 95.75, 97.493, 96.5
 96.221, 97.984, 95.226, 96.24
 95.261, 96.758, 95.959, 96.5
 95.949, 96.733, 95.477, 96.984
 98.258, 97.75, 93.467, 95.25
 97.0, 98.997, 97.744, 97.989
 97.25, 96.758, 95.5, 96.25
 97.487, 97.493, 96.24, 97.487
 98.756, 95.739, 96.758, 96.5
 95.189, 96.758, 96.183, 98.0
 97.5, 97.243, 96.0, 97.236
 96.212, 97.75, 96.482, 96.491
 97.007, 96.009, 97.738, 97.243
 96.725, 97.493, 95.75, 98.254
 97.007, 97.243, 96.741, 96.473
 95.959, 96.733, 95.238, 95.75
 98.232, 97.994, 96.491, 96.259
 94.177, 95.75, 96.25, 96.741
 97.243, 97.738, 94.962, 97.487
 98.004, 97.25, 94.0, 96.766
 98.492, 97.243, 95.739, 97.0
 96.5, 97.75, 96.977, 96.758
 95.728, 97.256, 97.229, 96.969
 97.744, 98.236, 96.741, 97.014
 95.5, 95.728, 95.465, 98.004
 96.969, 97.755, 97.721, 96.5
 95.454, 96.491, 95.214, 97.744
 96.741, 97.989, 96.733, 97.25
 96.482, 95.75, 95.431, 97.481
 96.992, 98.0, 96.992, 96.259
 96.741, 95.717, 96.259, 97.481
 93.702, 97.506, 96.5, 98.004
 96.992, 97.738, 95.454, 97.0
 94.43, 96.231, 94.486, 96.741
 96.725, 97.236, 97.744, 96.992
 98.254, 95.979, 96.741, 98.0
 96.473, 97.487, 96.977, 97.25
 97.75, 92.481, 95.238, 97.243
 96.221, 96.725, 96.977, 96.5
 97.744, 97.755, 97.243, 98.25
