BM,Docker,LXC,DockerIso
2741.502,4394.264,4263.058,3052.765
 2643.5, 4146.801, 4538.81, 4268.108
 2874.44, 4201.881, 3941.157, 3874.325
 2781.851, 4298.073, 3597.317, 3962.305
 2748.072, 4021.433, 3875.528, 4195.363
 1674.051, 3910.674, 4219.034, 4121.259
 1195.327, 3635.955, 3927.161, 3472.072
 1057.649, 4340.87, 4031.039, 3702.115
 900.048, 4246.847, 3982.57, 4088.667
 1126.723, 4190.695, 3658.94, 3926.22
 1035.081, 3922.675, 3768.167, 3928.116
 1050.767, 3893.184, 3915.883, 3344.825
 2212.233, 4008.004, 3349.348, 3971.369
 2929.297, 4388.197, 3890.239, 4268.131
 3233.219, 3843.849, 4299.347, 3726.291
 2928.526, 4171.706, 3578.549, 4042.077
 2580.858, 3975.793, 3380.974, 4056.853
 3104.522, 3959.614, 3598.878, 4271.332
 2839.427, 3866.983, 4005.903, 3986.971
 2970.379, 3738.566, 3795.209, 3589.431
 2945.395, 3792.906, 3659.864, 3610.849
 2590.834, 4051.674, 3501.424, 4023.891
 2726.89, 3954.327, 3829.357, 3975.856
 2760.252, 4287.046, 3627.146, 3874.639
 2829.693, 3426.337, 3705.634, 4159.978
 2806.81, 3846.29, 3923.379, 4220.675
 2606.829, 4426.797, 3763.969, 3905.849
 3170.532, 3440.507, 3507.714, 3109.841
 2531.002, 4346.592, 3793.279, 3907.195
 2788.746, 3588.393, 3337.475, 3646.687
 2900.519, 3527.088, 3724.866, 4441.698
 2396.473, 4430.912, 3388.035, 4009.175
 3097.149, 3547.569, 3586.151, 3617.513
 2553.962, 3611.739, 3653.565, 3758.214
 2923.354, 4119.556, 3475.925, 3821.997
 2388.962, 3738.084, 3936.275, 4198.768
 3102.809, 3449.229, 3459.244, 3878.848
 2868.044, 4227.446, 3637.549, 3470.148
 2506.821, 3700.943, 3076.208, 4498.256
 2905.436, 3453.304, 4319.131, 3579.135
 2629.511, 3959.323, 3374.21, 4260.154
 2793.833, 4130.708, 3782.835, 3359.0
 2671.693, 3473.815, 3611.563, 3447.336
 3148.398, 4003.719, 3541.485, 4426.81
 2706.383, 4021.424, 3768.75, 3681.463
 2641.893, 3565.099, 3372.135, 3954.787
 2485.788, 3680.399, 3513.565, 3698.372
 3119.306, 3760.166, 3717.486, 4170.304
 2404.229, 4159.233, 3241.283, 3625.282
 3196.632, 3848.62, 3998.899, 4153.176
 2561.473, 3454.559, 3403.851, 3664.333
 2746.887, 4211.621, 3588.129, 3228.189
 2763.661, 3417.224, 3851.198, 3701.378
 2719.206, 4016.491, 3774.604, 3608.85
 2966.548, 3684.878, 3923.2, 3862.206
 2583.32, 3807.614, 3595.975, 4022.607
 2949.726, 4222.609, 3056.674, 3384.872
 2761.747, 3840.24, 3936.22, 3775.193
 2191.503, 3536.117, 3078.224, 4324.531
 2935.857, 3676.737, 3241.983, 3565.749
 2537.197, 4138.339, 3649.196, 3547.356
 2903.221, 3868.257, 3728.005, 3353.661
 2724.631, 3398.453, 3556.138, 3587.004
 3100.033, 4090.191, 3984.647, 3617.824
 2508.722, 3668.365, 3541.198, 3747.892
 2627.015, 3907.131, 3900.261, 3516.096
 2482.749, 4205.367, 3904.796, 3982.458
 3039.259, 3719.206, 3215.022, 3468.915
 2813.95, 3683.179, 3226.898, 3680.696
 2781.091, 3815.749, 4280.684, 3736.095
 2568.352, 3905.072, 3653.843, 3385.312
 2587.443, 3365.557, 3803.382, 3811.546
 2451.944, 4252.81, 3678.855, 3570.791
 2822.986, 3546.011, 3767.023, 3751.011
 2760.522, 3957.839, 3552.03, 3305.485
 2733.73, 3845.649, 3652.157, 4103.139
 2996.79, 3634.002, 4156.081, 3533.867
 2585.316, 3494.551, 3457.62, 3737.083
 2639.287, 4274.021, 3555.781, 4110.019
 2932.031, 3396.861, 3966.469, 3752.238
 2585.131, 4367.398, 3364.761, 3848.027
 2854.564, 3838.997, 3367.637, 3911.343
 2826.038, 4008.043, 3732.13, 3329.647
 2834.966, 2887.96, 3779.388, 3741.533
 2771.62, 3968.558, 3328.506, 3803.482
 2460.993, 3633.081, 4127.537, 4012.594
 2960.184, 3821.033, 3677.559, 3776.246
 2371.447, 3625.718, 3569.28, 3515.611
 3230.831, 3865.164, 3573.75, 4124.582
 2291.507, 3915.442, 3592.65, 3603.481
 2910.979, 3621.521, 3977.54, 3687.149
 2552.073, 3878.332, 3422.742, 4082.389
 2644.034, 3948.981, 3603.105, 3207.921
 2717.847, 3986.384, 3582.088, 3683.594
 2587.925, 3625.809, 4189.972, 3784.204
 2933.323, 3585.726, 3725.726, 3307.263
 2673.298, 3802.395, 3752.997, 3262.795
 2829.595, 3558.344, 3433.839, 3959.015
 2667.236, 4339.956, 3417.841, 3384.492
 2718.277, 3701.697, 3952.708, 3452.766
 2273.847, 4331.424, 3915.309, 3505.395
 2835.867, 3368.916, 3652.401, 4154.875
 2700.267, 4168.866, 3762.039, 3708.923
 2625.052, 3881.454, 3704.333, 3583.169
 2439.421, 3790.474, 3441.839, 3351.674
 2442.133, 3504.178, 3752.918, 3884.254
 2374.26, 4112.476, 4150.784, 3686.675
 2665.1, 3915.183, 3486.689, 3538.846
 2340.632, 3349.767, 3992.99, 3409.52
 2581.647, 3592.677, 3480.955, 3585.606
 2711.069, 3587.372, 3719.526, 3958.733
 2400.548, 3943.949, 3689.378, 3631.188
 2745.877, 3881.953, 4340.587, 3736.083
 2421.875, 4047.559, 3534.987, 3582.375
 2429.558, 3527.111, 3936.021, 3391.869
 2203.664, 3680.028, 3799.439, 3527.15
 2987.948, 3756.694, 3459.731, 3997.319
 2561.744, 3960.486, 4157.336, 3577.454
 2105.69, 3609.261, 3310.309, 3874.558
 2846.056, 4095.52, 3585.307, 3244.323
 2545.7, 3364.414, 3850.897, 4010.233
 2477.416, 4230.873, 3400.957, 3534.188
 2213.898, 3394.435, 3852.384, 3400.28
 2819.513, 4117.368, 3840.153, 4103.562
 2154.018, 3763.023, 3667.359, 3213.225
 3117.666, 3924.463, 3743.435, 3645.454
 2269.031, 3482.361, 3348.955, 3315.827
 2470.73, 3906.829, 3392.715, 3656.76
 2323.864, 4152.614, 3860.061, 3447.823
 2563.634, 3723.564, 4050.073, 3420.977
 2211.485, 4199.465, 3676.368, 3511.808
 2766.875, 3740.499, 3259.745, 3965.996
 2708.161, 3664.423, 3613.956, 3771.51
 2408.161, 4085.48, 3774.237, 3553.981
 2953.584, 3170.984, 3822.129, 3386.37
 2017.296, 4208.773, 3499.691, 3818.916
 2526.454, 3877.394, 3483.271, 3309.405
 2695.303, 3797.283, 3519.957, 3499.287
 2445.142, 4079.533, 3597.916, 3442.175
 3077.629, 3838.031, 3424.014, 3789.999
 2406.698, 3887.443, 3813.308, 4115.437
 2440.349, 3156.09, 3757.183, 3726.442
 2794.361, 3965.666, 3404.616, 3725.6
 2521.547, 3566.171, 3690.685, 4050.334
 2936.222, 4045.317, 3433.126, 3296.1
 2557.182, 3644.776, 3944.114, 3274.865
 2453.076, 3901.313, 3864.039, 4132.268
 2436.916, 3728.593, 3661.579, 3467.492
 2936.596, 3496.536, 3582.403, 3363.795
 2371.375, 3428.517, 3465.078, 4121.987
 2544.574, 3614.461, 3947.736, 3215.263
 2376.617, 3767.929, 3386.997, 4093.286
 2557.144, 4303.222, 3709.017, 3105.276
 2655.381, 3652.943, 4072.132, 3923.418
 2550.472, 4058.903, 3491.472, 3717.539
 2213.375, 3669.759, 3519.334, 3627.05
 2680.482, 4049.45, 4115.291, 3200.561
 2620.519, 3580.381, 3666.846, 3260.616
 2805.738, 3991.822, 3286.073, 3896.197
 2345.058, 3901.952, 3791.408, 3756.667
 2882.881, 3976.923, 3318.96, 3191.482
 2178.664, 3652.261, 3999.642, 3523.999
 2911.471, 3442.894, 3623.166, 3000.45
 2102.071, 3866.107, 3711.389, 4452.521
 2717.301, 3592.927, 3299.434, 3369.919
 2654.69, 4454.151, 3569.508, 3364.218
 2361.078, 3404.596, 3573.187, 4048.636
 2702.651, 2944.636, 3884.422, 3680.597
 2641.147, 3793.824, 3909.466, 3345.638
 2274.766, 3794.554, 3720.831, 3780.186
 2645.583, 4028.69, 3287.499, 3630.149
 2372.107, 3667.516, 3607.409, 3657.605
 2751.431, 3681.976, 3562.833, 3556.944
 2437.89, 3751.861, 3042.399, 3406.958
 2572.252, 3680.559, 3793.935, 3129.423
 2566.401, 3388.184, 3279.599, 3718.168
 2322.567, 3959.543, 3844.221, 3805.457
 2886.593, 3709.302, 3445.53, 3228.152
 2370.259, 3790.601, 3660.799, 3834.392
 2637.287, 3117.179, 3448.787, 3450.448
 2534.589, 3488.111, 3545.269, 3768.046
 2406.511, 3987.998, 3253.139, 3687.046
 2725.11, 3749.754, 3781.269, 3228.317
 2422.938, 3979.829, 3297.161, 3418.315
 2551.62, 3245.968, 3506.917, 3782.358
 2515.858, 3213.498, 3213.373, 3591.196
 2530.601, 4049.245, 3338.541, 3559.041
 2725.478, 3490.611, 3275.36, 3915.346
 2651.421, 3816.875, 3932.689, 3350.038
 2605.66, 4017.317, 4054.995, 3388.643
 2343.903, 3362.538, 3283.527, 3725.231
 2592.873, 3963.872, 3561.252, 3876.37
 2554.035, 3498.904, 3116.328, 3356.996
 2748.603, 3382.076, 4061.741, 3707.206
 2606.088, 4068.647, 3282.103, 3868.466
 2410.325, 3583.026, 3505.498, 3087.397
 2925.319, 3515.847, 3055.937, 3718.472
 2368.466, 3610.117, 3491.295, 3965.656
 2876.658, 3368.805, 3774.378, 3363.202
 2229.452, 3888.961, 3431.157, 3615.368
 2933.666, 3798.18, 3752.521, 3157.19
 2686.583, 4045.093, 3580.683, 3927.755
 2173.771, 3511.199, 3132.826, 3179.631
 2819.783, 3542.57, 3562.237, 3101.682
 2592.471, 3518.969, 3874.046, 4276.766
 2290.744, 3867.423, 3556.974, 3089.944
 2832.175, 3788.065, 3667.56, 4056.154
 2583.925, 3444.01, 3006.166, 3029.183
 2476.479, 3816.06, 3792.206, 3610.641
 2902.039, 3370.619, 3260.898, 3563.654
 2298.486, 3738.527, 3361.222, 3798.651
 2849.373, 3307.852, 3602.737, 3746.5
 2008.109, 3463.586, 3686.863, 3809.277
 2944.377, 3558.844, 3315.69, 3518.288
 2818.126, 3887.199, 3450.085, 3950.422
 2449.229, 3835.817, 3472.846, 3205.0
 2711.416, 3620.467, 3316.328, 3633.065
 2642.404, 3300.666, 3817.373, 3465.91
 2689.134, 3381.974, 3316.514, 3725.802
 2689.27, 3783.336, 3503.667, 3461.868
 2632.882, 3707.583, 3947.854, 3590.991
 2639.455, 3994.295, 3064.352, 3561.933
 2992.422, 3203.36, 3242.735, 3755.663
 2644.385, 3714.666, 3860.153, 3667.749
 2789.841, 3824.505, 3439.847, 3661.533
 2665.685, 3401.097, 3636.269, 3965.84
 2894.447, 3759.299, 3036.429, 3478.54
 2595.758, 3363.405, 3653.387, 3913.918
 2614.561, 3756.767, 3894.013, 3043.552
 2406.101, 3396.888, 2885.076, 3910.741
 2588.155, 3456.691, 3730.947, 3219.285
 3163.66, 3603.301, 3584.52, 3996.222
 2502.626, 3672.322, 3291.173, 3420.975
 2506.905, 2954.057, 3625.549, 3484.408
 2887.255, 3326.752, 3217.71, 3712.914
 2524.476, 3803.975, 3754.853, 3734.364
 2413.565, 3472.823, 3735.347, 3283.555
 2965.53, 3296.686, 3715.847, 4229.026
