BM,Docker,LXC,DockerIso
389.701,2048.739,8279.523,3569.401
 216.437, 17215.149, 20477.014, 20978.098
 734.376, 23534.006, 20411.208, 24618.88
 768.208, 19773.56, 17849.09, 22093.831
 678.464, 22898.571, 22895.626, 23608.47
 920.826, 23959.206, 21899.501, 22731.976
 983.227, 24254.288, 23933.564, 23785.878
 951.277, 22695.157, 24454.043, 23034.159
 1142.149, 22807.326, 24824.745, 23165.089
 1086.868, 23760.733, 24471.801, 23217.465
 1142.887, 23028.156, 22480.961, 23741.155
 1079.652, 23500.023, 25200.465, 23015.787
 1129.979, 22895.637, 24415.565, 21671.238
 1162.027, 22138.117, 25167.264, 23017.039
 1244.081, 24260.539, 24880.946, 23851.95
 1182.799, 24354.482, 24930.565, 23365.867
 1159.038, 23344.453, 22559.991, 23108.594
 1183.557, 23615.238, 25168.391, 23740.377
 1169.697, 23659.144, 24753.536, 24431.381
 1224.002, 23108.911, 24762.004, 22981.588
 1177.623, 23882.337, 24753.108, 23439.33
 1131.759, 23054.934, 22467.428, 23943.817
 1205.78, 23549.503, 25176.284, 20989.82
 1174.475, 21746.224, 24778.143, 24827.875
 1293.086, 24143.048, 24777.574, 23132.935
 1337.66, 23876.146, 24653.121, 23521.666
 1412.847, 24180.759, 22532.982, 23936.517
 1333.081, 23268.946, 25146.72, 23834.488
 1203.88, 23474.262, 25088.392, 23316.697
 1292.071, 24186.053, 25109.275, 23723.607
 1327.031, 22870.459, 25053.519, 23956.877
 1289.279, 22952.342, 22429.695, 23256.311
 1332.505, 24428.499, 23567.696, 24534.995
 1289.549, 20076.115, 25043.883, 21615.75
 1375.762, 25041.853, 25079.997, 22875.902
 1272.592, 23128.347, 25117.563, 24641.708
 1487.257, 23538.879, 22027.737, 23084.277
 1346.732, 24183.532, 25457.607, 23517.794
 1491.846, 22944.179, 25088.126, 24083.373
 1521.971, 23039.313, 25265.942, 22963.839
 1448.196, 24448.566, 24955.418, 24161.737
 1473.224, 22959.813, 22587.28, 22994.213
 1586.239, 23433.705, 25143.321, 23183.195
 1452.438, 24212.116, 25295.163, 21753.817
 1333.031, 21503.666, 24778.784, 24177.459
 1344.834, 24485.337, 24945.688, 24089.91
 1374.697, 23369.699, 22817.518, 23511.581
 704.192, 22981.951, 25378.509, 23032.864
 621.595, 24271.785, 25245.0, 24305.951
 1206.558, 23411.359, 25356.588, 23308.485
 1621.933, 23129.835, 25116.774, 23019.358
 1569.032, 24544.029, 22459.271, 24146.219
 1584.103, 23182.526, 25085.617, 23188.86
 1582.702, 23381.492, 25341.551, 21768.254
 1318.819, 21765.464, 25296.109, 23731.375
 1577.231, 24077.142, 24926.443, 23116.532
 1626.807, 24322.159, 22642.141, 24265.814
 1563.668, 23329.846, 25156.498, 22862.428
 1557.961, 23220.425, 25018.239, 24327.015
 1448.878, 24242.474, 25109.184, 22991.173
 1627.506, 23292.178, 24865.907, 23179.794
 1613.503, 23700.541, 22562.349, 24195.286
 1632.831, 23896.051, 25295.724, 23080.089
 1589.767, 23202.694, 24688.473, 23500.837
 1382.382, 24211.606, 24897.981, 22474.564
 1637.108, 21826.04, 25325.54, 22944.214
 1598.249, 23953.086, 22730.105, 24243.593
 1632.52, 23616.63, 25055.336, 23008.455
 1611.375, 23238.322, 25323.687, 23227.082
 1456.956, 24524.089, 25249.188, 24167.331
 1621.757, 23388.346, 25035.044, 22979.8
 1628.941, 23304.953, 22663.628, 24158.916
 1604.773, 24252.797, 25078.061, 22969.056
 1631.417, 23222.97, 25001.0, 22941.065
 1447.811, 24300.687, 25281.689, 22026.873
 1609.876, 21046.412, 25213.0, 23800.9
 1620.524, 24326.901, 22815.563, 24479.697
 1632.462, 23805.851, 25438.611, 23226.322
 1586.537, 23028.05, 24743.919, 22980.098
 1427.36, 24302.501, 25268.794, 24138.384
 1600.648, 23248.537, 25334.598, 22983.624
 1626.812, 24249.339, 21642.438, 24382.526
 1610.166, 23295.079, 25346.667, 23098.61
 1613.067, 23287.453, 25344.531, 22821.816
 1462.422, 24244.069, 25468.22, 24414.44
 1641.364, 23137.641, 25175.333, 21374.992
 1612.483, 21887.717, 22807.308, 24175.945
 1615.539, 23982.169, 25171.286, 23233.325
 1607.731, 23388.708, 25160.161, 23290.625
 1471.9, 24152.166, 24878.904, 24116.902
 1607.326, 23063.144, 25108.129, 23029.985
 1634.153, 24019.877, 22448.658, 24066.779
 1621.385, 23527.975, 24938.006, 23535.599
 1620.828, 23017.864, 25266.293, 22832.019
 1449.44, 24399.061, 25249.573, 24295.075
 1621.004, 22919.809, 25041.751, 20535.906
 1627.023, 23122.16, 22342.852, 25137.601
 1616.954, 21896.551, 25135.321, 23284.087
 1623.738, 23824.132, 25270.873, 22850.888
 1441.696, 24627.421, 24968.919, 24358.68
 1659.589, 23128.899, 25400.779, 23320.297
 1623.879, 23133.698, 22185.236, 22894.63
 1633.091, 24281.682, 25324.266, 24465.256
 1635.592, 23038.099, 25087.27, 22888.657
 1438.067, 24017.52, 25136.083, 24279.98
 1645.769, 23680.978, 24632.156, 22847.012
 1603.463, 22783.241, 22750.869, 22419.612
 1632.146, 24489.104, 25100.085, 23431.891
 1567.164, 20917.535, 24902.39, 23401.517
 1521.278, 24650.076, 25297.529, 24246.288
 1619.449, 23981.979, 25325.845, 23067.068
 1631.127, 23349.223, 22424.963, 22999.001
 1620.875, 24228.888, 25221.619, 24474.698
 1495.007, 23390.15, 25133.941, 23185.988
 1583.18, 23066.757, 25159.305, 24279.293
 1625.402, 24397.875, 25309.904, 23191.286
 1613.583, 23117.198, 22196.884, 23254.789
 1633.846, 23874.655, 25345.418, 24270.81
 1443.028, 23544.086, 25271.006, 21486.361
 1643.162, 20845.364, 24754.905, 24383.404
 1602.868, 25196.678, 24994.801, 23066.427
 1634.985, 23009.445, 22341.047, 23258.701
