BM,Docker,LXC,DockerIso
1864.473,217.76,664.453,3272.737
 1705.566, 3183.876, 2686.256, 2631.089
 2206.528, 2948.053, 2809.452, 2837.741
 2021.432, 2961.163, 2839.402, 2988.381
 1601.627, 2502.027, 2934.821, 2871.899
 1953.105, 2703.488, 2696.591, 2621.268
 1879.386, 2695.882, 2515.752, 2669.66
 1964.881, 2862.058, 2494.926, 2757.946
 1964.82, 2724.708, 2842.183, 2710.955
 1506.301, 2890.927, 2697.915, 3184.051
 1904.952, 2955.712, 2890.7, 2654.414
 2013.65, 2558.124, 2384.381, 2776.467
 1984.737, 2723.65, 2687.052, 2966.097
 2109.81, 3046.62, 2466.172, 3231.645
 1863.017, 2441.916, 2366.775, 2580.883
 1819.673, 2845.244, 2936.152, 2535.123
 1921.95, 2481.145, 2444.323, 3401.891
 1711.985, 2547.859, 2840.534, 2516.024
 1933.578, 3428.147, 2736.839, 2659.422
 1700.425, 2787.396, 2387.067, 2815.719
 1605.281, 2608.679, 2663.369, 2731.252
 2195.595, 2627.68, 2342.006, 2721.894
 1665.739, 2659.053, 2633.184, 2753.184
 2055.001, 3468.911, 2633.039, 3042.056
 1628.366, 2214.216, 2464.456, 2504.582
 2089.777, 2726.254, 2835.2, 2020.64
 2051.922, 2453.306, 2193.989, 2737.288
 2003.731, 2865.246, 2569.182, 2436.3
 1997.429, 2791.166, 2637.141, 2667.068
 1866.959, 2803.165, 2418.134, 2879.187
 1899.882, 1932.494, 2674.669, 2895.887
 1628.724, 2995.748, 2830.017, 2762.44
 1998.893, 2731.604, 2415.903, 2297.785
 1672.363, 2837.256, 2289.717, 2731.796
 2109.057, 2900.681, 2825.0, 2461.29
 2127.291, 2883.441, 2317.597, 2738.94
 1764.814, 2414.573, 2693.584, 2846.328
 1814.643, 2591.283, 1712.814, 2565.534
 2150.302, 2903.421, 2947.622, 2428.613
 2153.656, 2483.976, 2754.085, 2548.429
 1786.313, 2487.527, 2787.279, 2323.362
 1879.99, 2781.295, 2662.465, 2579.583
 2278.629, 2900.515, 2087.487, 2726.005
 1962.491, 2242.591, 2765.514, 2487.533
 1938.667, 2497.729, 2003.328, 2815.977
 2215.975, 2788.316, 2826.294, 2222.071
 1865.702, 2657.024, 2646.484, 2521.484
 1499.339, 2378.554, 2389.653, 2494.525
 2072.891, 2133.897, 2546.863, 2807.926
 2243.598, 2819.751, 2337.897, 2563.784
 1587.054, 2600.862, 2391.031, 2417.394
 1739.952, 2504.35, 2669.833, 2773.163
 1843.695, 2958.034, 2750.494, 2268.785
 2073.919, 2802.421, 2034.342, 2687.287
 1969.395, 2547.114, 3254.833, 2487.136
 2124.102, 2751.11, 1578.079, 2806.239
 2153.78, 2452.535, 2512.566, 2630.506
 1981.915, 2755.85, 2762.367, 2489.494
 1720.279, 2690.179, 2387.686, 2679.141
 2216.016, 2645.38, 2124.212, 2234.738
 2027.675, 2491.435, 2815.247, 2826.306
 1763.412, 2315.717, 2768.25, 2467.826
 2331.512, 2609.773, 2609.485, 2801.764
 1960.176, 2628.39, 1854.479, 2734.887
 1855.232, 2701.05, 2603.552, 2824.549
 2042.98, 2761.917, 2793.251, 2704.036
 2113.379, 2600.426, 2604.449, 2114.335
 1863.455, 2787.306, 2502.638, 2699.784
 1909.326, 2470.746, 1896.263, 2438.862
 1987.69, 2236.141, 2812.458, 2576.589
 2051.623, 2687.626, 2682.027, 2940.342
