BM,Docker,LXC,DockerIso
78.819,77.6856666667,58.3706666667,61.2413333333
 72.794, 77.5733333333, 79.7873333333, 64.5886666667
 66.575, 72.706, 65.2456666667, 61.6303333333
 68.9183333333, 67.008, 67.7593333333, 66.757
 63.718, 63.1423333333, 68.1966666667, 70.2316666667
 67.4013333333, 64.352, 65.3056666667, 69.1133333333
 65.694, 63.5523333333, 73.9903333333, 67.2973333333
 65.2623333333, 62.312, 72.056, 69.958
 67.068, 65.573, 72.4256666667, 64.535
 66.261, 62.424, 71.1573333333, 60.7836666667
 66.438, 64.013, 70.797, 65.4426666667
 67.257, 64.8953333333, 72.8896666667, 67.2306666667
 67.4706666667, 67.0163333333, 70.1793333333, 63.341
 69.9136666667, 67.3833333333, 67.349, 68.8626666667
 67.0596666667, 66.1703333333, 67.8626666667, 68.113
 65.651, 67.2973333333, 67.426, 65.3366666667
 66.351, 70.2356666667, 66.8396666667, 62.7966666667
 69.8093333333, 75.6566666667, 67.9436666667, 64.153
 70.4426666667, 77.1053333333, 65.1926666667, 65.5876666667
 74.0896666667, 74.298, 65.5573333333, 65.2753333333
 76.4913333333, 73.8216666667, 72.379, 67.5666666667
 77.91, 70.7433333333, 69.0723333333, 65.772
 75.5453333333, 73.5556666667, 71.1413333333, 65.196
 79.2653333333, 71.9103333333, 71.7026666667, 68.7743333333
 75.7683333333, 69.4786666667, 72.1086666667, 70.131
 73.6516666667, 72.492, 69.6553333333, 67.8363333333
 68.3616666667, 71.447, 70.7936666667, 66.4303333333
 68.943, 71.097, 72.8513333333, 67.057
 68.0106666667, 69.6573333333, 69.0663333333, 62.997
 68.8106666667, 68.1573333333, 69.5646666667, 64.9083333333
 72.3296666667, 67.8166666667, 71.132, 69.666
 73.8293333333, 67.1403333333, 70.7346666667, 69.154
 71.129, 65.8336666667, 69.5426666667, 70.6453333333
 71.4416666667, 66.7403333333, 64.7703333333, 69.0166666667
 72.539, 67.0296666667, 65.2186666667, 74.7233333333
 71.6016666667, 68.6373333333, 66.3233333333, 71.218
 73.34, 67.9186666667, 71.7493333333, 69.8533333333
 70.1583333333, 70.973, 73.013, 71.79
 74.2266666667, 69.6416666667, 73.2, 74.0926666667
 69.3986666667, 67.7353333333, 74.545, 71.5336666667
 71.9543333333, 65.2793333333, 73.6516666667, 72.897
 70.8693333333, 62.7103333333, 78.1246666667, 70.353
 73.034, 64.6466666667, 80.85, 74.464
 74.359, 63.1073333333, 79.3216666667, 75.942
 71.5383333333, 62.12, 81.4203333333, 78.1546666667
 68.5713333333, 64.9476666667, 82.5533333333, 73.26
 70.5123333333, 68.2276666667, 82.6203333333, 74.726
 68.179, 65.0096666667, 81.0543333333, 72.442
 65.775, 65.8843333333, 80.003, 74.785
 65.5766666667, 64.6516666667, 80.8996666667, 70.8753333333
 68.864, 65.718, 79.1753333333, 73.7143333333
