BM,Docker,LXC,DockerIso
46.556,64.1283333333,49.1813333333,47.4406666667
 89.1116666667, 87.1086666667, 89.5106666667, 86.655
 85.9283333333, 85.567, 84.4513333333, 83.6563333333
 83.359, 82.1596666667, 85.0106666667, 81.1843333333
 82.1323333333, 81.511, 84.1643333333, 75.299
 82.1496666667, 79.6356666667, 83.0123333333, 78.6496666667
 81.535, 78.8683333333, 83.474, 63.38
 69.978, 76.2203333333, 77.7126666667, 65.1226666667
 61.783, 58.9506666667, 72.2473333333, 68.3013333333
 69.6906666667, 69.2063333333, 61.8106666667, 56.0343333333
 66.4853333333, 69.285, 45.8206666667, 59.0253333333
 38.1876666667, 45.6346666667, 54.592, 40.9643333333
 44.0756666667, 36.2276666667, 47.5013333333, 38.156
 38.606, 35.9126666667, 37.2196666667, 50.5943333333
 42.428, 34.6766666667, 30.4493333333, 37.1296666667
 36.7513333333, 32.1396666667, 39.022, 37.1396666667
 35.1403333333, 35.9016666667, 42.9623333333, 35.1483333333
 36.12, 32.248, 42.873, 32.848
 31.3466666667, 35.0526666667, 40.055, 35.8143333333
 35.5483333333, 34.206, 34.362, 33.141
 40.9196666667, 30.8103333333, 35.2733333333, 35.4623333333
 34.8216666667, 32.8903333333, 35.6203333333, 36.8893333333
 33.585, 33.712, 35.0033333333, 36.3906666667
 35.202, 29.5776666667, 35.3253333333, 32.0163333333
 34.1116666667, 32.445, 35.0583333333, 33.4416666667
 34.727, 32.2873333333, 41.4146666667, 34.7713333333
 31.2156666667, 39.075, 37.9456666667, 34.3093333333
 37.9596666667, 34.515, 36.127, 35.5063333333
 34.5666666667, 35.2706666667, 34.476, 41.3896666667
 34.5983333333, 43.955, 32.0883333333, 29.4733333333
 36.633, 34.58, 31.4626666667, 47.54
 31.8613333333, 44.6226666667, 35.584, 38.5436666667
 31.4303333333, 34.299, 38.328, 34.223
 34.0573333333, 33.372, 41.7533333333, 32.8886666667
 35.1366666667, 33.47, 34.4316666667, 32.0976666667
 33.9906666667, 34.1183333333, 30.1373333333, 34.815
