BM,Docker,LXC,DockerIso
49.4413333333,88.0886666667,71.2253333333,68.5663333333
 96.986, 96.3333333333, 95.3096666667, 94.3596666667
 92.0, 96.013, 96.343, 95.0196666667
 95.379, 95.6693333333, 96.653, 95.653
 95.6223333333, 95.6496666667, 93.973, 94.6666666667
 96.0056666667, 96.6763333333, 93.286, 93.683
 96.6793333333, 95.676, 90.936, 93.3693333333
 95.3293333333, 95.346, 93.6563333333, 93.9796666667
 95.6393333333, 95.3426666667, 94.3596666667, 94.6666666667
 93.023, 91.8936666667, 96.343, 93.6593333333
 92.0296666667, 90.936, 96.0, 91.7356666667
 94.9693333333, 91.2693333333, 95.676, 92.052
 95.3463333333, 93.6326666667, 95.3393333333, 91.9523333333
 96.0, 89.0, 95.3393333333, 91.405
 90.9046666667, 91.0, 95.6563333333, 92.006
 92.969, 92.9626666667, 96.6666666667, 91.5576666667
 93.6626666667, 92.6666666667, 94.013, 89.7456666667
 91.9823333333, 92.5473333333, 92.6596666667, 94.9693333333
 91.4246666667, 92.8123333333, 92.3333333333, 92.6073333333
 89.946, 95.979, 90.4123333333, 90.6256666667
 88.5136666667, 95.6496666667, 89.5923333333, 94.052
 91.0196666667, 98.0, 89.8233333333, 93.547
 90.207, 96.013, 92.231, 90.0393333333
 89.431, 96.3333333333, 91.6666666667, 95.3333333333
 90.618, 94.2893333333, 94.3333333333, 93.6796666667
 94.9796666667, 96.6693333333, 91.6863333333, 95.3333333333
 94.023, 91.386, 94.653, 95.3263333333
 95.313, 93.9183333333, 96.013, 92.072
 94.683, 91.961, 96.6596666667, 95.3196666667
 95.7053333333, 90.1563333333, 97.013, 95.6463333333
 94.643, 90.0456666667, 96.6596666667, 92.0716666667
 94.6496666667, 88.639, 94.9796666667, 89.9013333333
 94.3463333333, 88.8026666667, 94.3096666667, 87.992
 95.3196666667, 88.022, 96.3496666667, 86.524
 95.6896666667, 89.2806666667, 93.0623333333, 86.6666666667
 97.336, 90.6516666667, 93.2723333333, 91.678
 94.996, 91.5983333333, 89.0196666667, 86.3793333333
 93.3163333333, 89.5943333333, 93.719, 95.2753333333
 90.0, 89.61, 92.653, 91.7226666667
 90.6326666667, 95.336, 92.925, 94.9896666667
 88.0323333333, 96.6693333333, 93.3333333333, 85.812
 90.616, 94.983, 92.6023333333, 90.706
 88.9853333333, 93.069, 92.0913333333, 91.5576666667
 90.3243333333, 95.683, 94.0163333333, 91.2173333333
 94.6896666667, 93.0093333333, 96.3333333333, 90.7126666667
 96.313, 96.9956666667, 95.0126666667, 87.3076666667
 94.693, 95.2856666667, 95.323, 89.3453333333
 94.3193333333, 88.9863333333, 94.983, 84.695
 95.676, 93.6863333333, 95.0553333333, 90.2576666667
 94.6666666667, 92.958, 91.3723333333, 85.5823333333
 94.9626666667, 91.9716666667, 93.8863333333, 86.9116666667
 95.0326666667, 87.7193333333, 92.0163333333, 91.002
 94.3333333333, 89.517, 95.3333333333, 94.0026666667
