BM,Docker,LXC,DockerIso
50.8633333333,46.4753333333,33.9026666667,31.1453333333
 94.392, 90.2163333333, 89.7713333333, 88.9746666667
 94.0176666667, 91.034, 92.617, 91.5763333333
 92.4883333333, 91.449, 90.5633333333, 91.027
 91.8503333333, 88.8613333333, 89.529, 89.0186666667
 91.0583333333, 89.9283333333, 90.1406666667, 91.1863333333
 90.6833333333, 89.63, 88.988, 89.2766666667
 92.2456666667, 88.826, 89.2486666667, 90.88
 91.0106666667, 88.2116666667, 90.6796666667, 88.241
 89.4253333333, 87.0923333333, 90.466, 86.6193333333
 89.8726666667, 86.9506666667, 89.0256666667, 87.7076666667
 90.7476666667, 86.189, 89.5613333333, 87.9006666667
 91.3243333333, 85.9383333333, 89.6956666667, 86.6703333333
 92.4043333333, 86.0836666667, 87.853, 86.741
 91.759, 85.1723333333, 90.0956666667, 85.193
 91.4453333333, 87.074, 87.4716666667, 86.6913333333
 90.215, 84.2726666667, 85.6963333333, 85.7176666667
 90.3456666667, 83.1466666667, 84.7673333333, 85.6406666667
 90.066, 80.186, 79.3416666667, 85.8303333333
 91.4156666667, 75.2896666667, 78.9326666667, 78.0556666667
 90.3146666667, 71.0023333333, 80.8876666667, 75.1273333333
 90.2303333333, 70.122, 84.9126666667, 70.79
 79.8363333333, 70.675, 86.3436666667, 65.5306666667
 78.5196666667, 72.4983333333, 79.3373333333, 61.4886666667
 77.094, 72.013, 80.9936666667, 50.2956666667
 75.9123333333, 70.62, 85.2933333333, 49.5043333333
 75.993, 68.149, 80.7823333333, 43.755
 75.6006666667, 58.55, 79.8833333333, 43.8913333333
 74.047, 52.5696666667, 78.287, 45.7403333333
 77.635, 46.6503333333, 72.069, 41.2616666667
 72.9806666667, 47.3023333333, 66.976, 45.2256666667
 73.6556666667, 44.7423333333, 62.979, 45.2466666667
 72.934, 45.258, 68.572, 44.3266666667
 83.076, 72.7766666667, 70.887, 55.288
 86.0146666667, 79.7266666667, 75.962, 86.047
 72.6136666667, 70.694, 90.288, 81.1373333333
 71.3, 47.1263333333, 72.5356666667, 52.6753333333
 63.729, 46.3133333333, 61.505, 42.6833333333
 62.487, 43.8933333333, 62.0016666667, 44.2716666667
 80.3653333333, 58.3086666667, 62.6416666667, 47.1823333333
 65.063, 69.5853333333, 80.512, 81.6093333333
 60.2606666667, 42.8123333333, 69.3733333333, 62.8146666667
 51.7983333333, 45.7426666667, 62.024, 41.077
 47.1913333333, 42.7323333333, 63.073, 42.9896666667
 50.7443333333, 43.273, 62.651, 42.549
 50.5856666667, 44.0936666667, 62.1923333333, 43.4403333333
 65.362, 56.6373333333, 61.5226666667, 49.8816666667
 42.7176666667, 54.6266666667, 72.26, 52.7056666667
 42.9433333333, 44.1123333333, 62.0506666667, 43.7626666667
 44.5663333333, 42.3143333333, 58.657, 42.2863333333
 45.6323333333, 43.1073333333, 62.3396666667, 42.3646666667
 45.1536666667, 41.874, 60.4633333333, 44.4523333333
 46.0553333333, 45.5613333333, 61.5026666667, 42.0933333333
 52.8643333333, 43.627, 58.254, 44.3426666667
 54.5993333333, 56.1556666667, 69.548, 51.0806666667
 44.1993333333, 49.051, 66.825, 54.8253333333
 42.2976666667, 43.7506666667, 58.006, 44.6683333333
 46.9843333333, 42.8653333333, 65.018, 42.0023333333
 43.746, 46.4086666667, 62.4406666667, 42.888
 44.9123333333, 43.4496666667, 61.5596666667, 41.1593333333
 45.9553333333, 44.1286666667, 59.6893333333, 41.7983333333
 50.4673333333, 43.4636666667, 61.6233333333, 44.833
 66.9043333333, 55.2563333333, 68.344, 47.1506666667
 46.027, 55.206, 72.271, 57.6923333333
 43.9073333333, 41.9856666667, 59.2943333333, 41.4163333333
 43.1086666667, 43.109, 61.9166666667, 41.4893333333
 48.2683333333, 43.563, 59.709, 45.8763333333
 45.4343333333, 43.827, 57.633, 42.6173333333
 45.475, 45.0453333333, 59.5063333333, 44.2116666667
 43.723, 44.8836666667, 58.685, 43.39
 44.229, 42.7676666667, 65.827, 42.4023333333
 69.967, 60.9176666667, 63.6116666667, 46.2133333333
 80.318, 70.097, 74.6146666667, 73.3623333333
 55.695, 42.27, 67.4986666667, 50.1683333333
 44.7733333333, 43.1326666667, 58.8363333333, 40.1906666667
 44.288, 43.2183333333, 57.4226666667, 41.605
 45.3173333333, 41.9326666667, 59.487, 43.239
 44.784, 45.114, 57.6943333333, 45.0646666667
 46.3306666667, 42.1846666667, 58.6236666667, 41.3443333333
 45.169, 42.054, 54.9023333333, 42.2236666667
 46.469, 44.976, 59.3533333333, 42.418
 64.5186666667, 58.202, 57.895, 45.5123333333
 70.597, 66.7546666667, 60.424, 62.8206666667
 43.1706666667, 43.841, 75.156, 49.2973333333
 41.0516666667, 42.3063333333, 48.3683333333, 42.2486666667
 44.322, 42.8623333333, 47.423, 41.543
 46.8913333333, 45.5273333333, 45.2353333333, 41.734
 44.3253333333, 43.776, 42.5056666667, 43.7693333333
 43.1026666667, 43.138, 47.062, 46.0936666667
 48.0013333333, 42.659, 45.7726666667, 42.8133333333
 45.2046666667, 43.6923333333, 48.2913333333, 44.4513333333
 59.751, 49.5433333333, 59.897, 46.347
 44.3656666667, 58.7076666667, 48.0126666667, 59.0143333333
 42.681, 42.2663333333, 46.6003333333, 41.653
