BM,Docker,LXC,DockerIso
2496.80366667,554.941,2809.73333333,3994.83633333
 3052.82666667, 3399.12666667, 4323.57733333, 3932.64233333
 3252.38833333, 3389.996, 4433.715, 3771.58466667
 3189.06533333, 3810.307, 4484.84366667, 3955.64966667
 3392.434, 4010.458, 4557.768, 4026.37033333
 3243.88866667, 3982.28766667, 4447.81266667, 3952.06533333
 3244.88466667, 3915.30733333, 4320.79, 3921.528
 3135.849, 4152.38766667, 4074.879, 3975.29366667
 3273.364, 4043.05, 4338.414, 3945.88733333
 3213.362, 4121.73666667, 4464.64266667, 3715.751
 3283.33433333, 3999.89766667, 4358.057, 3888.56166667
 3397.56766667, 3996.67266667, 4420.88366667, 3898.84566667
 3370.297, 3969.77466667, 4384.09666667, 3813.958
 3207.58933333, 3966.326, 4345.36566667, 3916.772
 3428.96633333, 3843.235, 4433.98166667, 4179.815
 3258.742, 3677.88033333, 4420.201, 4022.66233333
 3227.804, 3551.198, 4558.30033333, 3846.51833333
 3345.02966667, 3735.40433333, 4362.76, 3882.71366667
 3264.423, 3783.715, 4259.677, 4084.588
 3274.83333333, 3771.216, 4226.415, 4016.25933333
 3428.85433333, 3729.94333333, 4441.65, 3995.20433333
 3330.56566667, 3564.15333333, 4440.912, 3813.62833333
 3330.85133333, 3734.676, 4296.028, 3704.90966667
 3268.98033333, 3726.554, 4392.09366667, 3852.624
 3216.52366667, 3816.52266667, 4373.065, 3918.33733333
 2877.507, 3623.164, 4167.015, 3995.535
 3046.86533333, 3830.44733333, 4114.753, 3784.284
 3243.492, 3769.30433333, 4275.37366667, 3852.04
 3298.07333333, 3899.165, 4354.21733333, 3648.59566667
 3193.88166667, 3843.58166667, 4320.79333333, 3872.795
 3320.54866667, 3749.778, 4504.63933333, 4026.09466667
 3429.16866667, 4142.52133333, 4299.62833333, 4017.262
 3226.00966667, 3812.107, 4375.461, 3995.154
 3503.37633333, 4007.511, 4124.59966667, 3694.74233333
 3248.133, 4006.07, 4296.58266667, 3974.648
 3202.399, 4181.74133333, 4338.55333333, 3947.94566667
 3193.788, 4027.28466667, 4353.36666667, 3941.706
 3193.20833333, 3933.27333333, 4303.41866667, 3507.522
