BM,Docker,LXC,DockerIso
334.373333333,271.419333333,313.551,214.520333333
 378.701666667, 280.433666667, 310.711, 250.322
 450.038, 475.977333333, 520.654, 419.526666667
 530.922666667, 518.517666667, 583.506, 454.491333333
 577.155666667, 597.259666667, 587.191666667, 483.911333333
 471.905666667, 630.254333333, 580.775, 459.381333333
 635.740333333, 616.068, 628.5, 491.476666667
 575.458, 616.068, 595.869, 514.182666667
 635.626666667, 616.068, 627.528, 463.050666667
 518.648666667, 692.358, 688.781666667, 509.604333333
 516.211666667, 709.949666667, 640.912666667, 535.062
 569.053666667, 633.240333333, 712.314, 557.197333333
 606.111666667, 752.973333333, 600.102666667, 604.779
 584.662, 711.509333333, 696.103, 637.556333333
 558.592333333, 729.906, 679.693, 601.693333333
 660.671333333, 688.598666667, 696.948666667, 711.992666667
 684.775333333, 773.005, 648.447333333, 689.963333333
 611.296666667, 732.016333333, 790.188333333, 738.700333333
 694.679, 727.656333333, 731.015666667, 743.144
 642.617, 777.022666667, 665.876, 693.61
 550.364, 771.475333333, 677.613, 712.249333333
 555.71, 765.928, 713.311666667, 738.532
 698.954666667, 737.750666667, 711.402, 716.358
 617.514, 762.969, 701.274333333, 674.047333333
 656.288333333, 746.666, 720.858333333, 802.533666667
 726.330666667, 737.601333333, 657.394666667, 718.518
 657.188333333, 673.851666667, 760.38, 721.429666667
 755.963333333, 720.852666667, 704.314666667, 784.492333333
 709.826666667, 839.651333333, 660.288, 797.979
 605.916666667, 789.364, 726.096, 799.223666667
 729.26, 740.540333333, 721.767, 730.473333333
 673.548666667, 838.591666667, 768.686, 649.120333333
 637.296333333, 821.704333333, 807.599, 848.267
 732.404666667, 848.282, 690.255666667, 759.211333333
 607.114, 840.263333333, 708.722, 828.351
 752.171333333, 793.457, 759.484666667, 830.395666667
 761.673666667, 837.535, 832.092666667, 808.101666667
 756.274, 762.877333333, 741.293, 832.196666667
 771.234, 862.865333333, 819.897666667, 799.952333333
 839.841, 765.376666667, 803.173333333, 835.043
 729.055, 768.978666667, 726.308666667, 882.203333333
 699.716666667, 816.780666667, 726.221333333, 812.963666667
 814.656333333, 802.593333333, 696.276666667, 862.865
 838.972, 807.955666667, 819.747333333, 830.992333333
 792.306, 750.383, 877.185333333, 849.803333333
 842.294333333, 803.267666667, 805.489333333, 883.073666667
 839.701, 855.262333333, 734.705666667, 894.988666667
 826.400666667, 819.496, 817.75, 886.791333333
 856.681, 851.361333333, 733.318666667, 921.832666667
 824.257666667, 803.816, 739.188666667, 917.781666667
 821.918666667, 792.280666667, 805.339666667, 883.281333333
 935.847, 831.858, 825.392333333, 816.148666667
 831.653, 740.555333333, 705.022333333, 788.927333333
 873.867666667, 887.222333333, 768.377, 917.253
 951.439, 855.244, 688.806333333, 818.577666667
 872.657, 887.42, 782.079333333, 811.591333333
 931.328, 848.267666667, 807.375, 789.953666667
 915.406, 812.114, 905.763333333, 834.059666667
 831.426666667, 791.091666667, 854.362, 735.567666667
 871.116666667, 847.777333333, 867.7, 913.571
 862.91, 917.991666667, 871.980333333, 822.707
