BM,Docker,LXC,DockerIso
450.857333333,1972.103,2102.116,1270.33333333
 1214.46566667, 2831.3, 3227.81633333, 2743.77866667
 1332.817, 2948.34333333, 3237.809, 2823.45566667
 1228.81066667, 3134.25366667, 3488.44133333, 3065.20133333
 1169.465, 3173.839, 3183.45366667, 3172.939
 1120.16933333, 3096.26133333, 3385.25633333, 2946.60233333
 1107.52466667, 3142.98633333, 3402.88633333, 2823.231
 1103.62666667, 3140.38833333, 3232.09766667, 890.646
 1197.62833333, 2845.475, 3434.892, 772.594
 1101.19, 2877.77333333, 3087.25666667, 781.476666667
 1243.239, 3306.50466667, 3434.838, 763.705
 1313.03533333, 2970.57366667, 3366.121, 1211.89033333
 1501.496, 3027.137, 3245.092, 1040.664
 1335.3, 3008.811, 3411.04366667, 942.563333333
 1321.94366667, 3056.75333333, 3383.378, 3068.557
 1189.12366667, 2885.89766667, 3323.74866667, 3168.02866667
 1286.91066667, 2861.51533333, 3306.70466667, 3258.42133333
 1359.029, 2754.56933333, 3395.63933333, 3011.99066667
 1275.09633333, 3074.46466667, 3312.22333333, 2962.25366667
 1324.93833333, 2840.07633333, 3332.137, 3132.155
 1192.568, 3001.951, 3320.766, 3213.309
 1260.33966667, 2944.71866667, 3243.88133333, 3107.25
 1340.673, 2842.62133333, 3327.32666667, 3069.04866667
 1359.169, 2975.439, 3427.69066667, 3088.89166667
 1297.268, 3030.27666667, 3363.624, 3299.82
 1330.24766667, 3018.074, 3594.41066667, 3096.648
 1214.14733333, 3007.667, 3524.909, 3122.59166667
 1308.31166667, 3022.21533333, 3250.177, 2919.248
 1347.35766667, 2921.45433333, 3353.28066667, 3499.34666667
 1270.52166667, 2795.25233333, 3203.73566667, 3189.70566667
 1342.15933333, 2866.262, 3358.83433333, 3003.87366667
 1243.808, 2913.516, 3384.06166667, 3079.061
 1260.49233333, 3069.906, 3600.36633333, 3275.95133333
 1261.50866667, 2902.983, 3625.16366667, 3029.86333333
 1265.585, 3008.51166667, 3594.53333333, 2857.76366667
 1301.09, 2770.571, 3301.72233333, 3288.321
 1536.228, 2976.111, 3457.83433333, 2944.37933333
 1252.10133333, 2939.72066667, 3328.27066667, 2966.09166667
 1363.54966667, 2948.82766667, 3260.21033333, 3039.40866667
 1335.416, 2948.37133333, 3420.297, 3029.983
 1311.764, 2910.14833333, 3172.922, 2921.41566667
 1331.261, 3113.55566667, 3361.50066667, 3227.22833333
 1184.27166667, 2867.445, 3352.077, 2974.906
 1344.61066667, 3083.241, 3250.35833333, 2912.16233333
 1357.47033333, 2702.50833333, 3357.938, 3112.11633333
 1296.961, 2969.019, 3314.19566667, 2870.241
 1372.671, 2998.73566667, 3403.53166667, 3082.08533333
 1223.363, 2966.836, 3226.96566667, 2936.391
 1298.444, 3042.50866667, 3338.836, 3089.317
