BM,Docker,LXC,DockerIso
1252.95266667,355.314333333,1331.93633333,875.331333333
 4451.40166667, 1515.82333333, 2410.52533333, 2038.96233333
 5947.29666667, 1967.64066667, 2370.84166667, 1564.627
 5943.56733333, 1844.58433333, 1820.59033333, 1289.02666667
 5657.646, 1281.79, 1122.04466667, 1572.494
 4809.983, 1610.75333333, 3840.86966667, 1377.074
 5997.92366667, 2596.215, 2923.643, 2018.31633333
 4870.12433333, 2314.61866667, 1706.02633333, 1114.57633333
 5700.096, 1862.94966667, 2216.12366667, 1619.01066667
 5017.53766667, 1774.295, 3008.899, 2821.26333333
 5412.46533333, 2847.89333333, 3213.27766667, 1273.04066667
 4419.36133333, 1826.18033333, 1449.20966667, 1994.266
 5685.341, 2103.52633333, 2479.90233333, 2069.47566667
 4151.40033333, 2688.69266667, 3702.59333333, 2189.58266667
 6719.87933333, 1899.496, 2281.14, 1454.5
 4975.493, 1582.17866667, 2551.21533333, 2783.74533333
 5148.097, 3224.023, 3215.038, 1997.33733333
 5410.53266667, 2496.76133333, 2747.20433333, 2193.66433333
 4938.012, 1223.171, 3002.747, 1912.495
 5640.82433333, 3293.39933333, 3253.36466667, 2349.41866667
 5052.98266667, 2842.76066667, 3358.308, 2600.145
 4887.79866667, 1254.86866667, 2346.45466667, 2087.05733333
 6409.27533333, 3482.197, 3859.00833333, 2147.976
 4681.073, 2443.19666667, 2701.14233333, 3250.793
 6084.66633333, 2517.27833333, 3325.30966667, 2029.052
 5741.36633333, 3348.61733333, 3241.41666667, 2617.445
 5190.04733333, 1995.913, 3390.89766667, 2609.34366667
 6195.94766667, 2923.17133333, 3164.56466667, 2415.05266667
 5988.32633333, 3253.734, 3530.72333333, 2696.50533333
 4973.89233333, 1849.75533333, 2542.41266667, 1879.03866667
 5503.83633333, 3603.79, 3731.73333333, 3154.592
 5878.897, 3117.353, 4028.019, 2554.39666667
 4789.11733333, 1424.07466667, 2627.06333333, 2753.79466667
 6140.17766667, 4025.60466667, 3029.29033333, 1711.84066667
 5243.178, 2694.16833333, 3931.159, 2780.60633333
 5425.33933333, 1637.90666667, 3808.19233333, 3889.67566667
 5530.72533333, 4878.14233333, 3131.639, 1752.90666667
 5666.61066667, 2161.52133333, 4137.77433333, 2849.039
 5736.90566667, 2041.60666667, 3243.26033333, 3029.74066667
 5201.299, 4147.689, 3544.07633333, 3323.16033333
 6070.78533333, 2611.281, 3250.347, 2524.156
 5095.22533333, 2664.024, 3545.00333333, 2423.167
 6316.60133333, 3480.22733333, 3987.31933333, 3168.19133333
 5146.819, 3094.45033333, 3084.468, 3260.152
 5445.05733333, 2556.987, 4048.89633333, 2582.06466667
 6142.56, 3685.475, 3676.72166667, 2880.11066667
 5004.03566667, 2666.61633333, 3441.831, 3196.33333333
 5001.25, 3311.651, 3719.37133333, 2839.50066667
 5164.88533333, 3311.39633333, 3455.176, 2859.606
 5739.599, 2758.29, 3574.215, 3206.197
 5759.35566667, 3724.10033333, 3790.453, 2880.074
 4715.04, 2132.629, 3233.296, 3812.60633333
 5932.61833333, 4197.04533333, 4873.19166667, 2695.16333333
 6329.301, 2487.76733333, 2856.49, 2792.059
 4904.07966667, 3859.96, 4643.72833333, 3233.69833333
 5126.968, 2861.14433333, 2896.88366667, 3382.648
 6032.16133333, 3190.88066667, 3988.92433333, 3252.31066667
 5729.93033333, 4013.184, 3517.896, 3299.54066667
 4679.56833333, 2499.62266667, 3980.09233333, 3550.423
 6285.31333333, 4152.132, 4099.707, 3443.384
 4711.82033333, 2677.45666667, 3295.624, 3454.06066667
 6045.878, 3387.19, 4082.60466667, 3329.68166667
 5025.125, 3505.25666667, 3893.552, 2390.50733333
 5711.075, 2601.455, 4215.614, 4921.20166667
 5303.14, 4540.87166667, 3638.384, 2054.83166667
 5392.70633333, 2026.03833333, 2755.55533333, 4790.084
 6411.967, 4520.629, 3782.30766667, 2740.47066667
 4818.29833333, 2649.85633333, 4218.829, 3313.00466667
 6023.83966667, 3336.998, 4710.06466667, 3622.68433333
 5583.71166667, 3218.30166667, 2800.86, 2988.354
 4428.81966667, 3527.33, 3798.15233333, 4651.822
 6065.96966667, 2894.999, 4113.07066667, 2346.29366667
 5636.93333333, 4053.32033333, 4146.41166667, 4204.89333333
 4725.73666667, 2948.41433333, 3210.28833333, 3596.13666667
 6598.78333333, 4071.16566667, 4841.29133333, 4017.896
 4991.91333333, 3328.41466667, 2832.535, 3454.96033333
 5516.86766667, 4328.69933333, 4561.59633333, 3802.10033333
 6091.007, 2744.955, 3705.74566667, 3866.34533333
 4053.796, 4020.794, 4845.49933333, 3567.01133333
 5985.45766667, 3763.03166667, 3350.52633333, 3597.85633333
 4976.20833333, 3222.716, 4628.57533333, 3068.38833333
 4933.59833333, 3688.20366667, 3698.81766667, 5551.53566667
 6273.60666667, 4458.945, 3954.35466667, 3065.639
 4967.909, 2208.71733333, 4152.89333333, 4654.91
 5916.06666667, 4801.42233333, 3691.81866667, 2929.764
 4478.51633333, 3202.444, 4381.76633333, 4551.934
 6149.08833333, 4189.011, 3671.964, 3191.992
 5095.864, 3980.145, 4569.47566667, 3817.59666667
 5300.34433333, 3214.71333333, 4000.37166667, 3758.53433333
 5892.80833333, 4814.06133333, 4273.63866667, 4115.92366667
 4414.12966667, 2151.905, 3794.039, 4689.945
 6190.77533333, 5426.87866667, 3642.11166667, 2918.32
 4690.64033333, 2107.34333333, 4472.98, 5176.33266667
 5146.63266667, 4887.682, 3636.51633333, 2741.386
 5553.85933333, 2879.618, 3424.76033333, 4547.19066667
 4572.97, 4927.90066667, 4777.74033333, 3478.87833333
 6136.33066667, 2631.71033333, 4017.50433333, 3694.36566667
 4764.89633333, 5152.43866667, 3677.12233333, 3736.557
 5200.62866667, 2139.43466667, 4630.67233333, 5342.21033333
 5967.48733333, 4864.02133333, 3945.37, 3391.554
 4162.09966667, 3229.20333333, 4422.84833333, 3599.677
 6202.91833333, 4476.152, 4238.70766667, 4396.584
 4323.04966667, 3396.37, 3974.68033333, 4104.64633333
 5763.00433333, 4070.646, 3630.77933333, 4586.05066667
 4526.354, 3349.51266667, 5060.75466667, 3335.26166667
 5161.069, 4062.71366667, 2820.31066667, 4145.30333333
 5924.66866667, 2808.75066667, 4910.84166667, 4374.33533333
 5339.97733333, 5243.35433333, 3946.21666667, 4032.02966667
 5465.48233333, 2381.44466667, 4143.11566667, 3603.11333333
 5227.95, 4600.285, 4161.32, 3989.09066667
 4953.922, 3598.75533333, 3837.192, 4364.77433333
 5665.53866667, 3690.067, 4823.64033333, 4268.10533333
 4985.20166667, 4289.076, 3742.689, 3952.37533333
 4793.28366667, 3508.82166667, 4243.28733333, 4610.11833333
 4922.28466667, 3759.141, 4169.56, 3949.738
 5279.866, 3725.84666667, 4169.29966667, 4410.82333333
 5754.346, 4710.73133333, 3943.58533333, 3791.65266667
 5988.192, 3171.07633333, 4610.438, 4646.22966667
 4762.90566667, 4207.02766667, 3227.18066667, 3581.948
 5381.51733333, 4022.32933333, 4400.33333333, 4791.72133333
 4791.86466667, 3291.52833333, 4367.13733333, 4086.77033333
 4001.221, 3878.17233333, 4697.12433333, 4374.708
 4666.74933333, 3468.40466667, 3864.90966667, 3913.46566667
 5260.005, 4447.06433333, 3990.76466667, 4496.73866667
 4971.799, 3431.127, 4479.92, 4190.436
 6050.21033333, 4578.21066667, 3529.03966667, 5162.642
 4830.62533333, 2363.05633333, 5274.721, 4049.90866667
 5812.22666667, 5041.529, 3488.15333333, 4292.54166667
 5529.439, 3751.023, 5215.37366667, 4876.75
 4783.07366667, 4335.055, 4139.90633333, 3394.28433333
 4977.16066667, 3280.548, 4347.71933333, 4282.608
 6563.67066667, 4743.278, 4260.90266667, 3183.239
 4258.70033333, 3164.92033333, 3828.12933333, 4352.61033333
 4778.47866667, 2794.35866667, 4935.52866667, 4316.467
 5306.46033333, 4394.41933333, 3286.47166667, 3819.666
 4603.90333333, 3293.518, 4550.833, 4616.953
 6084.70566667, 2060.03866667, 3450.85666667, 3803.102
 4902.42966667, 4407.48033333, 3923.95866667, 5294.47866667
 5182.45166667, 4183.04633333, 4394.155, 2578.354
 6524.70966667, 4485.40933333, 4033.69066667, 4912.04433333
 4546.56766667, 3966.189, 4299.17, 4387.63433333
 5381.37066667, 5031.689, 3618.845, 4997.32833333
 5322.81966667, 3298.595, 5192.053, 4516.00933333
 5550.277, 4358.16933333, 4417.90133333, 3702.15533333
 4977.709, 2827.53966667, 4241.36233333, 5716.02466667
 6071.65833333, 3925.908, 4886.38533333, 3846.505
 5270.12633333, 3856.86866667, 3166.84833333, 4263.97166667
 5244.91833333, 2824.84766667, 5058.878, 3776.67966667
 5784.84866667, 4702.24133333, 3654.39933333, 5718.767
 5050.10166667, 3288.34033333, 4681.18233333, 4116.18366667
 4914.57566667, 4555.98633333, 4517.47566667, 4213.25
 6145.512, 3944.36033333, 3777.93366667, 3689.59766667
 5148.725, 5222.65633333, 4115.78466667, 4611.80633333
 5016.42633333, 3423.513, 4394.03933333, 4134.30266667
 6421.41666667, 4466.68133333, 4195.24866667, 5018.59833333
 4434.72933333, 5246.29233333, 4704.169, 4526.667
 5571.66533333, 3116.372, 5198.432, 4325.80433333
 5326.76133333, 5186.32266667, 4207.95133333, 3927.912
 4740.502, 3673.88733333, 5580.462, 5658.07133333
 6308.066, 3461.71466667, 4082.461, 4178.49766667
 4588.59466667, 3791.82633333, 5019.70366667, 4904.188
 6069.26, 4326.832, 3787.63, 4030.056
 6016.96166667, 3385.46566667, 4726.75466667, 4652.75933333
 4735.418, 4601.569, 3338.217, 3953.449
 6118.23466667, 4751.75933333, 5121.756, 4106.371
 5316.40066667, 3952.62366667, 3710.09266667, 4356.38866667
 5609.882, 4909.836, 5380.86866667, 4052.47133333
 5625.80433333, 5036.63466667, 4194.28266667, 4049.50133333
 4804.41133333, 3346.53033333, 5242.566, 4515.99666667
 5796.644, 5296.19066667, 5296.34133333, 4767.1
 5662.23366667, 3801.79433333, 3977.07933333, 4097.86066667
 5181.699, 4311.30733333, 5215.75333333, 5684.501
 5518.85366667, 4459.84666667, 5320.054, 4531.25866667
 6125.81233333, 3398.87933333, 2643.01166667, 4083.45466667
 4862.743, 4577.349, 5895.77333333, 5545.72366667
 5640.257, 4832.334, 5071.92133333, 5227.84966667
 6024.25166667, 3855.562, 4465.017, 5398.42866667
 4868.17933333, 5266.63766667, 4341.661, 3278.551
 6047.34, 3582.13266667, 4103.48566667, 4438.05933333
 5227.205, 4950.17966667, 4314.79033333, 4189.24166667
 5554.425, 5680.67366667, 4607.018, 4712.241
 6206.493, 3258.84066667, 4876.34266667, 4488.605
 5396.78366667, 5063.024, 4143.266, 5154.483
 5153.90166667, 3514.409, 6206.50833333, 4127.919
 6306.601, 5459.69666667, 3748.51166667, 6360.36966667
 4773.18066667, 3347.26566667, 6464.85266667, 5015.41033333
 5383.465, 5075.716, 4612.88266667, 4896.77433333
 6589.28666667, 2833.89066667, 4279.13566667, 4470.08633333
 5015.75066667, 4490.05733333, 5512.39166667, 4337.183
 5170.47766667, 4705.09466667, 4821.38233333, 4340.166
