BM,Docker,LXC,DockerIso
2533.19133333,377.637666667,2253.37366667,2237.55766667
 2622.81133333, 2092.57866667, 2796.28666667, 2367.948
 2906.94466667, 2042.67433333, 2830.102, 2260.421
 2886.78766667, 2334.01133333, 2873.27233333, 2332.14433333
 2701.50766667, 2413.67433333, 2917.49466667, 2436.54
 2684.22133333, 2404.38333333, 2837.98033333, 2363.853
 2628.19533333, 2344.01333333, 2736.74466667, 2389.36866667
 2695.17033333, 2510.13433333, 2601.47666667, 2408.99933333
 2765.851, 2432.792, 2794.403, 2364.75766667
 2697.42833333, 2508.91366667, 2800.15, 2247.69333333
 2693.02966667, 2412.215, 2801.54033333, 2305.95266667
 2732.61533333, 2455.89733333, 2817.05266667, 2325.56966667
 2739.29933333, 2354.84366667, 2810.142, 2298.26833333
 2929.544, 2401.28466667, 2811.06833333, 2296.29966667
 2766.78066667, 2310.23733333, 2808.52666667, 2502.59266667
 2619.165, 2185.07533333, 2797.525, 2471.813
 2593.636, 2167.89733333, 2871.393, 2334.23466667
 2771.26666667, 2232.175, 2763.93366667, 2328.256
 2872.97966667, 2272.85433333, 2684.407, 2443.04333333
 2668.98533333, 2282.32333333, 2767.848, 2420.847
 2691.08533333, 2271.64, 2793.917, 2396.51733333
 2789.95533333, 2098.823, 2837.53333333, 2375.668
 2675.34866667, 2221.88133333, 2763.218, 2224.39433333
 2716.06533333, 2238.62766667, 2807.738, 2315.68066667
 2872.19666667, 2304.799, 2751.98533333, 2347.387
 2791.49133333, 2175.40433333, 2635.52133333, 2367.47533333
 2614.15, 2319.079, 2703.48966667, 2242.16766667
 2750.35666667, 2276.542, 2714.905, 2311.302
 2489.77633333, 2346.49066667, 2730.26233333, 2140.41166667
 2836.377, 2330.919, 2753.82066667, 2290.297
 2865.131, 2288.67233333, 2832.02633333, 2456.11533333
 2782.07633333, 2470.082, 2753.044, 2380.873
 2852.494, 2356.27966667, 2794.90833333, 2368.75433333
 2756.27766667, 2391.659, 2594.60366667, 2392.497
 2850.482, 2436.953, 2779.733, 2261.46466667
 2804.662, 2459.452, 2727.80866667, 2386.32366667
 2771.81133333, 2405.909, 2849.31433333, 2356.06633333
 2660.1, 2342.35266667, 2739.83733333, 2052.109
 2850.418, 2320.00366667, 2781.51733333, 2330.134
 2589.56133333, 2333.69866667, 2715.39433333, 2195.83133333
 2641.948, 2333.836, 2655.95766667, 2297.28066667
 2643.76066667, 2492.89133333, 2815.337, 2201.842
 2831.81166667, 2347.38033333, 2800.68133333, 2197.727
 2692.295, 2461.00533333, 2681.94333333, 2124.122
 2807.78133333, 2411.84466667, 2762.39466667, 2243.45266667
 2634.71866667, 2308.55766667, 2857.885, 2146.796
 2831.793, 2522.58466667, 2772.701, 2234.378
 2735.68866667, 2545.78, 2618.27633333, 2275.444
 2588.633, 2415.26433333, 2822.71533333, 2352.935
 2612.74966667, 2480.212, 2701.572, 2282.545
 2777.55366667, 2439.31433333, 2729.03866667, 2346.668
 2673.22033333, 2360.12, 2702.19666667, 2375.12766667
 2611.532, 2389.77633333, 2778.61566667, 2379.74666667
 2632.754, 2518.73566667, 2850.39933333, 2379.32433333
 2763.302, 2441.28633333, 2677.713, 2348.37666667
 2738.00266667, 2469.392, 2756.16533333, 2312.326
 2675.50133333, 2170.888, 2683.338, 2261.25633333
 2536.50466667, 2420.06533333, 2575.18, 2242.97166667
 2736.86333333, 2318.648, 2883.52566667, 2414.126
 2834.22, 2339.55433333, 2693.12133333, 2287.74733333
 2702.96366667, 2310.725, 2771.83966667, 2435.85933333
 2674.92533333, 2457.96166667, 2813.22233333, 2434.99066667
 2552.463, 2394.32633333, 2879.88766667, 2209.671
 2752.76166667, 2333.28766667, 2672.856, 2398.88766667
 2684.01966667, 2491.534, 2806.80866667, 2403.267
 2624.865, 2411.389, 2762.29466667, 2379.73566667
 2665.322, 2510.35833333, 2737.136, 2559.23666667
 2647.98733333, 2372.628, 2696.95733333, 2502.99733333
 2595.41566667, 2337.456, 2814.43033333, 2378.94666667
 2767.94933333, 2382.18733333, 2831.279, 2408.832
 2649.97433333, 2466.11333333, 2762.31366667, 2412.582
 2705.283, 2357.031, 2752.67166667, 2374.94833333
 2897.87966667, 2386.73366667, 2724.015, 2273.274
 2636.283, 2249.62533333, 2670.128, 2292.69733333
 2729.55866667, 2411.28933333, 2798.983, 2333.40233333
 2788.88, 2351.783, 2695.941, 2450.69466667
 2784.09133333, 2455.278, 2708.56433333, 2433.876
 2658.276, 2510.06066667, 2784.212, 2328.30433333
 2641.322, 2473.88733333, 2629.02066667, 2525.416
 2562.5, 2394.869, 2724.65833333, 2240.386
 2661.77366667, 2476.12966667, 2741.83566667, 2363.72066667
 2655.22633333, 2518.82266667, 2754.08, 2443.388
 2664.89066667, 2405.17866667, 2769.01033333, 2364.722
 2659.226, 2362.47166667, 2796.45833333, 2456.485
 2614.256, 2337.58733333, 2784.016, 2485.302
 2489.77966667, 2247.21666667, 2676.299, 2137.91966667
 2724.20033333, 2379.465, 2710.92333333, 2262.345
 2781.71433333, 2354.53166667, 2723.88833333, 2293.70133333
 2744.95766667, 2265.96566667, 2721.45833333, 2362.45933333
 2542.425, 2371.92766667, 2738.363, 2422.17833333
 2636.66733333, 2259.592, 2801.00366667, 2453.645
 2836.54466667, 2464.12566667, 2670.062, 2361.70533333
 2864.29133333, 2543.90666667, 2792.04366667, 2504.079
 2668.656, 2476.425, 2743.10733333, 2331.92666667
 2577.122, 2517.53666667, 2712.37466667, 2399.866
 2690.22633333, 2421.067, 2753.28133333, 2494.25333333
 2642.636, 2490.04133333, 2754.545, 2312.508
 2591.08133333, 2423.072, 2834.23066667, 2392.56266667
 2662.30666667, 2435.56566667, 2871.04566667, 2468.523
 2741.61666667, 2422.28633333, 2764.51966667, 2459.61233333
 2587.36666667, 2533.234, 2837.02666667, 2330.72466667
 2652.28366667, 2310.41833333, 2771.37533333, 2288.923
 2797.21333333, 2285.37966667, 2713.01433333, 1973.51033333
 2634.064, 2336.96, 2719.185, 2230.415
 2654.02433333, 2510.339, 2726.719, 2321.47366667
 2583.98433333, 2275.15433333, 2609.86666667, 2114.512
 2637.7, 2474.58866667, 2786.236, 2250.00266667
 2679.958, 2444.92933333, 2754.20666667, 2333.98366667
 2694.21966667, 2460.8, 2798.52933333, 2287.64433333
 2768.52766667, 2467.04233333, 2860.992, 2240.26533333
 2656.168, 2479.78233333, 2715.755, 2233.948
 2538.19566667, 2502.466, 2780.046, 2329.439
 2736.204, 2387.181, 2853.047, 2413.68633333
 2801.96566667, 2484.85133333, 2796.301, 2366.574
 2667.339, 2626.78766667, 2793.66633333, 2345.36766667
 2744.79633333, 2462.421, 2775.08533333, 2419.67033333
 2734.38366667, 2466.72666667, 2801.08, 2338.15533333
 2793.012, 2500.91566667, 2747.483, 2387.54166667
 2845.27133333, 2425.29366667, 2791.12733333, 2309.41966667
 2520.867, 2477.88366667, 2814.565, 2360.26633333
 2634.417, 2444.13966667, 2756.12933333, 2299.04366667
 2736.163, 2461.64833333, 2732.73133333, 2442.15233333
 2600.04366667, 2477.14633333, 2770.94733333, 2353.074
 2672.62033333, 2388.64533333, 2605.45866667, 2448.82833333
