BM,Docker,LXC,DockerIso
559.894666667,864.177666667,1015.696,582.928333333
 4038.34733333, 3997.89233333, 3657.53666667, 3545.11533333
 4591.41566667, 4250.625, 4109.602, 3825.64266667
 4239.592, 4242.66166667, 4457.99966667, 4586.24033333
 4307.72366667, 4454.748, 4445.96166667, 4019.084
 4318.34033333, 4419.99333333, 4050.72, 4538.77
 4145.766, 4162.02266667, 4556.77166667, 4146.86133333
 4396.60633333, 4326.88366667, 4465.893, 4488.325
 4366.23066667, 3994.18466667, 4242.553, 4685.14466667
 4277.666, 4525.94466667, 4569.551, 4595.94466667
 4472.91633333, 4548.33033333, 4493.07533333, 4495.587
 4791.992, 4301.79033333, 4565.60566667, 4630.48533333
 4675.778, 4360.95766667, 4339.27333333, 4533.39633333
 4667.75533333, 4396.92266667, 4758.63033333, 4447.624
 4572.89166667, 4315.95833333, 3939.93, 4509.92966667
 4453.60633333, 4456.898, 4599.46166667, 4715.28266667
 4502.347, 4586.11633333, 4783.059, 4591.585
 4813.12666667, 4527.806, 4874.82366667, 4514.378
 4536.235, 4504.01066667, 4787.4, 4595.62633333
 4628.85633333, 4759.569, 4553.37866667, 4317.95666667
 4414.75266667, 4232.46566667, 4596.829, 4437.052
 4542.12266667, 4476.34066667, 4753.02666667, 4857.84966667
 4667.24133333, 4584.90733333, 4890.074, 4863.38533333
 4648.14566667, 4386.886, 4610.064, 4534.625
 4713.48566667, 4488.46133333, 4563.02666667, 4496.404
 4719.58, 4783.832, 4648.57966667, 4586.31066667
 4297.02333333, 4195.42933333, 4939.09633333, 4779.85366667
 4803.988, 4715.21233333, 4865.17333333, 4794.73966667
 4691.34533333, 4630.68566667, 4773.791, 4969.785
 4695.111, 4871.87266667, 4568.22333333, 4114.512
 4788.143, 4773.462, 4722.78, 4866.45166667
 4572.829, 4304.634, 4914.22433333, 4874.85666667
 4539.14966667, 4748.66066667, 4708.62133333, 4664.495
 4648.74266667, 4792.411, 4970.821, 4857.06633333
 4730.28633333, 4830.219, 4855.47733333, 4554.27666667
 4625.855, 4560.09966667, 4275.849, 4649.09366667
 4869.659, 4597.62666667, 4745.04766667, 4860.10066667
 4371.23866667, 4680.34533333, 5025.83433333, 4806.83166667
 4821.74966667, 4842.67266667, 4694.849, 4857.10466667
 4853.58833333, 4871.842, 4885.87966667, 4645.476
 4749.175, 4779.52466667, 4437.68166667, 4552.88633333
 4892.16566667, 4465.22933333, 4870.50566667, 4854.94966667
 4426.33333333, 4671.51, 4678.46366667, 5022.208
 4761.79966667, 4786.13133333, 4903.827, 4811.44
 4983.73333333, 4885.73366667, 4993.45533333, 4658.47233333
 4786.56333333, 4813.31666667, 4533.97466667, 4544.411
 4892.19533333, 4595.223, 4839.87133333, 4810.99666667
 4496.48733333, 4580.29733333, 4706.75466667, 4854.97566667
 4713.71866667, 4920.08633333, 5018.905, 4999.251
 4742.62866667, 4781.753, 4744.40833333, 4637.97866667
 4938.84566667, 4747.977, 4457.67266667, 4564.269
 4715.39266667, 4622.053, 5009.08866667, 4949.664
 4770.17733333, 4604.63066667, 4667.16866667, 4873.496
 4475.89333333, 4920.38533333, 5113.54, 4782.90433333
 4858.69166667, 4744.155, 4940.61766667, 4814.996
 4875.26333333, 4798.27966667, 4277.28133333, 4518.69666667
 4814.288, 4565.54533333, 5083.28633333, 4795.825
 4761.80733333, 4626.21033333, 4759.25666667, 4902.28133333
