BM,Docker,LXC,DockerIso
222.673666667,504.734,540.171333333,522.514333333
 680.228666667, 612.707, 719.360666667, 742.222333333
 718.855333333, 608.497666667, 716.012666667, 740.607333333
 684.894333333, 611.241333333, 741.552, 736.338
 733.166333333, 647.04, 685.523, 761.656666667
 711.204666667, 619.025666667, 701.106666667, 733.688
 660.735666667, 623.254333333, 700.378, 797.943666667
 676.225666667, 632.129333333, 730.012, 768.334666667
 665.841666667, 634.569333333, 743.622, 773.326666667
 636.522, 688.218333333, 758.812, 805.520666667
 584.230666667, 616.072, 718.626666667, 818.128333333
 695.330333333, 647.193666667, 771.313, 841.054333333
 692.138333333, 677.028, 791.692666667, 779.877333333
 718.72, 564.813333333, 779.394666667, 798.214
 647.652666667, 673.896333333, 712.152, 788.462666667
 743.207666667, 677.568666667, 727.304333333, 836.104
 712.635, 646.932333333, 818.188666667, 764.830666667
 735.369, 578.68, 724.880333333, 810.010666667
 838.092, 628.977666667, 747.889333333, 730.169
 774.487, 634.395333333, 748.734, 774.623
 825.807, 633.285666667, 741.812666667, 799.064333333
 782.973666667, 598.352333333, 757.662333333, 836.005666667
 780.005, 613.170333333, 719.125666667, 783.970666667
 753.708333333, 627.028, 738.419, 808.633333333
 726.299, 633.472333333, 732.205666667, 825.648333333
 734.125, 622.234, 724.123666667, 817.006666667
 733.431333333, 667.046, 773.773, 841.576333333
 659.359666667, 623.245, 684.221666667, 799.348333333
 755.501333333, 692.682, 749.636, 792.481
 677.091666667, 663.795, 698.848, 817.749666667
 713.246666667, 693.473666667, 782.562, 769.498666667
 723.015666667, 701.983666667, 761.612333333, 834.219666667
 675.597, 612.492666667, 768.995333333, 814.403
 730.641, 644.715333333, 756.515333333, 801.998333333
 677.98, 598.642333333, 747.831666667, 772.440333333
 690.476333333, 679.637, 742.225666667, 869.617333333
 740.310333333, 631.654, 729.009666667, 773.173333333
 731.641, 620.975333333, 743.370666667, 776.513
 707.364333333, 669.091333333, 715.495666667, 777.840666667
 811.938, 601.652666667, 733.175666667, 791.036666667
 768.960666667, 685.307333333, 689.773666667, 716.852333333
 648.47, 693.305666667, 740.305, 817.129
 734.865666667, 695.293666667, 747.186333333, 794.919333333
 706.980333333, 659.620333333, 734.191, 818.565333333
 711.72, 656.937, 758.626, 841.992
 740.421, 675.422, 741.050333333, 767.664
 709.359, 569.570666667, 732.082333333, 815.776333333
 728.017, 664.483333333, 756.896666667, 782.275
 702.097333333, 643.727, 709.622, 864.435666667
 746.124333333, 680.975, 707.900666667, 725.794
 740.326333333, 659.868, 709.675666667, 793.915666667
 713.276, 610.563333333, 723.699666667, 810.377
 748.797666667, 686.008, 734.943, 852.699666667
 743.113333333, 616.791, 712.193666667, 835.613
 729.575, 660.351, 684.561, 792.214666667
 760.189333333, 600.701666667, 725.089666667, 753.530333333
 750.277333333, 669.009333333, 723.932, 815.249333333
 790.106333333, 683.509, 749.21, 852.912333333
 794.953666667, 690.357666667, 701.327666667, 778.839666667
 722.399666667, 658.782666667, 682.368666667, 849.029
 734.777333333, 640.932333333, 722.615666667, 842.088
 745.690666667, 670.178333333, 798.906, 813.387
