BM,Docker,LXC,DockerIso
3036.03066667,403.616666667,2799.132,1668.88533333
 4450.423, 1513.72033333, 4141.59, 3320.18933333
 4499.92733333, 2191.68766667, 3917.12266667, 3362.95433333
 4394.713, 2310.69966667, 3660.835, 3365.58133333
 4437.702, 2316.02533333, 3570.09166667, 3476.32566667
 4387.36, 2593.77966667, 3640.621, 3288.99933333
 4437.69933333, 2683.658, 3653.482, 3307.13066667
 4319.348, 2889.73133333, 3656.212, 3288.613
 4382.14633333, 2840.40333333, 3564.552, 3232.43466667
 4554.269, 2879.74733333, 3518.34666667, 3275.413
 4390.91633333, 3013.10266667, 3606.33133333, 3481.59533333
 4404.772, 3048.38433333, 3618.944, 3413.81266667
 4422.76833333, 3144.23033333, 3580.324, 3491.53166667
 4543.37533333, 3140.53833333, 3663.03966667, 3468.46966667
 4430.74633333, 3105.56533333, 3616.452, 3462.73566667
 4356.82233333, 3111.23266667, 3603.37266667, 3450.405
 4398.894, 3094.65266667, 3565.93133333, 3390.426
 4327.13966667, 3134.73566667, 3634.19666667, 3362.16466667
 4313.42666667, 3212.35966667, 3527.05533333, 3240.18233333
 4317.677, 3319.54433333, 3674.58833333, 3225.7
 4282.39966667, 3133.106, 3565.90466667, 3243.60533333
 4394.64866667, 3294.83366667, 3662.347, 3337.526
 4430.972, 3172.114, 3673.95166667, 3481.955
 4430.25366667, 3185.49533333, 3612.614, 3452.96466667
 4460.72166667, 3343.45, 3729.21633333, 3518.82366667
 4484.34766667, 3284.31533333, 3807.903, 3422.72433333
 4412.41733333, 3263.60166667, 3598.47166667, 3404.05633333
 4363.382, 3399.947, 3642.27166667, 3354.78033333
 4459.83933333, 3338.60366667, 3649.756, 3376.65233333
 4441.45233333, 3334.62733333, 3623.069, 3435.458
 4469.98666667, 3285.54233333, 3759.657, 3437.12466667
 4417.78533333, 3340.67266667, 3780.403, 3427.28666667
 4398.19333333, 3290.03133333, 3786.06166667, 3460.962
 4401.79033333, 3100.33866667, 3796.63433333, 3473.294
 4538.38433333, 3223.25533333, 3820.52966667, 3415.316
 4436.96266667, 3350.10866667, 3707.373, 3443.72
 4383.09633333, 3328.924, 3742.82766667, 3379.37733333
 4425.28066667, 3337.94966667, 3767.90666667, 3247.88533333
 4401.082, 3399.80833333, 3803.89766667, 3250.66733333
 4450.51866667, 3324.049, 3817.95866667, 3299.87133333
 4408.747, 3227.18733333, 3791.658, 3369.02633333
 4454.45333333, 3388.50266667, 3855.34066667, 3446.12966667
 4473.46833333, 3342.975, 3759.139, 3437.726
 4381.521, 3340.55933333, 3759.88966667, 3394.99333333
 4368.28066667, 3313.90533333, 3714.079, 3440.02266667
 4237.02166667, 3339.73566667, 3614.182, 3457.79066667
 4295.02633333, 3244.78166667, 3589.81133333, 3422.58633333
 4272.328, 3281.26366667, 3728.439, 3423.852
 4462.99666667, 3335.88133333, 3862.80366667, 3446.70466667
 4428.248, 3431.21633333, 3953.409, 3499.25066667
 4439.34766667, 3303.66, 4068.93, 3489.118
 4333.91433333, 3376.90566667, 4019.01233333, 3445.64766667
 4466.061, 3359.60966667, 4037.36, 3447.84933333
 4404.586, 3345.257, 4009.17066667, 3477.472
 4246.063, 3239.93533333, 3939.58133333, 3393.98233333
 4296.00566667, 3339.767, 3817.62366667, 3242.79933333
 4303.55933333, 3390.13266667, 3879.584, 3351.04066667
 4351.78933333, 3346.07033333, 3856.93933333, 3264.87366667
 4395.66833333, 3341.797, 3773.07733333, 3414.98266667
 4424.95033333, 3417.73033333, 4008.18733333, 3346.08566667
 4442.762, 3393.582, 3950.40666667, 3571.01766667
 4331.684, 3350.631, 3959.804, 3466.276
 4399.975, 3307.82, 4010.91333333, 3423.71666667
 4315.016, 3287.29133333, 3925.03266667, 3477.92933333
 4393.444, 3337.76233333, 3869.646, 3342.32266667
 4401.127, 3365.77533333, 3797.317, 3358.81
 4372.412, 3392.70033333, 3974.726, 3360.872
 4370.984, 3373.98533333, 3927.53933333, 3405.60233333
 4389.07133333, 3380.36866667, 3947.80533333, 3354.312
 4327.687, 3364.89633333, 3855.89066667, 3438.92533333
 4479.064, 3375.316, 3984.25266667, 3435.80933333
 4365.78733333, 3202.98066667, 3952.93433333, 3376.41533333
 4319.28333333, 3285.754, 3967.371, 3399.32266667
 4418.83733333, 3394.05866667, 3875.92466667, 3323.35833333
 4429.53933333, 3379.19166667, 3859.155, 3388.08066667
 4377.04333333, 3343.50766667, 3887.64, 3413.74966667
 4461.52033333, 3345.64966667, 4020.83666667, 3417.762
 4518.46166667, 3360.476, 4001.43866667, 3449.068
 4389.48733333, 3315.40766667, 3957.202, 3461.43233333
 4423.76333333, 3397.223, 4007.61, 3500.99266667
 4367.66233333, 3323.46433333, 3974.125, 3460.95766667
 4476.90933333, 3281.246, 3865.05233333, 3418.36333333
 4332.60333333, 3319.10033333, 4050.01033333, 3393.33633333
 4558.32033333, 3418.74333333, 4031.29733333, 3318.01333333
 4422.86233333, 3414.91433333, 4016.03033333, 3384.91966667
 4414.19966667, 3415.959, 3995.564, 3394.52266667
 4422.281, 3357.73733333, 3972.27133333, 3397.035
 4528.38333333, 3361.78866667, 3997.39966667, 3311.646
 4307.43966667, 3447.33, 3932.22333333, 3311.67666667
 4381.03833333, 3338.942, 3924.56233333, 3284.666
 4122.566, 3365.98566667, 3850.898, 3337.31066667
 4234.42733333, 3368.272, 3885.9, 3349.92066667
 4340.32, 3276.71466667, 3900.03533333, 3304.98133333
 4307.065, 3402.43166667, 3958.359, 3329.87266667
 4340.739, 3338.185, 4046.77133333, 3470.78433333
 4446.64566667, 3344.731, 4078.28666667, 3445.70733333
 4476.92833333, 3289.89, 4145.36933333, 3394.40533333
 4399.33133333, 3365.412, 4059.87866667, 3419.02466667
 4236.24166667, 3374.55633333, 3951.455, 3429.75
 4362.45666667, 3308.67033333, 3915.48533333, 3356.79633333
 4436.471, 3387.70333333, 4091.237, 3342.161
 4398.57166667, 3253.328, 3997.053, 3233.27
 4365.89133333, 3351.71, 4030.19566667, 3336.961
 4319.97366667, 3347.19733333, 4075.80666667, 3397.222
 4448.858, 3300.08, 3947.35066667, 3381.191
 4435.738, 3305.62733333, 4109.89966667, 3342.55866667
 4393.275, 3346.46933333, 3986.13, 3426.21
 4235.06466667, 3321.04266667, 3996.05633333, 3371.934
 4440.72866667, 3377.712, 4026.417, 3339.63933333
 4418.08166667, 3379.13333333, 4009.71666667, 3332.35933333
 4363.056, 3352.93333333, 4002.624, 3280.93433333
 4365.32666667, 3186.26933333, 4021.397, 3363.245
 4419.797, 3414.00033333, 4061.523, 3268.534
 4390.69866667, 3390.229, 4017.69066667, 3340.556
 4384.92033333, 3306.86733333, 4035.91566667, 3432.35466667
 4396.24066667, 3370.64633333, 4085.263, 3441.95
 4283.00766667, 3403.45233333, 4015.85066667, 3426.985
 4337.59733333, 3357.16233333, 3918.434, 3471.22933333
 4405.10033333, 3374.77166667, 4098.40666667, 3333.02166667
 4307.56833333, 3209.09066667, 4025.92333333, 3424.64933333
 4346.18266667, 3383.17033333, 4064.581, 3486.511
 4512.098, 3357.13566667, 3983.94833333, 3420.59566667
 4440.35866667, 3342.982, 4076.67966667, 3411.01466667
 4466.65266667, 3371.90233333, 4077.694, 3450.92566667
 4316.66633333, 3314.15033333, 4133.61866667, 3467.18466667
 4466.89133333, 3381.98566667, 4100.95866667, 3420.36366667
 4452.34566667, 3399.038, 4095.643, 3417.97233333
 4366.58233333, 3233.71466667, 4097.477, 3400.553
 4339.98666667, 3416.34266667, 4011.80666667, 3365.21033333
 4312.87333333, 3329.19133333, 3954.57666667, 3305.79866667
 4298.293, 3382.88466667, 3895.86833333, 3467.31933333
 4304.58133333, 3379.102, 4001.21633333, 3360.96
 4339.116, 3357.97833333, 3935.27933333, 3373.82433333
 4391.207, 3353.445, 4005.89433333, 3498.383
 4555.60633333, 3397.28766667, 4158.82066667, 3387.82633333
 4369.681, 3373.75933333, 4071.33133333, 3352.76466667
 4292.56833333, 3328.93466667, 4072.579, 3431.12566667
 4292.84866667, 3289.29766667, 3979.49466667, 3313.95166667
 4329.55166667, 3398.00066667, 3984.67733333, 3267.099
 4307.11233333, 3379.104, 4003.033, 3176.26466667
 4342.534, 3372.76266667, 3968.65066667, 3171.548
 4447.712, 3323.19166667, 4104.211, 3263.09733333
 4415.37, 3394.73466667, 4070.458, 3420.94666667
 4429.234, 3341.73033333, 4071.97533333, 3391.129
 4384.952, 3349.54, 4124.48166667, 3402.56066667
 4303.693, 3395.38466667, 4079.37533333, 3356.00233333
 4393.66266667, 3203.75666667, 4113.67466667, 3312.33833333
 4369.76633333, 3359.65633333, 4131.54266667, 3449.91866667
 4378.52033333, 3349.34466667, 4166.88, 3410.148
 4374.33166667, 3351.262, 4121.20133333, 3418.764
 4408.92433333, 3226.56766667, 4228.219, 3431.84666667
 4361.37666667, 3174.03666667, 4137.04233333, 3427.612
 4390.743, 3224.17633333, 4080.132, 3420.005
 4306.94833333, 3324.75033333, 3961.237, 3380.73433333
 4436.79966667, 3363.97333333, 3903.82766667, 3283.02833333
 4400.175, 3379.42466667, 4029.617, 3310.36133333
 4448.56766667, 3247.88266667, 4018.57033333, 3219.05766667
 4402.739, 3368.335, 4160.29366667, 3238.42066667
 4483.16266667, 3418.82766667, 4061.88833333, 3276.462
 4491.31, 3400.136, 4056.479, 3377.91966667
 4384.576, 3349.576, 4075.39433333, 3440.249
 4394.232, 3369.98866667, 4074.99433333, 3382.35566667
 4322.88833333, 3317.50133333, 4067.224, 3406.51366667
 4412.67866667, 3378.121, 4054.29333333, 3329.51133333
 4391.013, 3345.87966667, 4091.93166667, 3210.39533333
 4541.57633333, 3279.38866667, 4153.54433333, 3245.48333333
 4443.693, 3133.994, 4038.06666667, 3274.616
 4388.95966667, 3110.59333333, 4199.12433333, 3232.059
 4521.59833333, 3052.08566667, 4170.937, 3246.496
 4434.40766667, 3086.98333333, 4085.03433333, 3396.28866667
 4422.75333333, 3206.458, 4171.945, 3443.251
 4366.159, 3186.764, 4078.97633333, 3340.63733333
 4327.416, 3248.05766667, 4065.216, 3446.98233333
 4283.429, 3320.83966667, 3923.694, 3327.04666667
 4308.11833333, 3177.87566667, 3850.80533333, 3345.50966667
 4295.60233333, 3317.10566667, 4029.10166667, 3391.04333333
 4290.81133333, 3289.74833333, 3929.701, 3385.91366667
 4303.38833333, 3299.01166667, 3895.79633333, 3386.40366667
 4375.33466667, 3277.87533333, 4036.558, 3308.79333333
 4401.96266667, 3273.901, 4123.638, 3349.677
 4554.218, 3286.85133333, 4113.27533333, 3373.81233333
 4413.73266667, 3357.10633333, 4089.79566667, 3418.39833333
 4458.45266667, 3371.907, 4109.458, 3368.07233333
 4324.095, 3212.01866667, 4075.54966667, 3316.30566667
 4288.94733333, 3368.054, 3950.951, 3321.82133333
 4326.63666667, 3296.77566667, 3900.58133333, 3305.15166667
 4414.705, 3423.42866667, 3945.64433333, 3205.88266667
 4267.81166667, 3288.29733333, 4037.49166667, 3206.81466667
 4409.78966667, 3358.421, 4052.508, 3236.007
 4390.42033333, 3329.15833333, 3966.89133333, 3383.07733333
 4390.256, 3267.308, 3994.359, 3430.81533333
 4230.334, 3286.312, 3970.83266667, 3394.81466667
 4457.72833333, 3173.42566667, 3962.67566667, 3302.25166667
 4396.00733333, 3142.22333333, 3988.297, 3255.02166667
 4373.166, 3100.00233333, 4051.93233333, 3244.28
 4387.14533333, 3125.98466667, 4008.83633333, 3165.612
 4352.46366667, 3260.376, 4015.70033333, 3208.94066667
 4363.306, 3262.17833333, 4068.67166667, 3356.17066667
 4407.431, 3255.68033333, 4092.65933333, 3411.995
 4308.01333333, 3339.75333333, 4150.91566667, 3423.94633333
 4430.10266667, 3239.59266667, 4145.70766667, 3303.852
 4370.97166667, 3251.853, 4081.28266667, 3238.249
 4401.084, 3336.97933333, 4158.563, 3265.35666667
 4425.727, 3339.342, 4259.66566667, 3301.40733333
 4313.74133333, 3315.22366667, 4167.36666667, 3412.887
 4462.897, 3342.79566667, 4231.85033333, 3271.21
 4357.775, 3300.526, 4114.65266667, 3315.97533333
 4227.19666667, 3342.03133333, 4142.71266667, 3326.06633333
 4279.59266667, 3307.532, 4112.16033333, 3218.476
 4281.098, 3253.188, 4125.60266667, 3239.145
 4370.00566667, 3123.00466667, 4202.884, 3312.41033333
 4301.399, 3157.62533333, 4116.04266667, 3289.26
 4334.365, 3276.54966667, 4117.96833333, 3377.82633333
 4351.75766667, 3277.69566667, 4080.16266667, 3420.678
 4548.77333333, 3314.005, 4156.69366667, 3416.56066667
 4426.563, 3349.80333333, 4155.93733333, 3377.40333333
 4457.20733333, 3312.88233333, 4230.578, 3380.27933333
 4310.05566667, 3317.909, 4148.49233333, 3347.18333333
 4334.92366667, 3296.45633333, 4211.79166667, 3378.40666667
 4344.07833333, 3270.44333333, 4222.34033333, 3253.59966667
 4352.56933333, 3342.93, 4289.323, 3393.84233333
 4319.834, 3367.29566667, 4256.53266667, 3410.73633333
 4354.963, 3323.442, 4337.15733333, 3426.24966667
 4509.82233333, 3267.18233333, 4305.26766667, 3396.52766667
 4423.368, 3306.32933333, 4275.352, 3429.34533333
 4440.389, 3288.44433333, 4370.83833333, 3396.88266667
 4415.974, 3304.17666667, 4252.647, 3386.081
 4336.688, 3338.994, 4213.245, 3443.09133333
 4476.411, 3347.80733333, 4353.21733333, 3309.821
 4497.583, 3366.87933333, 4306.184, 3405.083
 4438.16133333, 3172.10566667, 4316.701, 3363.87566667
 4463.42533333, 3224.997, 4328.19166667, 3350.98966667
 4433.97933333, 3246.85666667, 4258.66033333, 3433.4
 4499.801, 3264.447, 4257.36933333, 3422.08466667
 4436.73266667, 3300.94666667, 4331.563, 3325.84566667
 4431.5, 3324.473, 4326.85566667, 3478.68666667
 4482.97333333, 3303.772, 4271.86066667, 3323.26433333
 4378.14533333, 3291.695, 4281.12933333, 3363.082
 4396.96833333, 3266.64766667, 4199.196, 3407.09366667
 4413.884, 3315.18333333, 4293.74833333, 3438.60233333
 4457.734, 3320.97133333, 4265.674, 3499.70133333
 4518.75966667, 3368.38866667, 4349.33, 3493.19033333
 4405.62166667, 3397.93066667, 4291.90933333, 3371.38166667
 4478.536, 3375.991, 4313.07633333, 3410.499
 4343.86433333, 3302.644, 4338.89766667, 3438.332
 4549.48166667, 3341.96333333, 4224.28066667, 3372.45433333
 4394.483, 3301.62666667, 4234.89333333, 3306.83766667
 4482.858, 3211.812, 4365.234, 3352.35233333
 4443.48966667, 3239.51233333, 4308.99733333, 3403.67866667
 4431.453, 3267.08566667, 4301.66666667, 3473.13933333
 4474.67, 3312.6, 4294.15866667, 3404.64066667
 4347.805, 3250.98466667, 4369.80433333, 3441.21333333
 4525.70233333, 3274.15433333, 4273.70533333, 3323.98933333
 4431.19833333, 3279.80633333, 4349.47233333, 3401.83633333
 4085.62, 3300.503, 4314.521, 3412.73133333
 4505.68966667, 3305.36133333, 4228.69233333, 3329.931
 4298.85133333, 3268.3, 4326.63866667, 3331.55766667
 4244.55466667, 3324.469, 4395.68533333, 3283.346
 4372.999, 3330.792, 4300.758, 3300.27966667
 4379.62333333, 3363.68566667, 4381.63033333, 3454.294
 4500.211, 3380.286, 4350.68766667, 3348.29033333
 4439.137, 3406.46833333, 4322.82866667, 3337.843
 4313.99366667, 3369.93233333, 4298.04466667, 3388.919
