BM,Docker,LXC,DockerIso
7.057,11.2676666667,8.93,10.6233333333
12.1866666667,7.796,7.101,7.114
5.17866666667,8.86833333333,14.497,13.5556666667
19.7123333333,14.1733333333,13.9803333333,14.319
13.3606666667,9.25466666667,13.224,15.9023333333
11.048,13.8703333333,13.6216666667,13.2696666667
17.824,14.5086666667,21.4096666667,15.4506666667
22.6273333333,14.2593333333,9.558,15.9353333333
22.4233333333,17.373,7.584,11.288
10.2643333333,12.364,6.83933333333,12.1433333333
8.50133333333,13.7256666667,8.14633333333,12.529
15.2386666667,9.01,8.82766666667,14.2773333333
10.6363333333,12.335,14.32,16.0066666667
10.2896666667,12.5443333333,8.131,14.6603333333
14.7706666667,14.6733333333,18.593,16.474
9.602,12.3096666667,12.9293333333,16.1773333333
13.8653333333,10.8453333333,11.1646666667,17.2233333333
11.9516666667,16.444,17.868,21.136
10.5906666667,13.53,18.868,22.136
