BM,Docker,LXC,DockerIso
23.2613333333,21.219,21.5123333333,20.432
21.575,20.5226666667,20.2166666667,20.0053333333
21.564,25.6496666667,24.0906666667,25.0876666667
23.6066666667,29.0086666667,27.4436666667,29.3393333333
19.9466666667,25.378,21.558,25.185
25.2183333333,29.374,25.3276666667,32.9633333333
28.8693333333,26.1333333333,21.684,23.8146666667
27.434,28.58,30.2486666667,26.6256666667
31.0556666667,30.4786666667,30.2306666667,26.0626666667
33.4536666667,27.7556666667,33.9523333333,29.9456666667
25.3346666667,30.8433333333,31.3003333333,26.2363333333
23.5146666667,22.1393333333,23.8466666667,34.307
26.3096666667,20.387,26.4403333333,23.6893333333
29.576,20.5643333333,30.3883333333,20.9143333333
24.339,21.456,11.9056666667,18.3176666667
19.757,17.0366666667,16.069,20.8413333333
16.3666666667,19.1983333333,17.075,14.7553333333
10.9513333333,12.2576666667,11.0383333333,13.577
9.39933333333,11.0593333333,11.9673333333,15.944
