BM,Docker,LXC,DockerIso
18.194,17.1686666667,13.7773333333,14.753
7.02333333333,12.0103333333,5.43033333333,7.24666666667
6.849,12.8753333333,12.0353333333,13.9526666667
8.31466666667,15.97,8.41266666667,13.45
13.172,8.103,6.59466666667,12.4126666667
15.63,16.044,15.774,20.171
17.301,21.3606666667,18.1756666667,20.4693333333
17.6566666667,15.3373333333,15.8673333333,21.041
16.816,19.0666666667,19.2946666667,16.149
21.4336666667,18.4653333333,13.172,16.068
19.9336666667,20.4816666667,13.17,23.3793333333
25.2716666667,20.3046666667,20.3346666667,15.74
25.1843333333,17.8506666667,19.3133333333,20.292
17.281,18.9566666667,17.186,21.8833333333
23.3073333333,21.5406666667,24.854,18.8816666667
26.2816666667,24.1406666667,28.3346666667,29.542
27.4593333333,21.9723333333,15.8786666667,30.7593333333
22.4493333333,21.9113333333,21.192,28.778
24.6943333333,23.5676666667,28.6163333333,26.2476666667
