BM,Docker,LXC,DockerIso
50.757,50.585,39.2936666667,43.1123333333
40.2216666667,49.0986666667,50.684,56.714
66.949,71.9163333333,72.9043333333,69.2996666667
69.8373333333,59.1966666667,56.1346666667,53.583
69.6736666667,71.583,81.7806666667,79.9803333333
73.2863333333,67.5443333333,65.5783333333,67.3563333333
84.2296666667,77.6566666667,73.6663333333,71.1963333333
74.378,82.0823333333,84.7973333333,83.324
78.9313333333,86.3473333333,84.0133333333,88.116
85.3516666667,80.655,84.343,69.9043333333
75.7786666667,81.581,65.577,71.5473333333
62.035,73.017,56.8403333333,55.3786666667
54.2903333333,51.4006666667,49.6503333333,48.43
48.2703333333,51.6063333333,44.2583333333,45.1566666667
58.986,46.4446666667,50.2933333333,46.561
45.952,44.2863333333,47.1576666667,46.124
50.368,45.3693333333,53.07,47.9663333333
50.951,44.5906666667,48.0006666667,49.031
48.7953333333,48.461,45.2616666667,49.5763333333
