Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
10:37:39.0,4.672,,3.731
10:37:40.0,0.0,2.504,0.251
10:37:41.0,0.0,0.0,0.25
10:37:42.0,0.249,0.25,0.501
10:37:43.0,0.0,0.0,0.0
10:37:44.0,0.25,0.25,0.25
10:37:45.0,0.0,0.25,0.501
10:37:46.0,0.0,0.251,0.0
10:37:47.0,0.25,0.251,0.25
10:37:48.0,0.0,0.997,0.25
10:37:49.0,0.5,0.0,0.502
10:37:50.0,0.0,0.25,0.25
10:37:51.0,0.5,1.005,0.249
10:37:52.0,0.25,0.25,0.25
10:37:53.0,0.251,0.5,0.25
10:37:54.0,0.75,1.25,0.5
10:37:55.0,0.0,0.0,0.0
10:37:56.0,0.25,0.748,0.25
10:37:57.0,0.25,0.25,0.25
10:37:58.0,0.0,0.0,0.25
10:37:59.0,0.25,0.0,0.25
10:38:00.0,0.25,0.25,0.25
10:38:01.0,0.0,0.25,0.251
10:38:02.0,0.498,0.25,8.793
10:38:03.0,0.25,1.002,0.0
10:38:04.0,0.5,0.25,1.002
10:38:05.0,0.0,0.25,0.25
10:38:06.0,0.0,0.0,0.25
10:38:07.0,0.0,0.501,0.502
10:38:08.0,0.0,0.0,0.251
10:38:09.0,0.0,0.0,0.0
10:38:10.0,0.25,0.25,0.498
10:38:11.0,0.25,0.25,0.251
10:38:12.0,3.282,0.501,1.763
10:38:13.0,42.25,3.25,54.683
10:38:14.0,17.974,54.822,0.0
10:38:15.0,0.0,0.0,0.0
10:38:16.0,0.25,1.754,0.5
10:38:17.0,0.25,0.0,1.005
10:38:18.0,0.25,0.0,0.25
10:38:19.0,9.848,0.251,32.33
10:38:20.0,51.637,55.361,40.298
10:38:21.0,0.0,5.025,0.0
10:38:22.0,0.25,0.25,0.501
10:38:23.0,0.251,0.25,0.25
10:38:24.0,0.748,0.251,0.25
10:38:25.0,0.25,2.25,0.25
10:38:26.0,0.25,0.0,1.253
10:38:27.0,63.427,19.298,80.253
10:38:28.0,33.165,72.069,13.784
10:38:29.0,25.125,0.0,0.25
10:38:30.0,25.313,0.25,0.0
10:38:31.0,1.0,0.5,0.25
10:38:32.0,0.25,0.502,0.751
10:38:33.0,0.25,0.751,0.0
10:38:34.0,0.251,1.0,0.0
10:38:35.0,33.333,0.25,57.894
10:38:36.0,50.0,69.696,38.154
10:38:37.0,0.0,6.516,0.753
10:38:38.0,0.0,0.0,0.249
10:38:39.0,0.5,0.501,1.253
10:38:40.0,0.0,0.498,0.0
10:38:41.0,0.5,0.0,0.251
10:38:42.0,0.251,0.5,0.25
10:38:43.0,0.25,0.0,0.25
10:38:44.0,0.503,0.25,18.686
10:38:45.0,83.797,40.452,80.952
10:38:46.0,5.764,50.0,20.5
10:38:47.0,0.0,0.501,0.498
10:38:48.0,0.25,0.25,0.251
10:38:49.0,0.252,2.25,0.0
10:38:50.0,0.251,0.25,0.25
10:38:51.0,0.249,0.249,0.251
10:38:52.0,0.0,0.757,0.25
10:38:53.0,0.0,0.75,0.25
10:38:54.0,0.501,3.759,0.0
10:38:55.0,28.787,0.0,53.366
10:38:56.0,67.848,73.618,61.167
10:38:57.0,0.0,22.25,0.25
10:38:58.0,0.0,0.0,0.0
10:38:59.0,0.501,0.25,1.246
10:39:00.0,0.0,0.25,0.25
10:39:01.0,0.0,0.25,0.0
10:39:02.0,0.502,0.251,0.251
10:39:03.0,0.249,0.25,0.25
10:39:04.0,0.251,0.25,1.75
10:39:05.0,0.25,0.0,0.25
10:39:06.0,0.0,0.0,0.25
10:39:07.0,62.907,18.75,84.13
10:39:08.0,48.607,85.933,32.663
10:39:09.0,0.25,1.758,0.25
10:39:10.0,0.0,0.0,0.25
10:39:11.0,0.748,0.0,0.0
10:39:12.0,0.25,0.753,0.251
10:39:13.0,0.25,0.25,0.25
10:39:14.0,0.501,0.5,0.0
10:39:15.0,0.0,1.253,0.0
10:39:16.0,0.0,0.25,0.5
10:39:17.0,0.0,0.251,0.251
10:39:18.0,0.25,0.25,0.5
10:39:19.0,0.25,0.0,18.639
10:39:20.0,82.089,42.0,85.677
10:39:21.0,37.437,78.481,21.608
10:39:22.0,0.0,4.26,0.25
10:39:23.0,0.25,0.0,0.25
10:39:24.0,0.0,0.5,0.25
10:39:25.0,0.0,0.0,0.25
10:39:26.0,0.0,0.25,0.25
10:39:27.0,0.25,0.25,0.0
10:39:28.0,0.0,0.25,0.0
10:39:29.0,0.25,0.251,0.25
10:39:30.0,0.498,0.0,0.0
10:39:31.0,0.0,0.0,0.498
10:39:32.0,0.25,0.75,0.5
10:39:33.0,2.992,0.0,24.747
10:39:34.0,84.673,47.103,88.04
10:39:35.0,51.879,86.329,36.25
10:39:36.0,0.25,9.273,0.25
10:39:37.0,0.0,0.25,0.0
10:39:38.0,0.0,0.0,0.0
10:39:39.0,0.25,0.25,0.497
10:39:40.0,0.0,1.256,0.251
10:39:41.0,0.25,0.0,0.501
10:39:42.0,0.0,0.997,0.25
10:39:43.0,0.25,0.0,0.251
10:39:44.0,0.25,0.25,0.25
10:39:45.0,0.5,0.249,0.0
10:39:46.0,0.0,0.0,0.5
10:39:47.0,0.0,0.251,0.5
10:39:48.0,0.25,0.0,11.083
10:39:49.0,74.242,31.75,83.46
10:39:50.0,66.24,84.263,67.336
10:39:51.0,0.0,38.19,2.255
10:39:52.0,0.25,0.251,0.25
10:39:53.0,0.25,0.0,0.25
10:39:54.0,0.0,0.0,0.0
10:39:55.0,0.249,0.0,0.25
10:39:56.0,0.0,0.251,0.0
10:39:57.0,0.0,0.251,0.25
10:39:58.0,0.25,0.0,0.25
10:39:59.0,0.0,0.25,0.0
10:40:00.0,0.0,0.25,0.25
10:40:01.0,0.5,0.25,0.0
10:40:02.0,0.0,0.502,0.0
10:40:03.0,0.25,0.0,0.25
10:40:04.0,0.25,0.25,1.005
10:40:05.0,41.666,1.005,64.885
10:40:06.0,85.138,76.785,82.82
10:40:07.0,32.33,58.201,19.143
10:40:08.0,7.98,2.531,0.25
10:40:09.0,0.75,0.0,0.0
10:40:10.0,0.5,0.5,0.751
10:40:11.0,0.0,0.25,1.0
10:40:12.0,0.25,0.249,0.502
10:40:13.0,0.25,0.25,0.0
10:40:14.0,0.25,0.25,0.0
10:40:15.0,0.0,0.0,0.25
10:40:16.0,0.0,0.0,0.25
10:40:17.0,0.0,0.5,0.251
10:40:18.0,0.0,0.0,0.25
10:40:19.0,0.5,0.0,0.0
10:40:20.0,0.0,0.25,0.5
10:40:21.0,0.25,0.25,0.0
10:40:22.0,0.25,0.25,12.594
10:40:23.0,76.942,29.187,74.747
10:40:24.0,53.141,67.362,68.461
10:40:25.0,22.556,54.973,19.7
10:40:26.0,0.0,0.0,0.25
