Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
18:48:58.0,1.485,0.736,1.024
18:48:59.0,0.25,0.498,0.0
18:49:00.0,0.0,0.25,0.498
18:49:01.0,0.0,0.0,0.25
18:49:02.0,0.25,0.25,0.502
18:49:03.0,1.0,0.498,0.0
18:49:04.0,0.0,0.25,0.249
18:49:05.0,0.25,0.25,0.0
18:49:06.0,0.25,0.251,0.0
18:49:07.0,0.0,0.249,0.251
18:49:08.0,7.304,0.0,0.0
18:49:09.0,57.033,33.924,48.469
18:49:10.0,88.101,89.367,93.181
18:49:11.0,90.909,92.443,89.75
18:49:12.0,90.68,90.954,92.713
18:49:13.0,87.626,88.832,90.126
18:49:14.0,89.646,87.5,92.639
18:49:15.0,89.42,86.989,92.481
18:49:16.0,90.33,84.987,91.161
18:49:17.0,89.168,87.657,87.81
18:49:18.0,89.62,83.333,88.324
18:49:19.0,89.113,84.924,86.815
18:49:20.0,88.071,83.375,87.121
18:49:21.0,87.309,83.756,86.75
18:49:22.0,86.04,83.887,88.324
18:49:23.0,85.606,84.886,85.025
18:49:24.0,89.795,85.642,85.785
18:49:25.0,84.962,80.867,86.989
18:49:26.0,87.25,77.319,84.871
18:49:27.0,87.692,69.028,83.838
18:49:28.0,86.04,52.617,87.212
18:49:29.0,86.363,41.469,85.175
18:49:30.0,84.987,40.108,85.271
18:49:31.0,86.901,40.568,84.556
18:49:32.0,87.185,41.025,89.285
18:49:33.0,87.373,43.603,85.063
18:49:34.0,87.179,41.644,83.037
18:49:35.0,86.835,40.519,77.093
18:49:36.0,82.051,42.171,51.428
18:49:37.0,64.961,44.854,47.894
18:49:38.0,49.735,41.253,48.963
18:49:39.0,49.622,41.775,50.51
18:49:40.0,49.614,40.051,44.562
18:49:41.0,43.896,40.837,51.041
18:49:42.0,79.896,64.01,74.424
18:49:43.0,81.313,74.619,83.248
18:49:44.0,72.351,74.936,64.795
18:49:45.0,49.354,43.896,48.129
18:49:46.0,42.587,45.454,50.899
18:49:47.0,44.587,42.239,44.854
18:49:48.0,65.228,48.806,60.892
18:49:49.0,54.498,73.901,80.357
18:49:50.0,41.424,39.164,47.849
18:49:51.0,48.704,41.666,46.858
18:49:52.0,43.617,40.463,44.117
18:49:53.0,44.02,44.041,41.758
18:49:54.0,44.327,38.873,49.081
18:49:55.0,60.858,51.948,57.106
18:49:56.0,48.257,63.613,52.01
18:49:57.0,47.439,40.826,44.072
18:49:58.0,45.077,38.4,43.466
18:49:59.0,43.386,39.48,46.456
18:50:00.0,41.778,42.133,41.711
18:50:01.0,47.326,42.93,46.428
18:50:02.0,44.531,39.05,47.3
18:50:03.0,60.519,50.0,57.948
18:50:04.0,47.154,47.967,52.032
18:50:05.0,44.642,40.616,45.994
18:50:06.0,42.276,42.519,43.801
18:50:07.0,50.995,39.947,48.284
18:50:08.0,46.5,40.463,43.386
18:50:09.0,44.094,39.622,48.67
18:50:10.0,45.714,39.637,45.04
18:50:11.0,61.298,47.814,56.657
18:50:12.0,57.76,50.259,57.599
18:50:13.0,42.513,41.509,41.935
18:50:14.0,42.78,40.314,46.233
18:50:15.0,40.8,40.157,49.732
18:50:16.0,48.101,39.845,43.535
18:50:17.0,45.077,41.253,48.806
18:50:18.0,47.872,40.526,46.253
18:50:19.0,43.236,40.31,44.757
18:50:20.0,65.974,54.947,61.832
18:50:21.0,56.958,76.863,76.47
18:50:22.0,45.549,36.538,44.723
18:50:23.0,45.153,39.353,44.892
18:50:24.0,43.915,40.31,45.43
18:50:25.0,43.152,37.569,45.077
18:50:26.0,50.632,40.731,43.979
18:50:27.0,42.67,37.465,46.419
18:50:28.0,42.162,41.494,42.506
18:50:29.0,47.88,41.732,45.316
18:50:30.0,62.982,51.522,60.102
18:50:31.0,72.89,68.38,58.994
18:50:32.0,44.186,40.051,47.286
18:50:33.0,43.582,39.22,44.117
18:50:34.0,42.931,39.682,45.974
18:50:35.0,48.205,40.306,48.071
18:50:36.0,43.229,41.192,46.907
18:50:37.0,43.187,42.462,43.765
18:50:38.0,45.118,38.297,44.562
18:50:39.0,44.892,40.779,45.406
18:50:40.0,53.076,43.75,51.804
18:50:41.0,57.255,58.247,60.621
18:50:42.0,40.691,38.563,47.545
18:50:43.0,44.327,40.616,45.641
18:50:44.0,49.36,41.432,46.63
18:50:45.0,44.327,41.518,50.132
18:50:46.0,42.933,42.966,46.77
18:50:47.0,44.05,36.729,45.502
18:50:48.0,48.031,38.337,44.657
18:50:49.0,43.342,44.186,51.53
18:50:50.0,63.239,52.151,57.772
18:50:51.0,47.607,46.808,51.282
18:50:52.0,43.467,39.74,43.882
18:50:53.0,43.989,39.588,49.357
18:50:54.0,48.697,40.568,44.179
18:50:55.0,41.884,40.0,43.717
18:50:56.0,44.587,48.963,51.697
18:50:57.0,42.036,41.099,45.811
18:50:58.0,48.01,39.79,44.117
18:50:59.0,45.144,41.919,49.608
18:51:00.0,57.142,60.824,62.755
18:51:01.0,45.012,39.898,43.36
18:51:02.0,43.044,38.297,45.854
18:51:03.0,46.614,40.506,47.668
18:51:04.0,44.559,45.169,46.38
18:51:05.0,44.01,39.528,45.077
18:51:06.0,44.27,42.857,45.714
18:51:07.0,46.649,42.131,47.68
18:51:08.0,58.354,51.958,59.58
