Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
10:01:02.0,1.666,0.672,
10:01:03.0,0.0,0.0,1.216
10:01:04.0,0.0,0.501,0.746
10:01:05.0,0.0,0.0,0.25
10:01:06.0,0.0,1.5,0.248
10:01:07.0,0.25,0.0,0.25
10:01:08.0,0.249,0.25,0.25
10:01:09.0,0.502,0.0,0.25
10:01:10.0,0.0,0.25,1.243
10:01:11.0,0.0,0.0,0.997
10:01:12.0,28.571,49.5,15.365
10:01:13.0,86.397,91.414,89.113
10:01:14.0,86.716,94.763,93.25
10:01:15.0,84.143,97.481,91.457
10:01:16.0,83.248,90.074,93.734
10:01:17.0,88.131,92.481,92.947
10:01:18.0,85.204,90.126,92.5
10:01:19.0,87.848,90.792,94.0
10:01:20.0,87.878,87.121,89.724
10:01:21.0,85.858,85.929,88.071
10:01:22.0,87.309,88.059,87.755
10:01:23.0,86.683,88.383,88.636
10:01:24.0,85.175,86.616,88.22
10:01:25.0,86.034,85.894,88.295
10:01:26.0,85.641,84.438,85.5
10:01:27.0,84.962,85.572,89.54
10:01:28.0,84.09,86.363,86.7
10:01:29.0,84.517,86.294,86.111
10:01:30.0,82.531,88.311,86.649
10:01:31.0,61.989,87.78,84.398
10:01:32.0,58.656,88.265,78.461
10:01:33.0,51.308,85.496,75.566
10:01:34.0,47.545,85.714,63.333
10:01:35.0,47.715,84.01,52.741
10:01:36.0,41.37,65.013,44.504
10:01:37.0,42.784,54.308,51.421
10:01:38.0,39.841,47.642,43.782
10:01:39.0,41.388,46.808,43.478
10:01:40.0,40.957,51.908,44.356
10:01:41.0,39.361,42.78,41.644
10:01:42.0,47.439,44.473,43.765
10:01:43.0,43.814,48.704,43.222
10:01:44.0,45.063,45.43,42.487
10:01:45.0,48.958,67.43,49.476
10:01:46.0,84.398,86.18,87.563
10:01:47.0,72.89,86.432,84.09
10:01:48.0,40.673,61.712,55.641
10:01:49.0,42.199,42.744,43.107
10:01:50.0,40.476,48.621,43.718
10:01:51.0,39.787,56.282,45.478
10:01:52.0,79.695,86.04,79.093
10:01:53.0,67.792,54.663,65.989
10:01:54.0,39.577,41.286,42.368
10:01:55.0,39.841,47.704,41.424
10:01:56.0,40.369,44.961,42.317
10:01:57.0,41.968,42.4,45.953
10:01:58.0,43.65,58.047,47.948
10:01:59.0,56.01,48.825,53.282
10:02:00.0,40.052,47.422,43.814
10:02:01.0,41.221,43.617,42.021
10:02:02.0,41.475,44.757,40.862
10:02:03.0,40.157,48.329,44.871
10:02:04.0,43.636,43.466,39.178
10:02:05.0,41.752,45.75,45.526
10:02:06.0,46.56,59.287,47.395
10:02:07.0,54.068,54.241,56.167
10:02:08.0,43.535,44.179,46.291
10:02:09.0,39.425,43.466,43.116
10:02:10.0,41.86,46.858,39.946
10:02:11.0,40.259,42.359,40.86
10:02:12.0,40.979,42.245,42.171
10:02:13.0,43.209,46.56,44.73
10:02:14.0,44.063,51.458,45.931
10:02:15.0,58.267,54.404,60.406
10:02:16.0,40.789,43.877,39.583
10:02:17.0,40.259,41.207,43.002
10:02:18.0,43.915,47.258,46.456
10:02:19.0,41.772,43.989,42.091
10:02:20.0,43.467,43.229,45.939
10:02:21.0,41.038,45.91,43.222
10:02:22.0,40.463,42.328,44.416
10:02:23.0,40.759,54.278,43.603
10:02:24.0,72.351,76.903,70.833
10:02:25.0,50.131,51.587,48.787
10:02:26.0,38.481,42.091,40.0
10:02:27.0,38.903,45.386,40.526
10:02:28.0,39.893,45.177,44.647
10:02:29.0,45.758,47.927,41.509
10:02:30.0,40.0,43.351,40.682
10:02:31.0,41.752,44.01,40.909
10:02:32.0,40.885,45.669,40.7
10:02:33.0,40.944,49.379,46.214
10:02:34.0,65.162,64.795,58.505
10:02:35.0,57.853,43.116,46.923
10:02:36.0,39.896,46.486,40.364
10:02:37.0,41.494,42.666,40.469
10:02:38.0,36.842,43.569,44.791
10:02:39.0,39.331,48.195,43.782
10:02:40.0,43.947,45.591,48.743
10:02:41.0,39.841,45.292,43.307
10:02:42.0,40.826,47.12,45.408
10:02:43.0,40.105,52.926,46.01
10:02:44.0,59.278,56.919,60.846
10:02:45.0,40.779,42.783,41.397
10:02:46.0,37.94,46.803,42.287
10:02:47.0,41.038,43.466,45.43
10:02:48.0,39.459,41.53,45.454
10:02:49.0,39.361,47.545,45.595
10:02:50.0,40.625,43.511,42.287
10:02:51.0,43.307,44.946,46.31
10:02:52.0,39.641,48.831,42.245
10:02:53.0,50.0,64.16,67.179
10:02:54.0,49.872,51.0,80.612
10:02:55.0,42.894,45.431,51.662
10:02:56.0,40.211,44.836,40.575
10:02:57.0,38.829,42.622,41.207
10:02:58.0,38.4,43.085,42.819
10:02:59.0,39.787,44.086,40.526
10:03:00.0,39.2,45.312,44.356
10:03:01.0,40.625,44.987,41.191
10:03:02.0,38.709,51.832,42.077
10:03:03.0,56.657,56.135,59.791
10:03:04.0,42.051,46.4,40.779
10:03:05.0,41.457,45.953,42.783
10:03:06.0,40.051,48.661,40.211
10:03:07.0,45.454,47.164,40.74
10:03:08.0,40.682,45.641,43.455
10:03:09.0,40.155,44.303,45.268
10:03:10.0,39.843,46.475,39.622
10:03:11.0,53.746,60.824,53.164
10:03:12.0,56.33,44.845,48.947
10:03:13.0,39.267,43.603,40.0
10:03:14.0,40.568,47.78,43.765
10:03:15.0,41.16,47.058,46.305
10:03:16.0,39.185,45.194,44.587
10:03:17.0,40.157,46.354,41.927
10:03:18.0,40.74,44.908,44.897
10:03:19.0,45.547,59.114,52.219
10:03:20.0,59.22,54.376,51.458
10:03:21.0,39.119,45.522,40.848
10:03:22.0,39.05,46.31,46.391
10:03:23.0,41.388,45.088,41.752
10:03:24.0,36.939,43.75,42.819
10:03:25.0,43.817,48.091,41.489
10:03:26.0,39.743,45.406,44.155
10:03:27.0,40.051,42.587,46.233
10:03:28.0,61.25,56.467,44.986
10:03:29.0,57.989,52.911,57.662
10:03:30.0,39.534,47.208,40.104
10:03:31.0,38.759,42.553,41.237
10:03:32.0,40.052,41.643,41.775
10:03:33.0,39.2,46.632,41.823
10:03:34.0,40.673,44.642,43.076
10:03:35.0,41.836,42.627,41.645
10:03:36.0,40.897,47.012,41.645
10:03:37.0,42.894,44.358,41.032
10:03:38.0,49.473,61.477,62.278
10:03:39.0,44.179,43.444,45.409
10:03:40.0,38.86,46.666,44.702
10:03:41.0,44.935,49.476,50.13
10:03:42.0,62.21,66.165,66.412
10:03:43.0,63.144,65.139,63.324
10:03:44.0,61.757,67.676,65.116
10:03:45.0,57.474,52.467,58.823
10:03:46.0,41.176,43.163,41.315
10:03:47.0,39.947,47.409,43.256
10:03:48.0,54.046,59.685,62.834
10:03:49.0,42.895,43.181,44.818
10:03:50.0,37.874,44.389,39.839
10:03:51.0,40.568,45.691,43.526
10:03:52.0,38.701,45.052,40.54
10:03:53.0,41.73,42.487,43.112
10:03:54.0,43.958,45.843,41.207
10:03:55.0,37.903,46.093,44.297
10:03:56.0,40.512,43.75,46.153
10:03:57.0,40.92,53.351,48.346
10:03:58.0,57.326,50.253,54.358
10:03:59.0,40.256,44.562,40.526
10:04:00.0,38.031,42.894,42.558
10:04:01.0,39.686,41.489,42.257
10:04:02.0,39.37,44.961,45.118
10:04:03.0,41.406,46.616,42.455
10:04:04.0,39.473,45.641,42.318
10:04:05.0,40.157,51.015,45.736
10:04:06.0,57.105,71.755,69.82
10:04:07.0,77.889,71.536,75.373
10:04:08.0,68.844,72.319,71.859
10:04:09.0,71.393,72.0,71.144
10:04:10.0,70.528,48.469,49.624
10:04:11.0,61.809,48.854,47.422
10:04:12.0,46.599,67.263,58.883
10:04:13.0,50.899,48.346,75.063
10:04:14.0,44.715,45.623,48.437
10:04:15.0,51.785,63.171,57.251
10:04:16.0,56.598,55.778,56.202
10:04:17.0,40.641,47.193,40.641
10:04:18.0,38.759,45.758,43.229
10:04:19.0,46.766,48.806,42.199
10:04:20.0,41.282,50.515,69.509
10:04:21.0,50.656,43.085,53.626
10:04:22.0,42.171,43.75,43.654
10:04:23.0,43.596,47.448,41.688
10:04:24.0,39.528,53.35,55.269
10:04:25.0,59.183,60.732,55.012
10:04:26.0,52.538,61.518,62.69
10:04:27.0,55.641,64.467,61.363
10:04:28.0,59.541,60.769,60.769
10:04:29.0,41.282,68.956,63.358
10:04:30.0,39.018,67.506,55.038
10:04:31.0,41.836,49.608,46.753
10:04:32.0,40.463,45.219,45.118
10:04:33.0,56.675,61.24,66.666
10:04:34.0,48.284,44.845,50.659
10:04:35.0,45.36,53.746,48.081
10:04:36.0,42.159,45.736,44.27
10:04:37.0,44.27,47.258,55.495
10:04:38.0,46.582,45.144,44.619
10:04:39.0,39.432,44.329,45.43
10:04:40.0,39.74,40.533,45.691
10:04:41.0,40.664,48.37,45.43
10:04:42.0,51.546,59.689,59.114
10:04:43.0,53.703,51.015,53.045
10:04:44.0,49.62,55.867,44.871
10:04:45.0,49.367,44.908,45.088
10:04:46.0,40.256,46.335,44.041
10:04:47.0,42.708,44.387,46.997
10:04:48.0,41.984,45.177,43.376
10:04:49.0,42.359,49.0,43.386
10:04:50.0,40.5,47.105,44.702
10:04:51.0,42.784,52.03,49.004
10:04:52.0,54.947,59.326,59.59
10:04:53.0,41.818,42.377,41.803
10:04:54.0,41.494,46.035,46.373
10:04:55.0,39.637,48.825,43.75
10:04:56.0,38.541,42.519,42.187
10:04:57.0,39.787,41.424,41.489
10:04:58.0,42.317,42.359,44.619
10:04:59.0,42.105,47.15,44.529
10:05:00.0,39.686,44.186,41.623
10:05:01.0,48.031,60.981,63.239
10:05:02.0,53.626,50.255,50.128
10:05:03.0,38.046,44.764,44.67
10:05:04.0,37.368,48.101,45.572
10:05:05.0,39.577,43.864,45.618
10:05:06.0,42.239,63.824,42.431
10:05:07.0,39.142,68.781,42.97
10:05:08.0,41.73,50.0,44.094
10:05:09.0,44.332,41.53,42.78
10:05:10.0,40.885,54.987,52.941
10:05:11.0,59.689,54.046,56.171
10:05:12.0,39.37,45.994,44.245
10:05:13.0,40.482,46.511,42.933
10:05:14.0,38.069,49.367,41.688
10:05:15.0,41.176,43.817,44.274
10:05:16.0,40.731,43.007,45.194
10:05:17.0,41.131,46.361,41.666
10:05:18.0,39.787,46.511,42.328
10:05:19.0,52.879,61.012,62.436
10:05:20.0,51.03,47.435,40.568
10:05:21.0,41.709,44.818,45.822
10:05:22.0,40.512,46.786,42.748
10:05:23.0,41.818,45.384,45.526
10:05:24.0,37.994,43.523,42.708
10:05:25.0,44.584,47.208,41.952
10:05:26.0,42.091,47.557,46.984
10:05:27.0,43.85,45.897,42.239
10:05:28.0,46.173,61.209,61.928
10:05:29.0,52.196,48.445,45.623
10:05:30.0,41.534,43.979,45.0
10:05:31.0,39.895,45.526,41.038
10:05:32.0,41.176,41.144,46.25
10:05:34.0,39.322,46.564,42.48
10:05:35.0,43.832,44.652,42.744
10:05:36.0,39.361,44.935,42.146
10:05:37.0,46.666,59.383,57.559
10:05:38.0,62.982,56.997,54.404
10:05:39.0,46.719,45.897,42.462
10:05:40.0,40.0,45.292,44.3
10:05:41.0,43.187,48.081,48.021
10:05:42.0,41.959,43.351,41.432
10:05:43.0,42.487,49.618,48.138
10:05:44.0,43.478,54.145,64.01
10:05:45.0,60.969,68.956,68.461
10:05:46.0,65.374,73.88,70.153
10:05:47.0,75.959,74.168,73.027
