Elapsed time,192.168.46.11 CPU user,192.168.46.12 CPU user,192.168.46.13 CPU user
09:53:56.0,0.26,,0.23
09:53:57.0,0.497,0.23,0.25
09:53:58.0,0.0,0.25,0.25
09:53:59.0,1.503,1.005,0.5
09:54:00.0,0.25,0.501,0.502
09:54:01.0,0.25,1.0,0.75
09:54:02.0,0.25,0.0,0.0
09:54:03.0,0.25,1.0,0.25
09:54:04.0,0.249,0.0,0.249
09:54:05.0,0.0,0.0,1.002
09:54:06.0,0.25,0.751,0.25
09:54:07.0,0.0,0.25,0.25
09:54:08.0,0.25,0.25,0.0
09:54:09.0,0.249,0.25,0.997
09:54:10.0,0.0,1.99,0.25
09:54:11.0,0.501,0.5,0.251
09:54:12.0,7.788,0.75,3.007
09:54:13.0,10.25,2.756,46.599
09:54:14.0,43.147,33.834,0.5
09:54:15.0,0.497,0.25,38.324
09:54:16.0,42.786,29.516,0.498
09:54:17.0,0.25,2.512,29.873
09:54:18.0,27.135,23.5,0.5
09:54:19.0,0.25,2.756,27.664
09:54:20.0,16.29,13.076,0.25
09:54:21.0,0.5,8.04,17.884
09:54:22.0,28.0,13.784,0.25
09:54:23.0,6.234,4.0,24.874
09:54:24.0,14.102,17.512,0.25
09:54:25.0,0.25,1.256,25.822
09:54:26.0,18.045,13.715,2.493
09:54:27.0,0.498,0.751,20.05
09:54:28.0,22.979,11.363,0.25
09:54:29.0,1.25,0.997,17.005
09:54:30.0,10.969,13.784,1.758
09:54:31.0,0.25,2.75,10.687
09:54:32.0,7.868,9.595,0.0
09:54:33.0,0.248,1.253,21.303
09:54:34.0,23.929,7.537,0.249
09:54:35.0,3.007,0.25,27.272
09:54:36.0,40.452,6.091,8.521
09:54:37.0,6.483,1.496,8.121
09:54:38.0,6.852,4.05,0.0
09:54:39.0,0.25,0.251,14.393
09:54:40.0,15.829,14.925,0.0
09:54:41.0,0.25,0.252,16.541
09:54:42.0,15.789,10.199,0.249
09:54:43.0,1.496,0.25,23.797
09:54:44.0,8.229,9.181,0.0
09:54:45.0,0.249,0.75,7.231
09:54:46.0,9.523,11.662,0.0
09:54:47.0,0.25,1.25,9.022
09:54:48.0,7.556,4.303,0.249
09:54:49.0,0.25,0.997,9.701
09:54:50.0,5.778,20.0,0.25
09:54:51.0,0.0,12.219,8.121
09:54:52.0,7.035,9.873,0.25
09:54:53.0,0.501,0.748,5.541
09:54:54.0,17.456,3.299,0.25
09:54:55.0,0.25,0.751,30.402
09:54:56.0,24.812,7.249,5.263
09:54:57.0,1.5,0.25,6.783
09:54:58.0,5.012,8.706,0.0
09:54:59.0,0.0,1.496,15.113
09:55:00.0,11.881,4.488,0.751
09:55:01.0,0.0,0.501,10.75
09:55:02.0,10.275,6.203,0.497
09:55:03.0,0.25,0.75,5.025
09:55:04.0,16.372,5.037,1.75
09:55:05.0,1.253,0.502,1.005
09:55:06.0,1.496,5.037,7.444
09:55:07.0,7.07,1.002,0.501
09:55:08.0,1.0,9.5,8.436
09:55:09.0,32.16,1.503,3.508
09:55:10.0,1.763,2.763,8.478
09:55:11.0,1.25,1.243,2.763
09:55:12.0,2.77,8.312,1.5
09:55:13.0,0.25,1.253,22.361
09:55:14.0,8.101,8.663,3.75
09:55:15.0,0.5,0.252,4.488
09:55:16.0,0.501,17.241,2.244
09:55:17.0,1.763,4.0,1.253
09:55:18.0,0.75,3.022,4.271
09:55:19.0,3.74,1.503,1.01
09:55:20.0,1.754,2.244,0.997
09:55:21.0,6.015,26.13,1.995
09:55:22.0,1.503,23.484,0.252
09:55:23.0,0.498,1.503,4.5
09:55:24.0,3.787,8.585,3.007
09:55:25.0,0.251,1.262,39.097
09:55:26.0,0.251,19.899,14.393
09:55:27.0,1.5,10.473,2.512
09:55:28.0,0.0,1.754,13.994
09:55:29.0,2.025,9.319,10.714
09:55:30.0,0.25,2.005,7.017
09:55:31.0,0.992,2.005,11.083
09:55:32.0,1.015,1.5,8.457
09:55:33.0,0.502,2.506,15.656
09:55:34.0,9.296,8.25,7.088
09:55:35.0,0.0,0.751,5.569
09:55:36.0,1.0,2.005,8.728
09:55:37.0,1.758,1.754,4.534
09:55:38.0,0.748,1.002,21.065
