Elapsed time,192.168.46.11 Memory unit=mb:used,192.168.46.12 Memory unit=mb:used,192.168.46.13 Memory unit=mb:used
18:07:31.0,,4743.238,4729.824
18:07:32.0,4771.437,,
18:07:33.0,4771.542,4743.632,4729.824
18:07:34.0,4771.574,4743.988,4730.824
18:07:35.0,4771.785,4743.988,4731.218
18:07:36.0,4771.785,4743.988,4731.218
18:07:37.0,4771.777,4744.109,4731.218
18:07:38.0,4771.656,4744.312,4731.218
18:07:39.0,4772.265,4744.554,4731.703
18:07:40.0,4795.402,4756.222,4753.207
18:07:41.0,4807.605,4775.355,4763.804
18:07:42.0,4816.382,4784.218,4771.257
18:07:43.0,4823.792,4795.082,4779.226
18:07:44.0,4832.089,4803.417,4787.16
18:07:45.0,4837.71,4812.359,4794.894
18:07:46.0,4841.554,4819.328,4802.214
18:07:47.0,4849.949,4826.511,4809.691
18:07:48.0,4853.535,4832.55,4815.687
18:07:49.0,4862.996,4839.101,4821.949
18:07:50.0,4868.113,4844.062,4830.66
18:07:51.0,4874.062,4852.105,4835.796
18:07:52.0,4880.097,4857.429,4841.324
18:07:53.0,4887.218,4863.429,4847.539
18:07:54.0,4893.324,4869.835,4853.718
18:07:55.0,4899.679,4876.253,4859.281
18:07:56.0,4907.261,4882.675,4866.675
18:07:57.0,4914.66,4889.226,4872.355
18:07:58.0,4920.55,4895.972,4880.289
18:07:59.0,4926.636,4902.398,4886.207
18:08:00.0,4933.394,4908.777,4893.257
18:08:01.0,4939.542,4914.441,4901.378
18:08:02.0,4945.558,4921.625,4906.683
18:08:03.0,4952.277,4928.132,4913.972
18:08:04.0,4958.832,4934.585,4920.429
18:08:05.0,4965.066,4940.968,4927.41
18:08:06.0,4971.039,4947.382,4934.71
18:08:07.0,4977.171,4953.929,4940.914
18:08:08.0,4983.789,4960.574,4946.917
18:08:09.0,4989.394,4967.585,4954.539
18:08:10.0,4996.593,4974.031,4960.675
18:08:11.0,5002.484,4979.886,4966.343
18:08:12.0,5008.605,4986.562,4973.191
18:08:13.0,5028.746,4993.898,4981.968
18:08:14.0,5040.507,5011.355,4997.015
18:08:15.0,5046.757,5022.105,5009.859
18:08:16.0,5052.847,5030.796,5017.863
18:08:17.0,5059.292,5038.281,5024.492
18:08:18.0,5065.527,5044.523,5030.695
18:08:19.0,5092.546,5054.925,5053.152
18:08:20.0,5099.382,5079.035,5064.519
18:08:21.0,5105.687,5089.277,5070.347
18:08:22.0,5111.937,5095.777,5077.019
18:08:23.0,5117.996,5101.878,5082.605
18:08:24.0,5124.203,5107.902,5089.976
18:08:25.0,5141.816,5114.32,5098.289
18:08:26.0,5161.121,5145.0,5126.601
18:08:27.0,5167.218,5151.441,5132.695
18:08:28.0,5173.644,5157.718,5138.589
18:08:29.0,5180.257,5164.117,5144.402
18:08:30.0,5185.953,5170.847,5151.378
18:08:31.0,5192.898,5176.484,5156.972
18:08:32.0,5198.859,5182.679,5163.132
18:08:33.0,5223.21,5191.289,5183.89
18:08:34.0,5237.05,5221.105,5201.542
18:08:35.0,5243.167,5227.64,5207.128
18:08:36.0,5249.218,5233.757,5214.289
18:08:37.0,5254.855,5239.449,5220.601
18:08:38.0,5261.66,5246.308,5225.875
18:08:39.0,5268.187,5252.746,5232.957
18:08:40.0,5274.558,5258.449,5239.417
18:08:41.0,5288.222,5265.14,5248.14
18:08:42.0,5317.292,5300.519,5278.796
18:08:43.0,5323.921,5307.73,5288.699
18:08:44.0,5329.929,5314.046,5295.691
18:08:45.0,5335.863,5321.179,5301.781
18:08:46.0,5348.601,5333.429,5314.761
18:08:47.0,5355.148,5339.546,5321.277
18:08:48.0,5361.101,5346.074,5326.726
18:08:49.0,5363.015,5352.679,5328.484
18:08:50.0,5369.25,5355.582,5334.566
18:08:51.0,5403.187,5387.382,5367.335
18:08:52.0,5251.246,5233.273,5376.035
18:08:53.0,5257.031,5239.441,5220.972
18:08:54.0,5258.328,5245.457,5226.101
18:08:55.0,5264.531,5251.656,5232.769
18:08:56.0,5269.976,5257.718,5238.687
18:08:57.0,5276.25,5264.136,5245.011
18:08:58.0,5282.207,5269.503,5251.207
18:08:59.0,5288.531,5276.48,5256.914
18:09:00.0,5294.812,5283.285,5263.433
18:09:01.0,5325.914,5305.21,5290.238
