Elapsed time,192.168.46.11 Memory unit=mb:used,192.168.46.12 Memory unit=mb:used,192.168.46.13 Memory unit=mb:used
10:01:02.0,5170.425,5080.144,
10:01:03.0,5170.425,5080.144,5124.66
10:01:04.0,5170.425,5080.144,5124.66
10:01:05.0,5170.425,5080.144,5124.66
10:01:06.0,5170.425,5083.343,5124.66
10:01:07.0,5170.425,5083.343,5124.66
10:01:08.0,5170.425,5083.343,5124.66
10:01:09.0,5171.929,5083.171,5124.66
10:01:10.0,5171.878,5080.628,5124.253
10:01:11.0,5169.964,5080.628,5124.097
10:01:12.0,5189.531,5128.105,5130.332
10:01:13.0,5226.503,5142.73,5174.406
10:01:14.0,5251.078,5156.179,5184.433
10:01:15.0,5259.804,5170.941,5189.265
10:01:16.0,5265.289,5176.367,5206.046
10:01:17.0,5270.289,5189.765,5223.613
10:01:18.0,5277.41,5195.261,5232.054
10:01:19.0,5286.042,5205.628,5243.292
10:01:20.0,5300.269,5200.531,5246.773
10:01:21.0,5322.457,5210.343,5245.308
10:01:22.0,5328.691,5223.531,5256.492
10:01:23.0,5327.925,5229.351,5269.351
10:01:24.0,5333.972,5239.05,5278.859
10:01:25.0,5340.921,5226.019,5285.847
10:01:26.0,5331.417,5240.128,5297.003
10:01:27.0,5339.398,5257.699,5303.675
10:01:28.0,5345.98,5266.859,5309.949
10:01:29.0,5349.902,5271.488,5316.222
10:01:30.0,5356.484,5272.824,5318.101
10:01:31.0,5342.816,5278.519,5306.242
10:01:32.0,5353.996,5283.195,5311.066
10:01:33.0,5359.726,5289.671,5323.472
10:01:34.0,5364.449,5296.23,5327.96
10:01:35.0,5371.0,5297.41,5333.921
10:01:36.0,5372.468,5304.406,5331.605
10:01:37.0,5378.226,5308.941,5340.863
10:01:38.0,5383.406,5314.91,5344.007
10:01:39.0,5389.73,5321.078,5350.335
10:01:40.0,5396.617,5316.574,5357.175
10:01:41.0,5400.765,5322.207,5357.656
10:01:42.0,5411.382,5327.804,5363.843
10:01:43.0,5418.449,5335.8,5370.042
10:01:44.0,5423.523,5341.914,5376.066
10:01:45.0,5431.332,5374.242,5384.039
10:01:46.0,5472.136,5393.257,5408.882
10:01:47.0,5475.085,5416.89,5429.132
10:01:48.0,5481.343,5416.515,5435.152
10:01:49.0,5487.746,5422.617,5442.253
10:01:50.0,5494.16,5399.691,5448.527
10:01:51.0,5483.222,5417.421,5443.617
10:01:52.0,5526.902,5454.613,5484.55
10:01:53.0,5536.191,5459.472,5494.335
10:01:54.0,5541.25,5465.675,5499.558
10:01:55.0,5548.339,5451.3,5505.097
10:01:56.0,5537.199,5457.437,5493.265
10:01:57.0,5543.039,5464.351,5499.101
10:01:58.0,5553.332,5489.726,5512.332
10:01:59.0,5578.574,5500.183,5535.25
10:02:00.0,5584.082,5506.605,5541.359
10:02:01.0,5590.777,5514.644,5547.875
10:02:02.0,5597.933,5520.835,5554.117
10:02:03.0,5604.878,5526.644,5560.98
10:02:04.0,5610.265,5532.64,5566.855
10:02:05.0,5617.156,5539.07,5572.355
10:02:06.0,5632.882,5563.183,5586.585
10:02:07.0,5655.832,5574.16,5610.664
10:02:08.0,5662.105,5580.804,5616.652
10:02:09.0,5668.093,5586.718,5622.531
10:02:10.0,5674.644,5592.085,5628.8
10:02:11.0,5678.695,5596.5,5633.343
10:02:12.0,5684.503,5602.882,5639.273
10:02:13.0,5690.71,5608.488,5645.05
10:02:14.0,5699.757,5634.511,5659.156
10:02:15.0,5733.445,5650.207,5689.277
10:02:16.0,5739.363,5657.054,5693.406
10:02:17.0,5745.613,5662.992,5699.582
10:02:18.0,5750.953,5669.417,5709.23
10:02:19.0,5757.585,5675.757,5714.742
10:02:20.0,5763.769,5681.789,5720.636
10:02:21.0,5769.285,5687.082,5724.214
10:02:22.0,5775.484,5693.714,5729.609
10:02:23.0,5781.468,5718.531,5738.148
10:02:24.0,5823.91,5591.175,5777.101
10:02:25.0,5673.332,5594.003,5625.855
10:02:26.0,5669.039,5587.55,5623.691
10:02:27.0,5674.98,5593.863,5628.914
10:02:28.0,5681.496,5599.886,5634.902
10:02:29.0,5686.679,5607.871,5643.445
10:02:30.0,5693.257,5613.101,5649.23
10:02:31.0,5699.625,5619.078,5653.281
10:02:32.0,5705.503,5625.632,5659.554
10:02:33.0,5711.667,5637.515,5666.906
10:02:34.0,5752.136,5638.394,5703.113
10:02:35.0,5737.503,5644.042,5678.984
10:02:36.0,5728.484,5649.972,5683.859
10:02:37.0,5734.015,5656.71,5690.164
10:02:38.0,5740.57,5661.835,5695.125
