Elapsed time,192.168.46.11 Memory unit=mb:used,192.168.46.12 Memory unit=mb:used,192.168.46.13 Memory unit=mb:used
11:00:43.0,9489.164,11313.179,9929.828
11:00:44.0,9489.164,11313.3,9930.019
11:00:45.0,9489.285,11313.3,9930.14
11:00:46.0,9489.285,11313.421,9930.14
11:00:47.0,9489.406,11313.3,9930.14
11:00:48.0,9489.406,11313.3,9929.421
11:00:49.0,9489.406,11313.3,9929.171
11:00:50.0,9489.406,11313.3,9929.171
11:00:51.0,9510.328,11313.3,9929.171
11:00:52.0,9531.707,11350.234,9951.765
11:00:53.0,9550.535,11366.203,9967.218
11:00:54.0,9557.574,11367.007,9972.117
11:00:55.0,9558.855,11370.695,9976.968
11:00:56.0,9560.234,11366.945,9980.523
11:00:57.0,9564.625,11369.503,9983.957
11:00:58.0,9553.914,11370.855,9985.582
11:00:59.0,9560.699,11379.171,9988.414
11:01:00.0,9575.218,11386.164,9990.964
11:01:01.0,9591.316,11389.609,9998.617
11:01:02.0,9597.718,11393.039,10003.945
11:01:03.0,9586.535,11397.441,10011.625
11:01:04.0,9589.843,11396.699,10016.707
11:01:05.0,9591.449,11404.015,10017.726
11:01:06.0,9597.503,11410.703,10024.085
11:01:07.0,9598.187,11412.449,10025.773
11:01:08.0,9581.898,11417.25,10026.992
11:01:09.0,9581.675,11420.089,10028.921
11:01:10.0,9587.011,11421.378,10031.406
11:01:11.0,9591.285,11402.242,10038.386
11:01:12.0,9600.054,11404.386,10040.41
11:01:13.0,9608.292,11406.203,10043.902
11:01:14.0,9613.187,11409.667,10049.183
11:01:15.0,9610.035,11415.414,10050.386
11:01:16.0,9613.863,11419.386,10062.425
11:01:17.0,9618.195,11420.839,10063.66
11:01:18.0,9599.582,11423.96,10047.16
11:01:19.0,9601.105,11429.406,10050.128
11:01:20.0,9603.195,11432.519,10054.07
11:01:21.0,9609.007,11433.617,10057.417
11:01:22.0,9609.109,11437.25,10058.417
11:01:23.0,9611.39,11443.332,10059.957
11:01:24.0,9614.187,11445.433,10063.859
11:01:25.0,9617.882,11446.464,10068.644
11:01:26.0,9620.203,11459.074,10071.167
11:01:27.0,9624.23,11462.64,10079.195
11:01:28.0,9618.484,11464.914,10089.984
11:01:29.0,9627.671,11468.242,10092.308
11:01:30.0,9630.433,11475.39,10098.41
11:01:31.0,9633.593,11476.859,10103.425
11:01:32.0,9635.21,11470.652,10106.644
11:01:33.0,9632.64,11473.863,10107.953
11:01:34.0,9633.308,11481.453,10095.769
11:01:35.0,9636.398,11483.164,10101.964
11:01:36.0,9640.714,11484.984,10105.625
11:01:37.0,9641.601,11482.957,10107.613
11:01:38.0,9641.07,11485.703,10106.89
11:01:39.0,9642.156,11487.539,10096.101
11:01:40.0,9642.46,11495.441,10098.753
11:01:41.0,9642.582,11489.32,10101.097
11:01:42.0,9642.613,11477.429,10111.933
11:01:43.0,9642.734,11476.582,10113.164
11:01:44.0,9642.734,11476.453,10083.898
11:01:45.0,9642.589,11476.746,10083.648
11:01:46.0,9642.589,11476.574,10082.777
11:01:47.0,9642.589,11463.132,10082.777
11:01:48.0,9642.589,11468.609,10083.019
11:01:49.0,9642.468,11468.203,10081.929
11:01:50.0,9642.468,11468.203,10081.929
11:01:51.0,9642.468,11468.203,10081.929
11:01:52.0,9642.5,11462.39,10082.05
11:01:53.0,9642.5,11462.39,10082.05
11:01:54.0,9642.5,11462.39,10082.082
11:01:55.0,9642.5,11462.39,10082.082
11:01:56.0,9642.5,11462.269,10081.89
11:01:57.0,9654.382,11472.593,10087.113
11:01:58.0,9658.5,11477.25,10097.281
11:01:59.0,9659.644,11486.472,10097.363
11:02:00.0,9664.523,11499.617,10100.207
11:02:01.0,9663.691,11510.671,10110.886
11:02:02.0,9670.792,11515.171,10117.593
11:02:03.0,9667.527,11519.011,10118.941
11:02:04.0,9671.699,11523.609,10117.035
11:02:05.0,9675.707,11528.019,10122.371
