Elapsed time,192.168.46.11 Memory unit=mb:used,192.168.46.12 Memory unit=mb:used,192.168.46.13 Memory unit=mb:used
11:18:33.0,9372.632,,9826.312
11:18:34.0,9372.511,11218.136,9826.312
11:18:35.0,9372.511,11218.136,9826.312
11:18:36.0,9372.511,11218.136,9826.312
11:18:37.0,9372.511,11218.015,9826.191
11:18:38.0,9373.316,11218.015,9826.464
11:18:39.0,9378.539,11221.359,9844.98
11:18:40.0,9396.437,11237.703,9852.359
11:18:41.0,9402.246,11249.253,9856.121
11:18:42.0,9407.804,11256.195,9858.832
11:18:43.0,9411.425,11259.621,9863.355
11:18:44.0,9411.691,11260.906,9871.332
11:18:45.0,9419.285,11266.406,9873.835
11:18:46.0,9423.714,11272.109,9876.363
11:18:47.0,9424.89,11273.601,9879.042
11:18:48.0,9425.238,11273.746,9881.828
11:18:49.0,9428.773,11275.855,9885.906
11:18:50.0,9434.304,11284.25,9888.851
11:18:51.0,9438.082,11287.097,9888.992
11:18:52.0,9436.949,11286.957,9892.804
11:18:53.0,9440.562,11286.761,9894.765
11:18:54.0,9446.453,11292.386,9894.082
11:18:55.0,9448.933,11295.566,9902.125
11:18:56.0,9450.476,11296.976,9904.613
11:18:57.0,9452.601,11298.277,9904.335
11:18:58.0,9456.476,11303.101,9909.339
11:18:59.0,9459.359,11305.632,9913.343
11:19:00.0,9461.605,11306.253,9913.519
11:19:01.0,9464.929,11307.933,9919.355
11:19:02.0,9465.976,11313.742,9920.972
11:19:03.0,9466.136,11315.914,9923.109
11:19:04.0,9471.652,11316.113,9927.05
11:19:05.0,9473.238,11318.48,9929.589
11:19:06.0,9474.75,11323.519,9930.234
11:19:07.0,9477.832,11325.195,9935.679
11:19:08.0,9483.746,11325.39,9936.066
11:19:09.0,9484.101,11326.402,9939.593
11:19:10.0,9484.113,11333.941,9941.367
11:19:11.0,9488.937,11335.625,9944.812
11:19:12.0,9492.14,11336.214,9945.878
11:19:13.0,9491.457,11338.781,9951.351
11:19:14.0,9497.542,11343.796,9953.601
11:19:15.0,9499.484,11345.132,9955.98
11:19:16.0,9500.238,11345.281,9958.578
11:19:17.0,9504.089,11349.136,9963.035
11:19:18.0,9507.101,11355.015,9964.214
11:19:19.0,9509.519,11354.628,9966.105
11:19:20.0,9509.191,11358.035,9970.39
11:19:21.0,9515.097,11360.304,9973.031
11:19:22.0,9517.582,11363.5,9974.343
11:19:23.0,9517.476,11364.339,9978.75
11:19:24.0,9523.414,11367.785,9979.351
11:19:25.0,9524.406,11368.804,9977.867
11:19:26.0,9523.441,11368.496,9979.601
11:19:27.0,9523.453,11369.617,9980.027
11:19:28.0,9532.203,11370.074,9980.027
11:19:29.0,9532.929,11370.195,9980.011
11:19:30.0,9532.929,11370.195,9980.011
11:19:31.0,9533.05,11370.195,9980.042
11:19:32.0,9533.05,11370.226,9980.042
11:19:33.0,9533.05,11370.324,9980.003
11:19:34.0,9533.011,11370.324,9980.003
11:19:35.0,9533.011,11370.324,9980.003
11:19:36.0,9527.562,11370.324,9980.003
11:19:37.0,9527.562,11370.324,9979.882
11:19:38.0,9527.32,11370.324,9979.882
11:19:39.0,9527.32,11370.355,9979.882
11:19:40.0,9527.32,11370.355,9979.882
11:19:41.0,9527.32,11370.113,9979.882
11:19:42.0,9527.351,11370.113,9979.761
11:19:43.0,9527.351,11370.113,9980.007
11:19:44.0,9531.332,11373.097,9989.074
11:19:45.0,9537.816,11382.257,9991.171
11:19:46.0,9541.519,11384.859,9998.636
11:19:47.0,9545.679,11388.656,10001.886
11:19:48.0,9548.421,11393.468,10006.921
11:19:49.0,9553.894,11396.925,10010.226
11:19:50.0,9555.3,11401.093,10014.949
11:19:51.0,9561.468,11404.628,10018.968
11:19:52.0,9563.574,11409.515,10020.644
11:19:53.0,9567.683,11412.878,10023.671
11:19:54.0,9571.421,11417.32,10025.312
11:19:55.0,9570.707,11415.863,10025.46
11:19:56.0,9570.773,11416.335,10025.46
11:19:57.0,9570.804,11416.699,10025.46
11:19:58.0,9570.683,11416.82,10025.46
11:19:59.0,9570.925,11416.941,10025.582
11:20:00.0,9570.925,11416.941,10025.613
11:20:01.0,9570.925,11416.957,10025.613
11:20:02.0,9570.925,11416.957,10025.597
11:20:03.0,9570.925,11416.957,10025.597
11:20:04.0,9570.925,11416.957,10025.597
11:20:05.0,9570.925,11416.835,10025.597
11:20:06.0,9570.804,11416.835,10025.476
11:20:07.0,9570.804,11416.835,10025.476
11:20:08.0,9570.804,11416.835,10025.476
11:20:09.0,9570.804,11416.714,10025.476
11:20:10.0,9570.562,11416.714,10025.476
11:20:11.0,9570.562,11416.835,10025.476
11:20:12.0,9570.562,11416.835,10025.476
11:20:13.0,9570.562,11416.714,10025.355
11:20:14.0,9570.441,11416.714,10025.355
11:20:15.0,9570.441,11416.835,10025.355
11:20:16.0,9570.441,11416.835,10025.355
11:20:17.0,9570.441,11416.835,10025.355
11:20:18.0,9570.941,11417.125,10027.734
11:20:19.0,9573.109,11420.839,10028.886
11:20:20.0,9574.843,11421.652,10035.832
11:20:21.0,9578.14,11427.402,10036.66
11:20:22.0,9578.972,11429.214,10036.425
11:20:23.0,9579.644,11429.48,10036.796
11:20:24.0,9579.32,11430.429,10036.945
11:20:25.0,9579.445,11430.496,10037.312
11:20:26.0,9579.07,11431.109,10037.429
11:20:27.0,9579.73,11431.718,10037.738
11:20:28.0,9579.949,11431.656,10037.8
11:20:29.0,9579.796,11431.718,10037.671
11:20:30.0,9579.863,11431.746,10037.703
11:20:31.0,9579.824,11431.402,10037.667
11:20:32.0,9579.73,11431.589,10037.82
11:20:33.0,9580.261,11431.703,10037.91
11:20:34.0,9579.761,11431.64,10038.16
11:20:35.0,9580.074,11432.226,10037.968
11:20:36.0,9580.257,11431.726,10038.281
11:20:37.0,9580.007,11432.007,10038.464
11:20:38.0,9580.039,11431.632,10037.933
11:20:39.0,9579.726,11431.96,10039.937
11:20:40.0,9579.945,11432.082,10039.968
11:20:41.0,9580.691,11432.144,10039.75
11:20:42.0,9580.035,11431.925,10039.781
11:20:43.0,9582.824,11432.015,10040.066
11:20:44.0,9582.601,11432.328,10040.16
11:20:45.0,9582.664,11432.046,10039.875
11:20:46.0,9583.441,11432.265,10040.027
11:20:47.0,9583.16,11432.296,10040.246
11:20:48.0,9583.128,11432.48,10040.027
11:20:49.0,9582.972,11432.449,10039.835
11:20:50.0,9582.91,11432.386,10040.242
11:20:51.0,9583.148,11432.292,10040.148
11:20:52.0,9583.429,11432.23,10040.429
11:20:53.0,9583.398,11432.382,10040.269
11:20:54.0,9583.429,11432.32,10040.144
11:20:55.0,9583.398,11432.507,10040.332
11:20:56.0,9583.398,11432.32,10040.082
11:20:57.0,9583.367,11432.507,10040.542
11:20:58.0,9583.304,11432.82,10040.789
11:20:59.0,9583.429,11432.32,10040.507
11:21:00.0,9583.07,11432.753,10040.664
11:21:01.0,9583.652,11432.656,10040.597
11:21:02.0,9584.296,11432.843,10040.535
11:21:03.0,9585.742,11433.273,10040.484
11:21:04.0,9585.218,11432.968,10040.546
11:21:05.0,9585.195,11432.632,10040.667
11:21:06.0,9585.195,11432.632,10040.667
11:21:07.0,9585.195,11432.632,10040.546
11:21:08.0,9585.195,11432.632,10040.546
11:21:09.0,9585.195,11432.632,10040.546
11:21:10.0,9585.019,11432.632,10040.546
11:21:11.0,9585.019,11432.632,10040.546
11:21:12.0,9585.019,11432.632,10040.546
11:21:13.0,9585.019,11432.593,10040.386
11:21:14.0,9585.019,11432.593,10040.386
11:21:15.0,9585.019,11432.593,10040.386
11:21:16.0,9585.019,11432.593,10040.386
11:21:17.0,9585.019,11432.593,10040.386
11:21:18.0,9585.019,11432.593,10040.386
11:21:19.0,9585.019,11432.593,10040.265
11:21:20.0,9585.019,11432.593,10040.386
11:21:21.0,9585.019,11432.472,10040.386
11:21:22.0,9585.019,11432.472,10040.386
11:21:23.0,9585.019,11432.472,10040.386
11:21:24.0,9585.019,11432.472,10040.386
11:21:25.0,9585.019,11432.472,10040.386
11:21:26.0,9584.898,11432.472,10040.539
11:21:27.0,9586.039,11433.585,10041.613
11:21:28.0,9586.054,11433.98,10042.304
11:21:29.0,9586.5,11434.519,10042.71
11:21:30.0,9587.496,11435.023,10043.671
11:21:31.0,9588.093,11435.656,10044.281
11:21:32.0,9589.496,11437.195,10044.753
11:21:33.0,9590.093,11437.195,10046.039
11:21:34.0,9590.91,11438.468,10047.328
11:21:35.0,9592.355,11439.468,10047.843
11:21:36.0,9593.07,11440.976,10048.832
11:21:37.0,9593.296,11441.503,10049.859
11:21:38.0,9594.449,11442.101,10050.425
11:21:39.0,9595.929,11443.308,10051.468
11:21:40.0,9596.398,11444.41,10052.679
11:21:41.0,9597.488,11444.886,10053.152
11:21:42.0,9598.242,11446.175,10053.628
11:21:43.0,9598.882,11447.164,10055.183
11:21:44.0,9601.542,11447.925,10056.214
11:21:45.0,9602.726,11450.121,10058.64
11:21:46.0,9605.246,11451.667,10060.66
11:21:47.0,9607.511,11452.546,10062.382
11:21:48.0,9609.679,11454.05,10065.089
11:21:49.0,9611.542,11455.835,10066.921
11:21:50.0,9613.882,11457.347,10068.16
11:21:51.0,9616.101,11459.472,10071.042
11:21:52.0,9617.882,11461.164,10072.785
11:21:53.0,9620.156,11462.843,10074.507
11:21:54.0,9622.066,11465.41,10075.816
11:21:55.0,9623.863,11467.117,10077.968
11:21:56.0,9626.414,11469.683,10079.828
11:21:57.0,9627.976,11471.671,10081.417
11:21:58.0,9630.988,11473.761,10082.308
11:21:59.0,9634.339,11474.699,10083.363
11:22:00.0,9636.945,11476.421,10084.949
11:22:01.0,9640.457,11477.316,10085.664
11:22:02.0,9643.566,11479.402,10087.218
11:22:03.0,9647.113,11480.265,10088.687
11:22:04.0,9649.113,11482.589,10090.011
11:22:05.0,9650.011,11484.183,10090.48
11:22:06.0,9651.562,11485.628,10091.882
11:22:07.0,9653.007,11487.492,10094.164
11:22:08.0,9655.531,11489.296,10094.894
11:22:09.0,9657.195,11490.98,10096.457
11:22:10.0,9659.257,11492.945,10098.531
11:22:11.0,9660.355,11495.039,10099.839
11:22:12.0,9660.984,11496.39,10107.335
11:22:13.0,9661.167,11504.796,10117.75
11:22:14.0,9661.167,11510.367,10141.847
11:22:15.0,9661.167,11510.367,10143.058
11:22:16.0,9661.199,11510.367,10143.089
11:22:17.0,9661.199,11510.367,10143.066
11:22:18.0,9661.054,11510.367,10143.066
11:22:19.0,9661.054,11510.367,10143.066
11:22:20.0,9661.054,11510.488,10143.066
11:22:21.0,9661.054,11510.464,10142.945
11:22:22.0,9660.933,11510.464,10142.945
11:22:23.0,9660.933,11510.464,10142.824
11:22:24.0,9660.933,11510.464,10142.824
