Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:08:57.0,0.0,,0.0
10:08:58.0,0.797,0.0,1.607
10:08:59.0,1.203,1.209,0.797
10:09:00.0,0.797,1.619,1.196
10:09:01.0,1.203,1.635,1.213
10:09:02.0,521.978,1.203,1.217
10:09:03.0,4405.398,233.103,2957.81
10:09:04.0,5423.029,4731.785,5493.796
10:09:05.0,5476.153,6771.014,5730.811
10:09:06.0,5426.22,7459.74,5833.84
10:09:07.0,5590.65,7491.163,5510.681
10:09:08.0,5841.231,6878.155,5458.665
10:09:09.0,5818.417,6358.753,5337.037
10:09:10.0,5350.456,5879.048,6037.938
10:09:11.0,4376.426,7368.083,5802.77
10:09:12.0,5539.634,6763.656,4835.164
10:09:13.0,6211.852,6146.726,4946.093
10:09:14.0,4283.056,6401.387,4361.232
10:09:15.0,6123.906,7333.136,4810.519
10:09:16.0,5250.41,5836.526,6371.495
10:09:17.0,4203.633,5551.477,3824.665
10:09:18.0,4391.549,6468.126,4733.096
10:09:19.0,5320.302,5837.477,6243.477
10:09:20.0,4029.863,6854.125,4676.361
10:09:21.0,4516.677,6662.114,4345.441
10:09:22.0,6036.009,6765.643,4643.967
10:09:23.0,3290.807,6517.896,4459.354
10:09:24.0,5762.791,6298.948,3726.263
10:09:25.0,5445.833,5186.307,6381.319
10:09:26.0,3274.868,7432.965,4656.594
10:09:27.0,5779.649,5992.083,3870.874
10:09:28.0,4061.102,6183.684,6525.333
10:09:29.0,4623.129,6599.724,3646.958
10:09:30.0,5986.239,5462.887,4787.497
10:09:31.0,3881.745,6962.367,6067.3
10:09:32.0,4561.313,4633.95,2557.93
10:09:33.0,5026.921,6899.503,6321.809
10:09:34.0,3830.565,5914.02,4996.552
10:09:35.0,4377.212,5035.872,3703.846
10:09:36.0,6176.991,7518.112,6156.318
10:09:37.0,3110.396,4424.912,4095.652
10:09:38.0,6348.687,7641.889,5616.993
10:09:39.0,3578.204,4786.547,4804.494
10:09:40.0,5047.618,6622.025,3079.975
10:09:41.0,5725.35,5847.362,5747.152
10:09:42.0,3448.252,5110.167,3168.065
10:09:43.0,5581.573,6213.567,4907.988
10:09:44.0,6015.759,6079.259,4347.596
10:09:45.0,3587.124,5004.261,5266.536
10:09:46.0,4534.583,5890.565,2532.414
10:09:47.0,6693.879,5880.473,6640.596
10:09:48.0,1701.325,5429.921,2158.915
10:09:49.0,388.466,4914.127,689.409
10:09:50.0,1.25,169.272,1.651
10:09:51.0,1.191,0.816,1.25
10:09:52.0,0.774,1.663,1.214
10:09:53.0,1.226,1.209,1.608
10:09:54.0,1.62,1.214,1.213
10:09:55.0,1.231,0.825,0.825
10:09:56.0,1.62,1.237,1.251
10:09:57.0,0.774,1.235,1.276
10:09:58.0,0.797,1.209,1.606
10:09:59.0,1.244,1.214,1.606
