Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:40:56.0,0.0,,0.0
10:40:57.0,1.214,0.0,1.185
10:40:58.0,1.214,1.452,1.143
10:40:59.0,1.62,1.839,1.821
10:41:00.0,1.218,1.452,1.114
10:41:01.0,1.651,1.195,1.231
10:41:02.0,1.218,1.53,1.156
10:41:03.0,1.618,1.195,1.452
10:41:04.0,371.784,1.573,1.485
10:41:05.0,4724.307,16.992,3272.557
10:41:06.0,6208.348,4577.388,7637.368
10:41:07.0,6980.866,6912.027,7450.587
10:41:08.0,5017.617,6220.811,7593.186
10:41:09.0,6650.363,5951.443,7652.565
10:41:10.0,4755.711,4534.159,5929.394
10:41:11.0,6143.547,6924.629,7603.082
10:41:12.0,5160.897,4958.0,6568.57
10:41:13.0,5878.081,5307.15,7532.944
10:41:14.0,5914.838,6283.627,6649.834
10:41:15.0,4607.038,5345.717,6367.364
10:41:16.0,6535.875,4674.575,8024.473
10:41:17.0,4287.405,6706.165,6867.471
10:41:18.0,6504.119,4855.778,5078.479
10:41:19.0,4472.481,6082.705,8305.752
10:41:20.0,5963.201,5254.037,5936.115
10:41:21.0,5151.924,5252.319,7745.368
10:41:22.0,5441.403,5825.445,6320.133
10:41:23.0,4704.382,5590.08,7266.415
10:41:24.0,6184.977,5288.426,6077.646
10:41:25.0,5101.698,5983.613,8308.04
10:41:26.0,4792.09,4476.375,5504.646
10:41:27.0,6777.25,4898.328,7328.718
10:41:28.0,4066.078,6076.15,7174.064
10:41:29.0,6849.298,5142.962,6958.853
10:41:30.0,4061.091,5867.14,7444.959
10:41:31.0,6590.074,5581.198,6336.916
10:41:32.0,5363.241,5127.306,7824.505
10:41:33.0,4755.245,5770.49,6786.052
10:41:34.0,7109.948,5176.9,6491.188
10:41:35.0,4014.424,6760.056,8146.5
10:41:36.0,6963.24,4162.283,5861.954
10:41:37.0,5056.111,6477.844,7614.845
10:41:38.0,5721.163,4519.183,5596.958
10:41:39.0,4855.208,6518.359,8759.771
10:41:40.0,6800.868,4821.041,5388.691
10:41:41.0,3763.666,6354.668,8455.337
10:41:42.0,7170.897,4592.5,5719.166
10:41:43.0,4177.744,5903.869,9043.182
10:41:44.0,6548.242,6476.676,5112.285
10:41:45.0,3695.332,5385.282,8799.041
10:41:46.0,5624.563,5891.871,5618.469
10:41:47.0,4537.995,4602.602,7449.309
10:41:48.0,5536.772,6717.317,6348.389
10:41:49.0,4756.911,6657.363,7590.385
10:41:50.0,3669.861,4678.175,6356.653
10:41:51.0,1485.662,3604.208,3712.912
10:41:52.0,1.633,1223.018,0.791
10:41:53.0,1.219,1.234,0.778
10:41:54.0,1.635,1.601,1.235
10:41:55.0,1.25,0.797,1.2
10:41:56.0,1.218,1.202,0.791
10:41:57.0,1.218,1.855,1.172
10:41:58.0,1.62,1.854,1.172
10:41:59.0,1.203,1.213,0.791
10:42:00.0,1.238,1.207,1.538
10:42:01.0,1.62,1.201,0.791
10:42:02.0,1.619,1.216,0.791
10:42:03.0,1.219,1.526,1.16
10:42:04.0,1.784,1.601,0.791
10:42:05.0,1.209,1.208,1.821
10:42:06.0,1.634,1.172,1.187
10:42:07.0,1.619,1.216,1.09
10:42:08.0,1.219,1.585,0.778
10:42:09.0,2199.163,1.601,1.103
