Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
11:00:43.0,0.0,0.0,0.0
11:00:44.0,1.621,1.697,1.868
11:00:45.0,1.608,1.191,0.797
11:00:46.0,1.619,1.219,0.797
11:00:47.0,1.213,1.599,1.455
11:00:48.0,1.221,1.172,1.916
11:00:49.0,1.22,0.791,1.601
11:00:50.0,1.62,1.22,0.797
11:00:51.0,14.381,1.408,1.11
11:00:52.0,1300.604,1523.141,740.162
11:00:53.0,1795.27,838.378,1460.513
11:00:54.0,1941.781,1494.761,1860.797
11:00:55.0,1469.993,949.914,1897.65
11:00:56.0,878.694,1577.521,386.461
11:00:57.0,2038.384,677.713,508.345
11:00:58.0,2452.941,736.92,525.201
11:00:59.0,2693.92,1509.465,828.249
11:01:00.0,993.956,2810.599,572.485
11:01:01.0,4130.389,1337.89,4678.243
11:01:02.0,1735.697,1296.665,892.733
11:01:03.0,1271.382,557.012,643.897
11:01:04.0,932.951,709.189,526.844
11:01:05.0,1619.824,3150.513,566.636
11:01:06.0,4562.206,1271.641,3014.878
11:01:07.0,1472.839,1237.285,2040.026
11:01:08.0,879.743,509.209,745.178
11:01:09.0,2039.817,1254.599,924.363
11:01:10.0,2162.309,3796.733,1850.674
11:01:11.0,2643.446,809.85,1633.736
11:01:12.0,1592.752,620.892,1378.499
11:01:13.0,2574.851,1098.336,1439.558
11:01:14.0,2039.585,2662.057,2094.652
11:01:15.0,884.98,2399.268,972.697
11:01:16.0,2764.676,871.3,1753.689
11:01:17.0,4322.5,553.371,1812.279
11:01:18.0,1166.01,1363.968,1758.391
11:01:19.0,2168.387,3929.298,2030.49
11:01:20.0,2366.748,1204.537,1726.926
11:01:21.0,3923.078,475.833,678.04
11:01:22.0,1239.285,3476.761,1643.864
11:01:23.0,2888.084,2679.77,3688.606
11:01:24.0,3168.097,831.036,1674.198
11:01:25.0,2393.674,584.527,619.032
11:01:26.0,1659.372,5318.541,2792.996
11:01:27.0,2886.371,973.039,3281.658
11:01:28.0,3984.867,461.486,713.882
11:01:29.0,2468.07,3378.831,529.092
11:01:30.0,1466.427,2673.863,2782.356
11:01:31.0,3353.646,1178.586,3452.11
11:01:32.0,2588.973,575.21,1136.508
11:01:33.0,2725.032,4926.581,511.309
11:01:34.0,2084.048,1438.514,2505.031
11:01:35.0,2960.386,499.348,3566.232
11:01:36.0,3649.891,3215.134,925.416
11:01:37.0,1325.077,2313.447,1429.882
11:01:38.0,1669.274,564.259,936.587
11:01:39.0,1596.258,1231.574,1270.019
11:01:40.0,72.295,329.083,270.493
11:01:41.0,1.213,0.791,1.573
11:01:42.0,1.635,1.217,1.515
11:01:43.0,1.214,1.383,1.171
11:01:44.0,1.607,1.021,0.797
11:01:45.0,1.619,1.731,1.168
11:01:46.0,1.62,0.901,1.585
11:01:47.0,1.607,1.416,0.797
11:01:48.0,1.635,0.592,1.218
11:01:49.0,1.671,1.815,1.098
11:01:50.0,1.609,1.648,1.092
11:01:51.0,1.8,1.185,1.206
11:01:52.0,1.625,1.207,0.793
11:01:53.0,1.618,1.909,1.468
11:01:54.0,1.214,1.589,1.456
11:01:55.0,0.797,1.189,1.653
11:01:56.0,1.633,1.073,1.584
11:01:57.0,5527.246,3770.311,2517.381
11:01:58.0,3874.667,3580.688,4707.985
11:01:59.0,4405.014,1000.377,796.227
11:02:00.0,3878.308,5259.065,4449.12
11:02:01.0,1697.003,1380.94,2538.822
11:02:02.0,6247.943,2725.315,1336.628
11:02:03.0,1944.514,3503.401,3769.981
11:02:04.0,4645.2,893.295,2073.932
