Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
11:18:33.0,0.0,,0.0
11:18:34.0,2.13,0.0,0.791
11:18:35.0,1.203,1.222,1.156
11:18:36.0,1.179,0.761,1.534
11:18:37.0,1.657,1.208,0.791
11:18:38.0,2.191,1.156,3.168
11:18:39.0,783.786,483.083,1890.761
11:18:40.0,1594.183,2021.677,3216.696
11:18:41.0,4058.515,2641.272,2592.414
11:18:42.0,2372.19,2586.773,1960.308
11:18:43.0,2286.921,1252.171,2944.157
11:18:44.0,1675.436,1127.173,5304.002
11:18:45.0,5128.879,2911.892,2125.91
11:18:46.0,3425.083,4370.215,3018.021
11:18:47.0,2089.858,1264.496,3384.13
11:18:48.0,1839.365,978.971,2862.593
11:18:49.0,4292.292,2503.085,3532.016
11:18:50.0,3998.394,4094.467,3289.834
11:18:51.0,2311.266,1583.595,2350.375
11:18:52.0,1647.119,1115.841,4198.314
11:18:53.0,4810.803,2038.665,2132.334
11:18:54.0,2717.756,4310.831,1529.926
11:18:55.0,2946.767,2025.263,5854.301
11:18:56.0,2974.614,1505.386,2942.882
11:18:57.0,3233.329,2623.293,2084.99
11:18:58.0,4204.642,4527.259,5329.325
11:18:59.0,4059.554,1833.53,3646.413
11:19:00.0,3190.185,1235.025,2576.703
11:19:01.0,4086.838,2614.85,5118.241
11:19:02.0,2593.717,4949.066,3011.996
11:19:03.0,2600.253,1549.954,3273.087
11:19:04.0,5420.76,1138.874,4481.537
11:19:05.0,3203.704,3308.794,3294.706
11:19:06.0,2462.755,4110.328,2914.194
11:19:07.0,4010.101,1501.701,4682.074
11:19:08.0,5197.864,1263.692,2819.627
11:19:09.0,1893.75,2337.42,4300.797
11:19:10.0,3248.128,5530.687,2946.348
11:19:11.0,4572.715,1284.922,3453.019
11:19:12.0,3717.548,1326.219,3009.911
11:19:13.0,1895.898,4059.508,5209.554
11:19:14.0,5888.926,3865.348,3471.823
11:19:15.0,2752.226,1303.662,4108.046
11:19:16.0,3073.225,1288.084,3760.495
11:19:17.0,4676.246,4103.2,4590.155
11:19:18.0,3969.141,3758.448,2985.276
11:19:19.0,2963.659,1170.612,3599.923
11:19:20.0,2795.055,3667.416,4661.006
11:19:21.0,5289.006,2421.614,3179.295
11:19:22.0,3338.189,3239.93,3415.537
11:19:23.0,2696.877,2250.16,4244.537
11:19:24.0,5162.461,2854.671,2538.446
11:19:25.0,2208.203,1803.237,2102.589
11:19:26.0,2478.181,1502.354,2910.991
11:19:27.0,1982.761,2294.756,387.235
11:19:28.0,1.245,0.797,1.172
11:19:29.0,1.203,1.208,1.508
11:19:30.0,0.774,1.616,1.087
11:19:31.0,0.793,1.601,1.227
11:19:32.0,1.266,1.185,1.636
11:19:33.0,1.251,0.829,1.44
11:19:34.0,1.047,1.214,1.198
11:19:35.0,1.176,1.184,1.172
11:19:36.0,1.414,0.791,0.791
11:19:37.0,1.328,1.588,1.172
11:19:38.0,1.203,1.207,1.172
11:19:39.0,1.62,0.791,0.791
11:19:40.0,2.065,1.16,1.185
11:19:41.0,1.35,1.201,1.55
11:19:42.0,1.29,0.797,1.55
11:19:43.0,1.153,0.797,868.353
11:19:44.0,3761.02,2674.394,7352.267
11:19:45.0,6723.036,5982.557,5376.361
11:19:46.0,6032.51,2712.043,7341.351
11:19:47.0,4922.398,5054.007,4719.415
11:19:48.0,6462.314,3750.04,5035.282
11:19:49.0,4940.162,3413.214,6503.864
11:19:50.0,5154.215,4327.365,4669.65
11:19:51.0,5598.697,2951.026,6195.526
11:19:52.0,5580.959,5466.873,4518.385
11:19:53.0,5029.162,2641.031,5421.514
11:19:54.0,5488.399,3475.287,4731.087
11:19:55.0,3090.047,2053.341,941.782
11:19:56.0,1.634,24.005,1.214
11:19:57.0,0.79,1.629,1.589
11:19:58.0,1.375,0.797,1.198
11:19:59.0,0.668,1.632,1.156
11:20:00.0,1.462,1.2,1.465
11:20:01.0,0.569,1.214,1.195
11:20:02.0,1.78,0.791,1.185
11:20:03.0,0.653,1.685,1.126
11:20:04.0,1.774,0.722,1.55
11:20:05.0,0.774,1.214,1.058
11:20:06.0,1.225,1.207,1.156
11:20:07.0,1.755,0.791,0.761
11:20:08.0,1.498,1.143,0.791
11:20:09.0,1.635,1.156,1.248
11:20:10.0,1.221,0.86,1.534
11:20:11.0,1.498,0.791,0.776
11:20:12.0,1.125,1.616,1.156
11:20:13.0,1.145,1.555,0.791
11:20:14.0,1.438,1.126,1.185
11:20:15.0,1.62,0.791,1.156
11:20:16.0,1.495,0.797,1.139
11:20:17.0,1.947,1.572,2.791
11:20:18.0,155.759,9.539,1049.102
11:20:19.0,1034.418,1016.2,682.652
11:20:20.0,645.04,436.75,636.465
11:20:21.0,953.901,370.458,1071.861
11:20:22.0,1299.659,969.626,1126.754
11:20:23.0,1380.75,976.375,1190.157
11:20:24.0,1417.828,943.877,1201.94
11:20:25.0,1319.401,880.599,1145.073
11:20:26.0,1209.917,922.127,1208.529
11:20:27.0,1407.689,987.244,1168.828
11:20:28.0,1175.563,913.429,1146.769
11:20:29.0,1218.35,1035.38,966.37
11:20:30.0,1334.757,1175.397,1211.019
11:20:31.0,1182.723,965.175,1101.356
11:20:32.0,1447.148,1069.783,978.701
11:20:33.0,1395.842,1088.673,1095.707
11:20:34.0,1293.5,1230.709,992.244
11:20:35.0,1070.495,1139.037,1214.253
11:20:36.0,939.462,1125.566,1056.881
11:20:37.0,1375.598,1162.45,1016.511
11:20:38.0,1439.331,1156.279,1247.657
11:20:39.0,1331.788,1078.912,917.198
11:20:40.0,1285.585,1325.804,936.414
11:20:41.0,1134.712,1134.002,1081.747
11:20:42.0,1344.192,1259.68,995.91
11:20:43.0,1150.036,1186.546,1048.608
11:20:44.0,1312.49,1308.383,970.911
11:20:45.0,1470.335,1302.071,939.613
11:20:46.0,1002.868,1014.152,1337.918
11:20:47.0,1332.769,1058.575,1275.758
11:20:48.0,1313.429,1023.206,1116.885
11:20:49.0,1357.948,1196.728,1120.896
11:20:50.0,1146.608,1078.084,1024.864
11:20:51.0,1354.664,1013.239,1149.983
11:20:52.0,1553.654,1206.015,1072.391
11:20:53.0,1397.498,1259.804,1082.118
11:20:54.0,1161.314,1278.958,1099.206
11:20:55.0,1070.747,1148.206,1253.979
11:20:56.0,1359.053,992.171,1377.825
11:20:57.0,1276.606,1055.342,1426.662
11:20:58.0,1336.672,897.305,1401.063
11:20:59.0,1300.402,1172.663,1068.649
11:21:00.0,1374.056,842.083,1367.963
11:21:01.0,1231.064,1102.877,1098.229
11:21:02.0,1463.592,1237.333,1291.81
11:21:03.0,711.922,748.291,204.687
11:21:04.0,86.817,93.579,2.54
11:21:05.0,1.836,1.168,0.859
11:21:06.0,1.219,1.572,1.133
11:21:07.0,1.138,0.745,1.521
11:21:08.0,0.934,1.245,1.55
11:21:09.0,1.214,0.774,1.521
11:21:10.0,1.643,0.797,0.732
11:21:11.0,1.236,1.6,1.217
11:21:12.0,0.959,1.195,0.774
11:21:13.0,1.476,1.139,1.172
11:21:14.0,0.94,1.237,1.567
11:21:15.0,1.346,0.706,1.521
11:21:16.0,1.505,0.866,0.935
11:21:17.0,1.218,1.601,1.202
11:21:18.0,1.441,1.196,0.774
11:21:19.0,1.55,1.071,0.791
11:21:20.0,1.084,1.156,1.172
11:21:21.0,1.767,1.255,1.202
11:21:22.0,1.099,1.131,1.2
11:21:23.0,1.063,1.212,1.156
11:21:24.0,1.586,1.168,1.202
11:21:25.0,1.207,0.749,1.521
11:21:26.0,9.177,1.245,3.156
11:21:27.0,1010.216,708.186,1836.809
11:21:28.0,1075.98,1185.832,1749.347
11:21:29.0,1461.879,1235.987,1344.904
11:21:30.0,1601.513,1080.714,1635.446
11:21:31.0,1585.997,1039.371,1489.863
11:21:32.0,1626.435,1407.466,1417.476
11:21:33.0,1699.116,1177.283,1781.281
11:21:34.0,1425.106,1293.509,1676.416
11:21:35.0,1512.462,1172.27,1728.936
11:21:36.0,1731.139,1385.917,1676.991
11:21:37.0,1366.161,1115.314,1310.715
11:21:38.0,1342.734,1282.644,1396.568
11:21:39.0,1793.961,1333.921,1761.533
11:21:40.0,1577.428,1233.51,1637.162
11:21:41.0,1451.981,1112.677,1620.747
11:21:42.0,1581.28,1180.911,1522.699
11:21:43.0,1711.415,1195.741,1530.569
11:21:44.0,1688.96,1260.965,1677.344
11:21:45.0,1125.589,1088.994,1747.192
11:21:46.0,1624.795,1386.5,1666.361
11:21:47.0,1820.429,1294.995,1377.367
11:21:48.0,1579.13,949.691,1746.024
11:21:49.0,1660.324,1647.371,1506.904
11:21:50.0,1789.48,1265.606,1443.453
11:21:51.0,1666.958,939.381,1736.133
11:21:52.0,1449.096,1426.145,1555.775
11:21:53.0,1689.775,1246.024,1666.447
11:21:54.0,1743.868,1382.536,1715.208
11:21:55.0,1452.741,1396.276,1629.727
11:21:56.0,1656.496,1397.02,1593.903
11:21:57.0,1661.963,985.989,1289.189
11:21:58.0,1602.781,1491.295,1590.374
11:21:59.0,1458.217,969.977,1757.351
11:22:00.0,1589.572,1436.622,1767.029
11:22:01.0,1587.354,1249.94,1534.911
11:22:02.0,1668.718,1311.813,1747.25
11:22:03.0,1519.693,1347.23,1765.224
11:22:04.0,1455.195,1202.844,1770.912
11:22:05.0,1685.048,1228.303,1691.415
11:22:06.0,1660.732,1330.544,1462.946
11:22:07.0,1733.162,1345.806,1755.221
11:22:08.0,1680.636,1278.715,1283.909
11:22:09.0,1644.333,1554.061,1748.677
11:22:10.0,1557.027,1184.489,1705.214
11:22:11.0,1665.75,1272.615,1526.988
11:22:12.0,1354.882,1195.097,575.135
11:22:13.0,97.612,225.366,1.156
11:22:14.0,1.277,1.585,1.183
11:22:15.0,0.805,1.201,1.17
11:22:16.0,1.646,1.555,0.791
11:22:17.0,1.452,0.791,1.156
11:22:18.0,0.5,1.201,1.521
11:22:19.0,1.522,1.202,1.534
11:22:20.0,1.364,0.811,1.156
11:22:21.0,1.236,1.186,1.168
11:22:22.0,1.178,0.791,1.156
11:22:23.0,1.642,1.571,0.806
11:22:24.0,1.634,1.156,0.791
11:22:25.0,1.338,0.799,1.534
11:22:26.0,1.179,0.791,1.156
11:22:27.0,1.214,1.554,0.791
11:22:28.0,1.214,1.554,0.791
11:22:29.0,1.106,1.585,1.168
11:22:30.0,0.926,1.186,1.156
11:22:31.0,0.797,1.585,1.156
11:22:32.0,1.29,1.19,1.156
11:22:33.0,1.042,1.203,1.555
11:22:34.0,1.179,0.791,1.656
11:22:35.0,688.729,374.174,2209.507
11:22:36.0,2248.519,1884.729,2598.664
11:22:37.0,2298.983,1800.796,2295.398
11:22:38.0,2340.101,1956.107,2769.238
11:22:39.0,2694.119,2060.56,2388.811
11:22:40.0,2547.068,1767.617,2363.934
11:22:41.0,2419.832,1983.034,2648.965
11:22:42.0,2537.525,1982.416,2447.04
11:22:43.0,2381.365,1938.057,2552.417
11:22:44.0,2603.513,2005.11,2582.834
11:22:45.0,2434.378,1982.074,2309.846
11:22:46.0,2363.073,1818.654,2530.538
11:22:47.0,2596.732,2025.615,2339.791
11:22:48.0,2406.761,2060.98,2450.452
11:22:49.0,2614.664,1995.628,2367.637
11:22:50.0,2520.825,2200.086,2845.507
11:22:51.0,2386.046,1928.865,2321.189
11:22:52.0,2656.005,1733.809,2707.896
11:22:53.0,2847.742,2213.71,2245.809
11:22:54.0,2465.515,1879.005,2468.028
11:22:55.0,2734.193,2199.3,2617.937
11:22:56.0,2758.951,2282.526,2661.11
11:22:57.0,2596.381,2141.204,2728.953
11:22:58.0,2937.629,2047.875,2698.952
11:22:59.0,2341.456,2044.016,2640.23
11:23:00.0,2739.26,1872.839,2585.821
11:23:01.0,2773.634,2095.888,2590.944
11:23:02.0,2272.034,1896.016,2582.053
11:23:03.0,2823.131,2184.527,2668.872
11:23:04.0,2948.108,2029.205,2756.489
11:23:05.0,2618.297,2376.242,2658.706
11:23:06.0,2816.333,2055.945,2664.876
11:23:07.0,2707.812,2194.42,2820.268
11:23:08.0,2767.362,2316.358,2697.083
11:23:09.0,2678.386,2142.002,2666.882
11:23:10.0,2775.919,1965.389,2447.501
11:23:11.0,2553.997,2064.294,2608.79
11:23:12.0,2749.688,1789.792,2590.923
11:23:13.0,2911.293,2459.661,2635.182
11:23:14.0,2800.805,2080.156,2507.304
11:23:15.0,2486.807,2106.207,3005.023
11:23:16.0,2747.292,2090.765,2725.988
11:23:17.0,2390.069,2096.418,2714.572
11:23:18.0,2841.321,2057.013,2872.334
11:23:19.0,2566.021,2056.745,2529.783
11:23:20.0,2609.03,1913.973,1171.123
11:23:21.0,316.632,393.036,0.805
11:23:22.0,1.772,1.17,0.806
11:23:23.0,1.65,1.185,1.567
11:23:24.0,0.661,1.2,1.168
11:23:25.0,1.562,1.196,1.172
11:23:26.0,0.587,1.574,1.583
11:23:27.0,1.216,0.862,1.55
11:23:28.0,0.793,1.2,0.791
11:23:29.0,1.696,1.156,1.185
11:23:30.0,1.099,1.196,1.567
11:23:31.0,0.793,1.202,0.791
11:23:32.0,1.77,1.156,1.22
11:23:33.0,1.269,1.196,1.538
11:23:34.0,1.327,0.797,0.791
11:23:35.0,1.497,1.156,1.538
11:23:36.0,1.191,0.797,0.791
11:23:37.0,1.62,1.156,1.172
11:23:38.0,0.656,1.574,1.126
11:23:39.0,1.634,0.791,1.224
11:23:40.0,1.755,0.791,0.722
11:23:41.0,1.219,1.568,0.791
11:23:42.0,1.219,1.568,1.172
11:23:43.0,1.083,1.168,1.522
11:23:44.0,1.214,0.801,1.126
11:23:45.0,1.773,0.791,1.198
11:23:46.0,1.219,1.195,0.791
11:23:47.0,1.635,1.156,1.185
11:23:48.0,1.236,1.196,1.143
11:23:49.0,1.635,0.791,1.58
