Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
18:07:31.0,,0.0,0.0
18:07:32.0,0.0,,
18:07:33.0,1.212,0.795,1.608
18:07:34.0,2.959,1.633,0.797
18:07:35.0,0.797,1.217,1.653
18:07:36.0,1.205,1.632,0.797
18:07:37.0,1.223,2.93,2.955
18:07:38.0,0.791,1.618,1.218
18:07:39.0,14.18,0.798,1.608
18:07:40.0,2318.041,684.724,1394.273
18:07:41.0,7696.355,4545.111,4413.766
18:07:42.0,6798.738,4263.558,2811.952
18:07:43.0,7334.214,6541.907,4240.982
18:07:44.0,8859.26,4353.166,3916.155
18:07:45.0,8445.718,7178.727,5033.049
18:07:46.0,7536.868,5974.108,4655.288
18:07:47.0,9560.209,6038.051,4549.093
18:07:48.0,8294.773,6899.664,5409.634
18:07:49.0,10411.632,6481.409,4248.578
18:07:50.0,9122.805,6474.378,5346.615
18:07:51.0,9497.801,7214.574,4907.786
18:07:52.0,8976.733,7245.153,4774.96
18:07:53.0,9147.224,7093.716,5109.831
18:07:54.0,8747.39,7388.532,5481.905
18:07:55.0,8637.598,7253.441,5633.467
18:07:56.0,8389.173,7600.551,5884.94
18:07:57.0,8742.411,8019.066,5514.717
18:07:58.0,8260.82,7409.28,6408.445
18:07:59.0,8865.437,7748.451,5697.325
18:08:00.0,8229.042,7582.554,6743.19
18:08:01.0,8699.636,7512.034,6118.17
18:08:02.0,8268.174,7749.057,6389.848
18:08:03.0,8585.259,7492.414,6485.563
18:08:04.0,8640.52,7717.617,6170.562
18:08:05.0,8637.486,7911.509,6101.883
18:08:06.0,8698.142,7481.373,6023.158
18:08:07.0,8366.677,7986.281,6479.249
18:08:08.0,8301.173,7651.416,7280.22
18:08:09.0,8311.634,7739.01,6635.826
18:08:10.0,8667.11,8133.261,7433.975
18:08:11.0,8235.201,8047.92,7947.876
18:08:12.0,7936.566,7859.592,7919.298
18:08:13.0,8458.689,7799.749,7871.987
18:08:14.0,8224.043,8066.526,7547.098
18:08:15.0,8066.646,8085.358,7928.556
18:08:16.0,8317.108,8026.095,7778.389
18:08:17.0,8204.483,8049.004,8028.222
