Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
18:48:58.0,0.0,0.0,0.0
18:48:59.0,1.206,2.613,0.797
18:49:00.0,1.221,1.554,1.643
18:49:01.0,1.619,2.538,1.199
18:49:02.0,1.607,1.428,4.318
18:49:03.0,3.926,1.428,1.907
18:49:04.0,1.617,0.797,1.201
18:49:05.0,1.63,0.797,0.75
18:49:06.0,1.193,3.894,1.211
18:49:07.0,1.22,1.555,3.384
18:49:08.0,15.45,0.866,0.75
18:49:09.0,1972.575,766.54,1495.959
18:49:10.0,4561.87,4955.958,5845.769
18:49:11.0,4642.121,4350.543,3736.678
18:49:12.0,5586.348,7066.253,6159.388
18:49:13.0,5235.978,6784.726,6056.249
18:49:14.0,5319.502,7961.103,7292.343
18:49:15.0,5477.411,6860.726,6862.773
18:49:16.0,5960.205,7308.745,7235.82
18:49:17.0,5566.372,6856.088,7522.07
18:49:18.0,5702.39,6663.622,7772.68
18:49:19.0,5890.876,6991.002,7919.917
18:49:20.0,5804.857,6884.813,7979.867
18:49:21.0,5991.621,6669.684,7840.962
18:49:22.0,5979.291,7142.345,7920.791
18:49:23.0,5882.046,7047.314,7861.23
18:49:24.0,5984.516,6877.859,7760.665
18:49:25.0,5993.633,6916.627,8002.661
18:49:26.0,6054.256,7091.036,7939.207
18:49:27.0,6094.245,7004.562,7994.321
18:49:28.0,6155.236,7028.732,8018.267
18:49:29.0,6162.908,6936.019,7861.887
18:49:30.0,6042.88,7116.87,7995.569
18:49:31.0,5965.721,7037.613,7942.569
18:49:32.0,6104.32,7130.041,7885.409
18:49:33.0,6121.399,7118.731,7997.767
18:49:34.0,6227.231,7100.986,8015.469
18:49:35.0,6142.65,7192.589,7931.658
18:49:36.0,6304.256,7206.892,7947.336
18:49:37.0,6289.727,7215.621,8055.958
18:49:38.0,6216.644,7166.739,8010.097
18:49:39.0,6231.247,7076.385,7988.306
18:49:40.0,6255.232,7130.132,8022.829
18:49:41.0,6218.953,7089.988,8016.862
18:49:42.0,6112.373,6982.04,7784.714
18:49:43.0,6067.211,7096.18,7867.822
18:49:44.0,6355.328,7010.092,8009.517
18:49:45.0,6371.327,7085.53,8069.955
18:49:46.0,6338.018,7076.015,7919.608
18:49:47.0,6417.682,7146.263,8046.654
18:49:48.0,6247.692,7098.353,7965.962
18:49:49.0,6337.309,7006.452,7821.005
18:49:50.0,6369.089,7125.236,8035.998
18:49:51.0,6267.709,7194.459,8037.361
18:49:52.0,6349.384,7094.686,8000.701
18:49:53.0,6281.06,7109.088,7986.232
18:49:54.0,6396.924,7026.565,8035.392
18:49:55.0,6141.616,7033.349,7939.082
18:49:56.0,6228.437,6980.14,7969.357
18:49:57.0,6349.415,7202.247,7977.961
