Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:01:02.0,0.0,0.0,
10:01:03.0,1.681,1.855,0.0
10:01:04.0,1.628,1.839,1.468
10:01:05.0,1.608,1.213,1.156
10:01:06.0,1.62,0.797,1.2
10:01:07.0,1.619,0.797,1.201
10:01:08.0,1.619,1.143,1.497
10:01:09.0,1.203,0.791,1.56
10:01:10.0,0.774,1.467,1.597
10:01:11.0,1.628,1.839,1.468
10:01:12.0,481.395,1216.007,204.899
10:01:13.0,4368.147,6271.062,3721.99
10:01:14.0,5815.452,4200.378,3920.923
10:01:15.0,5872.059,6303.044,3047.382
10:01:16.0,7810.39,4632.036,5317.335
10:01:17.0,5765.028,7088.442,4936.295
10:01:18.0,6901.419,7603.13,4707.016
10:01:19.0,7889.006,7575.103,4406.195
10:01:20.0,6982.008,7602.068,4811.105
10:01:21.0,6615.226,7523.956,4872.811
10:01:22.0,6776.329,7712.635,5147.432
10:01:23.0,6564.954,7779.766,5144.982
10:01:24.0,6860.946,7821.91,5270.448
10:01:25.0,7059.816,7751.311,5295.224
10:01:26.0,6882.978,7799.776,5402.54
10:01:27.0,6865.38,7780.87,5382.55
10:01:28.0,6802.932,7841.684,5433.438
10:01:29.0,6947.894,7814.366,5596.439
10:01:30.0,7112.916,7578.989,5484.771
10:01:31.0,6867.155,7748.941,5555.855
10:01:32.0,6933.606,7865.669,5515.828
10:01:33.0,7061.889,7726.354,5572.533
10:01:34.0,7043.097,7897.807,5686.427
10:01:35.0,7042.243,7890.871,5618.208
10:01:36.0,7072.891,7914.034,6130.624
10:01:37.0,7178.87,7825.494,6069.575
10:01:38.0,7055.986,7917.554,6072.43
10:01:39.0,7149.833,7878.083,6131.675
10:01:40.0,7089.874,7908.046,6101.514
10:01:41.0,7107.594,7902.009,6061.453
10:01:42.0,7010.055,7796.246,6024.969
10:01:43.0,7069.368,7976.989,6075.174
10:01:44.0,7059.674,7883.058,5986.121
10:01:45.0,6953.098,7911.506,5911.143
10:01:46.0,6884.134,7753.685,5904.595
10:01:47.0,6828.116,7832.712,5857.437
10:01:48.0,7129.973,7938.55,5839.484
10:01:49.0,7048.385,7955.624,6016.973
10:01:50.0,7010.543,7861.982,6144.115
10:01:51.0,7030.264,7908.576,6086.849
10:01:52.0,7045.2,7825.0,5946.367
10:01:53.0,6924.193,7872.016,5766.539
10:01:54.0,7205.811,7738.026,6075.599
10:01:55.0,7082.752,7962.475,6109.771
10:01:56.0,7113.369,7904.964,6194.524
10:01:57.0,7132.311,7811.023,6027.959
10:01:58.0,7071.115,7696.086,6130.006
10:01:59.0,7045.161,7952.014,5815.918
10:02:00.0,7091.596,7877.049,6058.838
10:02:01.0,7004.242,7871.533,6083.696
10:02:02.0,7039.531,7822.784,6141.45
10:02:03.0,7113.397,8009.512,6162.376
10:02:04.0,7026.168,7848.035,6039.936
10:02:05.0,7315.24,7901.326,6198.691
10:02:06.0,7107.639,7764.519,6110.826
10:02:07.0,7031.361,7906.827,5948.757
10:02:08.0,7078.837,7868.499,6141.533
10:02:09.0,7171.056,7932.809,6159.931
10:02:10.0,7145.685,7731.105,6126.562
10:02:11.0,7094.182,7989.557,6113.658
10:02:12.0,7185.155,7786.436,6087.456
10:02:13.0,7135.424,7864.369,5976.224
10:02:14.0,7039.852,7728.949,6084.057
10:02:15.0,7024.695,7841.725,5857.376
10:02:16.0,7123.061,7784.733,5973.468
10:02:17.0,7096.175,7745.412,6083.021
10:02:18.0,7142.753,7782.647,6069.333
10:02:19.0,7000.475,7880.795,6021.616
10:02:20.0,7194.565,7830.997,6121.449
10:02:21.0,7212.477,7768.326,6118.493
10:02:22.0,7061.661,7851.392,6099.025
10:02:23.0,7106.385,7789.478,6032.492
10:02:24.0,6903.311,7676.411,5845.804
10:02:25.0,7049.416,7844.241,5922.606
10:02:26.0,7067.544,7828.758,6046.591
