Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
13:59:31.0,0.0,,0.0
13:59:32.0,1.219,0.0,0.793
13:59:33.0,1.643,1.626,1.197
13:59:34.0,0.793,0.788,1.221
13:59:35.0,1.206,1.631,0.793
13:59:36.0,1.707,1.627,1.197
13:59:37.0,0.792,0.789,1.63
13:59:38.0,1.216,1.231,0.793
13:59:39.0,0.788,1.608,1.626
13:59:40.0,0.793,1.212,1.206
13:59:41.0,0.789,1.611,1.626
13:59:42.0,1.216,1.232,0.793
13:59:43.0,1.21,1.611,1.21
13:59:44.0,1.616,1.218,0.793
13:59:45.0,0.796,1.184,1.211
13:59:46.0,1.217,1.629,1.232
13:59:47.0,1.205,1.211,1.211
13:59:48.0,1.204,1.198,1.594
13:59:49.0,1.209,0.791,1.607
13:59:50.0,1.202,0.793,0.794
13:59:51.0,1.205,1.612,1.591
13:59:52.0,0.792,0.792,1.224
13:59:53.0,0.788,1.612,1.631
13:59:54.0,0.793,1.212,1.21
13:59:55.0,0.789,1.612,1.629
13:59:56.0,1.682,1.233,0.81
13:59:57.0,1.202,1.205,1.611
13:59:58.0,1.63,0.809,0.793
13:59:59.0,0.789,1.186,1.63
14:00:00.0,0.793,1.211,1.206
14:00:01.0,1.634,1.626,1.193
14:00:02.0,1.21,0.789,1.222
14:00:03.0,0.793,1.195,1.21
14:00:04.0,0.793,1.611,1.21
14:00:05.0,1.633,1.63,1.196
14:00:06.0,1.207,0.793,1.232
14:00:07.0,1.649,1.23,0.793
14:00:08.0,1.207,1.183,1.21
14:00:09.0,1.614,1.218,1.196
14:00:10.0,1.21,0.788,1.222
14:00:11.0,1.186,1.222,0.793
14:00:12.0,1.21,1.625,0.793
14:00:13.0,1.227,1.627,1.228
14:00:14.0,1.209,1.216,1.592
14:00:15.0,1.205,0.855,1.669
14:00:16.0,0.793,0.792,1.638
14:00:17.0,0.793,1.216,1.631
14:00:18.0,1.21,1.216,1.594
14:00:19.0,1.687,0.793,1.201
14:00:20.0,1.625,0.793,1.197
14:00:21.0,1.213,0.793,1.235
14:00:22.0,12.75,1.211,1.229
14:00:23.0,1394.777,3.234,1331.875
14:00:24.0,4674.836,3753.182,6079.787
14:00:25.0,3041.251,7466.7,5246.469
14:00:26.0,5017.413,5081.334,6165.119
14:00:27.0,3085.725,8951.533,7100.396
14:00:28.0,6625.337,6050.191,4251.183
14:00:29.0,2417.202,8109.338,7320.56
14:00:30.0,5229.605,7334.909,6100.784
14:00:31.0,4733.126,7784.5,6994.793
14:00:32.0,3850.64,7771.139,7776.487
14:00:33.0,6130.691,9503.648,4706.686
14:00:34.0,3129.002,7203.142,7946.364
14:00:35.0,4906.799,8453.311,7037.275
14:00:36.0,3909.667,8957.38,6733.748
14:00:37.0,5391.379,6978.889,6734.946
14:00:38.0,4065.939,8512.028,7872.664
14:00:39.0,4939.562,7456.118,6799.711
14:00:40.0,5224.644,9091.267,7862.067
14:00:41.0,4724.31,8990.856,7067.496
14:00:42.0,5013.689,9128.558,7321.478
14:00:43.0,4683.722,8136.096,8040.376
14:00:44.0,5166.374,9363.109,9070.116
14:00:45.0,4997.101,8153.907,9424.426
14:00:46.0,5777.211,8160.692,9515.891
14:00:47.0,5934.75,8015.701,9177.256
14:00:48.0,5928.166,7498.231,9429.216
14:00:49.0,5850.447,7825.455,9112.173
14:00:50.0,5899.385,7931.288,9245.84
14:00:51.0,6016.445,7950.163,9305.702
14:00:52.0,6131.903,7690.399,9360.909
14:00:53.0,6217.69,7812.043,9139.573
14:00:54.0,6239.793,7929.991,9088.492
14:00:55.0,6255.746,7647.997,9383.154
14:00:56.0,6248.0,7846.599,9055.486
14:00:57.0,5893.07,7660.725,9277.704
14:00:58.0,6248.996,7729.123,9063.582
14:00:59.0,6317.543,8062.273,9140.042
14:01:00.0,6338.937,7814.238,9248.014
14:01:01.0,6658.44,7511.946,8979.164
14:01:02.0,5887.381,7550.409,8863.452
14:01:03.0,6076.193,8345.617,9279.892
14:01:04.0,6398.779,7766.225,9043.653
14:01:05.0,6184.27,8136.411,8970.15
14:01:06.0,6625.391,7796.167,9130.074
14:01:07.0,6377.674,7910.991,8825.805
14:01:08.0,6203.74,7778.098,9158.341
14:01:09.0,6424.788,7932.774,9063.367
14:01:10.0,6142.522,7883.531,8935.99
14:01:11.0,6722.55,7993.25,8896.508
14:01:12.0,6383.019,8068.388,8868.662
14:01:13.0,6402.189,7880.132,8965.235
14:01:14.0,6751.292,7727.142,9060.432
14:01:15.0,6658.843,8191.595,8753.603
14:01:16.0,6616.236,7854.139,9109.409
14:01:17.0,6209.519,7857.674,8762.677
14:01:18.0,6860.535,7999.717,9039.54
14:01:19.0,6719.621,7832.617,8594.058
14:01:20.0,6913.381,8089.251,9065.051
14:01:21.0,6591.563,7699.208,9033.699
14:01:22.0,6435.718,8030.099,8726.096
14:01:23.0,6629.475,7975.509,9167.83
14:01:24.0,6555.341,7875.702,8874.689
14:01:25.0,6385.458,7934.784,9052.681
14:01:26.0,6904.792,7761.982,8879.58
14:01:27.0,6901.746,8015.601,8914.539
14:01:28.0,7177.62,7680.345,9092.907
14:01:29.0,7414.182,7895.4,9193.713
14:01:30.0,7442.604,7735.884,8558.603
14:01:31.0,7532.151,7962.454,9450.748
14:01:32.0,7580.125,7795.824,8668.933
14:01:33.0,7314.068,7728.684,9011.641
14:01:34.0,7345.657,7844.402,8956.971
14:01:35.0,7337.666,7599.281,8676.744
14:01:36.0,7625.596,7919.285,9149.428
14:01:37.0,7519.122,7749.494,9056.87
14:01:38.0,7550.144,7678.348,8611.893
14:01:39.0,7528.382,7870.012,9084.041
14:01:40.0,7475.328,7764.375,9014.427
14:01:41.0,7559.541,7689.374,8929.214
14:01:42.0,7596.692,7866.108,8900.893
14:01:43.0,7656.51,7769.375,8897.28
14:01:44.0,7657.778,7793.418,8983.437
14:01:45.0,7276.234,7494.034,8742.486
14:01:46.0,7711.225,7871.439,8718.117
14:01:47.0,7898.565,7859.492,8834.636
14:01:48.0,7935.084,7938.246,8992.759
14:01:49.0,7861.179,7790.564,8816.356
14:01:50.0,7763.682,7664.44,8820.753
14:01:51.0,7929.918,7969.737,8826.5
14:01:52.0,7889.688,7806.51,8792.267
14:01:53.0,7798.936,7652.994,8668.307
14:01:54.0,7576.328,7930.014,8732.312
14:01:55.0,7782.698,7815.945,8810.109
14:01:56.0,7830.324,7814.199,8775.867
14:01:57.0,7799.181,7803.502,8772.926
14:01:58.0,7800.019,7810.967,8832.002
14:01:59.0,7740.069,7830.098,8819.162
14:02:00.0,7739.333,7762.415,8887.349
14:02:01.0,7800.676,7871.283,8830.54
14:02:02.0,7753.298,7844.498,8682.121
14:02:03.0,7705.435,7805.664,8960.545
14:02:04.0,7512.203,7750.585,8646.235
14:02:05.0,7980.587,7773.835,8820.22
14:02:06.0,7844.78,7875.955,8906.89
14:02:07.0,7818.781,7781.27,8847.977
14:02:08.0,7915.314,7860.408,8944.055
14:02:09.0,7814.165,7826.839,8743.792
14:02:10.0,7861.082,7821.675,8835.698
14:02:11.0,7822.457,7820.13,8934.112
14:02:12.0,7857.208,7802.25,8809.798
14:02:13.0,7788.726,7800.307,8834.23
14:02:14.0,7782.926,7736.233,8792.28
14:02:15.0,7991.954,7905.388,8873.338
14:02:16.0,7831.011,7767.586,8785.906
14:02:17.0,7820.709,7848.657,8941.31
14:02:18.0,7808.191,7850.109,8888.023
14:02:19.0,7777.811,7672.354,8830.257
14:02:20.0,7964.476,7943.237,8900.505
14:02:21.0,7827.013,7816.249,8685.477
14:02:22.0,7475.372,7765.313,8641.458
14:02:23.0,7781.228,7641.161,8904.54
14:02:24.0,7864.622,7954.053,8873.146
14:02:25.0,7783.026,7845.431,8926.36
14:02:26.0,7857.795,7831.287,8868.253
14:02:27.0,7885.271,7821.359,8899.842
14:02:28.0,7811.18,7764.446,8809.464
14:02:29.0,7955.958,7855.455,8840.941
14:02:30.0,7632.335,7833.839,8780.303
14:02:31.0,7751.903,7766.449,8808.474
14:02:32.0,7771.619,7740.458,8837.352
14:02:33.0,7982.748,7904.501,8856.175
14:02:34.0,7818.659,7825.536,8846.344
14:02:35.0,8016.335,7832.445,8762.262
14:02:36.0,7874.695,7814.042,8898.375
14:02:37.0,7849.482,7802.002,8754.365
14:02:38.0,7697.758,7837.515,8851.428
14:02:39.0,7743.375,7779.826,8852.875
14:02:40.0,7774.955,7718.67,8896.219
14:02:41.0,7948.434,7922.074,8886.451
14:02:42.0,7895.618,7813.407,8870.902
14:02:43.0,7906.087,7797.264,8875.026
14:02:44.0,7807.964,7860.932,8758.19
14:02:45.0,7964.566,7806.092,8920.983
14:02:46.0,7838.212,7830.98,8833.115
14:02:47.0,7796.048,7622.617,8763.935
14:02:48.0,7563.57,7979.18,8762.81
14:02:49.0,7825.606,7691.859,8849.144
14:02:50.0,7950.921,7932.875,8920.652
14:02:51.0,7802.8,7800.207,8774.452
14:02:52.0,7874.374,7822.817,8883.849
14:02:53.0,7574.153,7775.287,8836.404
14:02:54.0,7507.068,7615.519,8772.608
14:02:55.0,7687.621,7969.92,8757.267
14:02:56.0,7598.988,7785.224,8832.869
14:02:57.0,7892.239,7809.145,8786.749
14:02:58.0,7890.462,7816.541,8862.435
14:02:59.0,7604.717,7793.659,8730.45
14:03:00.0,7855.846,7808.167,8886.0
14:03:01.0,7797.91,7808.473,8789.107
14:03:02.0,7932.047,7818.485,9017.161
14:03:03.0,7818.037,7820.76,8873.758
14:03:04.0,7853.309,7750.956,8885.253
