Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
09:31:01.0,0.0
09:31:02.0,0.23
09:31:03.0,0.236
09:31:04.0,0.237
09:31:05.0,0.239
09:31:06.0,11.577
09:31:07.0,3605.443
09:31:08.0,4665.902
09:31:09.0,6257.217
09:31:10.0,2032.824
09:31:11.0,3143.148
09:31:12.0,9571.49
09:31:13.0,2719.074
09:31:14.0,4213.91
09:31:15.0,4768.108
09:31:16.0,6728.372
09:31:17.0,5689.847
09:31:18.0,3471.088
09:31:19.0,4775.791
09:31:20.0,6759.777
09:31:21.0,4602.427
09:31:22.0,3779.092
09:31:23.0,8574.781
09:31:24.0,6249.903
09:31:25.0,4724.433
09:31:26.0,5463.138
09:31:27.0,3866.406
09:31:28.0,7000.018
09:31:29.0,5674.397
09:31:30.0,5408.006
09:31:31.0,6965.716
09:31:32.0,6294.231
09:31:33.0,5721.511
09:31:34.0,6324.667
09:31:35.0,4717.053
09:31:36.0,5787.14
09:31:37.0,7634.754
09:31:38.0,4029.001
09:31:39.0,6959.01
09:31:40.0,5214.636
09:31:41.0,4729.839
09:31:42.0,10224.187
09:31:43.0,2897.345
09:31:44.0,7230.211
09:31:45.0,9330.927
09:31:46.0,3374.896
09:31:47.0,9817.118
09:31:48.0,5780.618
09:31:49.0,7109.81
09:31:50.0,8038.78
09:31:51.0,4576.409
09:31:52.0,8157.523
09:31:53.0,5637.693
09:31:54.0,6265.253
09:31:55.0,5441.064
09:31:56.0,8364.418
09:31:57.0,7811.516
09:31:58.0,6572.618
09:31:59.0,6790.949
09:32:00.0,5292.499
09:32:01.0,10089.771
09:32:02.0,5217.165
09:32:03.0,8082.762
09:32:04.0,8063.867
09:32:05.0,4908.464
09:32:06.0,7823.832
09:32:07.0,9713.158
09:32:08.0,5770.7
09:32:09.0,6685.316
09:32:10.0,7394.429
09:32:11.0,6611.183
09:32:12.0,6828.282
09:32:13.0,6961.994
09:32:14.0,8220.238
09:32:15.0,7555.941
09:32:16.0,7509.401
09:32:17.0,6773.597
09:32:18.0,8117.72
09:32:19.0,7031.557
09:32:20.0,8292.999
09:32:21.0,7849.516
09:32:22.0,8431.001
09:32:23.0,9104.438
09:32:24.0,6325.231
09:32:25.0,6985.677
09:32:26.0,6999.083
09:32:27.0,6944.754
09:32:28.0,8163.076
09:32:29.0,9209.844
09:32:30.0,4921.194
09:32:31.0,10495.203
09:32:32.0,7626.458
09:32:33.0,7273.11
09:32:34.0,8334.13
09:32:35.0,8168.37
09:32:36.0,5573.969
09:32:37.0,8211.252
09:32:38.0,8360.722
09:32:39.0,7711.625
09:32:40.0,7327.27
09:32:41.0,8495.408
09:32:42.0,8420.174
09:32:43.0,8503.394
09:32:44.0,7005.337
09:32:45.0,8407.22
09:32:46.0,6873.449
09:32:47.0,10563.747
09:32:48.0,5111.825
09:32:49.0,10263.837
09:32:50.0,6127.095
09:32:51.0,9112.478
09:32:52.0,7196.061
09:32:53.0,10129.748
09:32:54.0,6415.613
09:32:55.0,7700.941
09:32:56.0,9266.067
09:32:57.0,7807.885
09:32:58.0,6845.656
09:32:59.0,7968.79
09:33:00.0,9223.99
09:33:01.0,7859.069
09:33:02.0,5933.189
09:33:03.0,11006.426
09:33:04.0,4452.912
09:33:05.0,10988.162
09:33:06.0,6941.856
09:33:07.0,10593.246
09:33:08.0,5929.035
09:33:09.0,10379.05
09:33:10.0,5833.972
09:33:11.0,4753.495
09:33:12.0,8804.491
09:33:13.0,5183.502
09:33:14.0,9732.154
09:33:15.0,7262.916
09:33:16.0,8899.458
09:33:17.0,5142.25
09:33:18.0,8888.93
09:33:19.0,6083.938
09:33:20.0,9225.646
09:33:21.0,8530.444
09:33:22.0,7170.727
09:33:23.0,6940.916
09:33:24.0,9802.824
09:33:25.0,7094.132
09:33:26.0,8743.682
09:33:27.0,9088.547
09:33:28.0,9106.173
09:33:29.0,5685.56
09:33:30.0,7503.143
09:33:31.0,7294.611
09:33:32.0,8705.222
09:33:33.0,9305.852
09:33:34.0,8411.632
09:33:35.0,6546.788
09:33:36.0,9394.374
09:33:37.0,8577.672
09:33:38.0,9035.428
09:33:39.0,7549.671
09:33:40.0,9046.546
09:33:41.0,10214.82
09:33:42.0,8060.448
09:33:43.0,7170.48
09:33:44.0,7169.359
09:33:45.0,7957.106
09:33:46.0,7851.596
09:33:47.0,12025.793
09:33:48.0,6190.734
09:33:49.0,11863.224
09:33:50.0,9197.775
09:33:51.0,11191.407
09:33:52.0,7364.227
09:33:53.0,11573.397
09:33:54.0,7347.041
09:33:55.0,8550.049
09:33:56.0,10911.45
09:33:57.0,7676.59
09:33:58.0,9453.939
09:33:59.0,11401.519
09:34:00.0,7529.483
09:34:01.0,11805.79
09:34:02.0,10900.855
09:34:03.0,9656.157
09:34:04.0,8717.678
09:34:05.0,9662.19
09:34:06.0,9624.704
09:34:07.0,9653.256
09:34:08.0,7338.294
09:34:09.0,11693.323
09:34:10.0,7384.764
09:34:11.0,11604.606
09:34:12.0,7907.762
09:34:13.0,11819.729
09:34:14.0,7063.163
09:34:15.0,12015.264
09:34:16.0,8284.234
09:34:17.0,8924.709
09:34:18.0,10124.766
09:34:19.0,8237.496
09:34:20.0,7605.111
09:34:21.0,7637.576
