Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:08:57.0,0.0,,0.0
10:08:58.0,0.979,0.0,1.599
10:08:59.0,1.268,1.25,0.98
10:09:00.0,0.964,1.577,1.265
10:09:01.0,1.25,1.575,1.259
10:09:02.0,554.596,1.287,1.302
10:09:03.0,1775.409,103.04,1810.613
10:09:04.0,1486.636,1723.146,3246.059
10:09:05.0,1566.577,1702.58,3077.333
10:09:06.0,1541.443,1886.456,3348.443
10:09:07.0,1387.308,1961.254,3172.416
10:09:08.0,1408.19,1592.639,2746.976
10:09:09.0,1213.72,1752.596,3152.627
10:09:10.0,1134.941,1263.43,3345.793
10:09:11.0,1227.364,1583.346,2668.722
10:09:12.0,1378.597,1669.638,3022.365
10:09:13.0,1322.159,1559.315,3061.673
10:09:14.0,1233.977,1259.746,3059.224
10:09:15.0,1170.392,1564.333,3017.269
10:09:16.0,1179.645,1692.33,2877.01
10:09:17.0,1184.969,1532.795,3000.797
10:09:18.0,1109.798,1316.583,2892.385
10:09:19.0,1260.811,1269.001,2924.556
10:09:20.0,1083.407,1453.704,3024.503
10:09:21.0,1149.356,1419.265,2702.414
10:09:22.0,1298.659,1360.672,2715.496
10:09:23.0,1349.794,1346.37,2600.261
10:09:24.0,1204.067,1389.631,2662.676
10:09:25.0,1354.147,1154.21,2942.479
10:09:26.0,1242.953,1556.302,2787.176
10:09:27.0,1340.235,1297.347,2732.581
10:09:28.0,1279.618,1232.183,2802.157
10:09:29.0,1289.365,1315.852,2956.14
10:09:30.0,1234.111,1391.758,2555.161
10:09:31.0,1217.9,1344.009,3093.919
10:09:32.0,991.691,1441.356,2802.651
10:09:33.0,981.98,1568.418,2969.719
10:09:34.0,1133.462,1418.71,2933.783
10:09:35.0,1359.788,1454.438,2705.858
10:09:36.0,1355.176,1251.722,2936.31
10:09:37.0,1385.617,1542.495,2351.865
10:09:38.0,1187.6,1482.252,3039.872
10:09:39.0,973.351,1611.666,2637.386
10:09:40.0,1107.567,1085.795,2489.522
10:09:41.0,1174.803,1496.722,2435.073
10:09:42.0,1161.336,1093.062,2367.867
10:09:43.0,1082.101,1041.718,2603.033
10:09:44.0,1098.919,1374.912,2485.485
