Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:40:56.0,0.0,,0.0
10:40:57.0,1.241,0.0,1.249
10:40:58.0,1.237,1.663,1.23
10:40:59.0,1.497,1.987,1.935
10:41:00.0,1.244,1.622,1.276
10:41:01.0,1.523,1.291,1.34
10:41:02.0,1.242,1.767,1.246
10:41:03.0,1.5,1.291,1.644
10:41:04.0,485.407,1.54,1.658
10:41:05.0,2090.608,6.246,1926.172
10:41:06.0,2556.059,2260.751,3876.355
10:41:07.0,2531.793,2472.178,3991.379
10:41:08.0,2542.204,2402.447,3959.434
10:41:09.0,2427.256,2405.881,3716.309
10:41:10.0,2418.08,2289.663,3522.891
10:41:11.0,2272.575,2443.845,3954.027
10:41:12.0,2448.039,2583.238,3513.283
10:41:13.0,2411.453,2439.732,3944.718
10:41:14.0,2482.402,2470.722,3917.27
10:41:15.0,2491.649,2391.395,3628.18
10:41:16.0,2358.581,2282.409,3768.583
10:41:17.0,2510.604,2437.076,3592.527
10:41:18.0,2343.158,2349.239,3554.289
10:41:19.0,2285.52,2609.997,4050.971
10:41:20.0,2277.104,2454.747,3955.623
10:41:21.0,2243.543,2504.616,3728.931
10:41:22.0,2329.574,2435.246,4154.971
10:41:23.0,2145.357,2460.194,3710.434
10:41:24.0,2286.691,2396.703,3731.012
10:41:25.0,2230.24,2055.905,3833.433
10:41:26.0,2262.067,2197.262,3918.941
10:41:27.0,2402.07,2494.584,4115.043
10:41:28.0,2191.02,2279.6,3988.706
10:41:29.0,2078.489,2384.379,4069.312
10:41:30.0,2630.337,2308.495,4135.588
10:41:31.0,2352.601,2339.967,3944.696
10:41:32.0,2302.307,2413.723,3852.254
10:41:33.0,2483.152,2414.656,3618.678
10:41:34.0,2352.583,2354.863,4430.264
10:41:35.0,2346.819,2309.61,3675.731
10:41:36.0,2447.956,2415.56,4098.137
10:41:37.0,2632.394,2414.303,3613.49
10:41:38.0,2290.211,2397.512,4133.525
10:41:39.0,2570.142,2252.748,3790.668
10:41:40.0,2158.525,2584.39,4007.541
10:41:41.0,2174.956,2327.375,4177.423
10:41:42.0,2430.75,2519.726,4345.941
10:41:43.0,2221.133,2256.38,4132.34
10:41:44.0,2126.8,2703.303,3674.691
10:41:45.0,2019.66,2841.798,3610.204
10:41:46.0,1999.901,2527.016,3668.624
10:41:47.0,2359.264,2452.256,3561.069
10:41:48.0,2001.799,2610.791,3770.832
10:41:49.0,2199.867,2544.422,4301.125
10:41:50.0,2130.551,2705.088,3494.591
10:41:51.0,1049.398,2483.995,3940.915
10:41:52.0,1.628,113.795,0.99
10:41:53.0,1.264,1.285,0.934
10:41:54.0,1.551,1.576,1.33
10:41:55.0,1.296,0.965,1.265
10:41:56.0,1.279,1.33,0.946
10:41:57.0,1.291,1.989,1.187
10:41:58.0,1.594,1.973,1.215
10:41:59.0,1.297,1.266,0.983
10:42:00.0,1.244,1.216,1.577
10:42:01.0,1.587,1.292,0.969
10:42:02.0,1.587,1.264,0.967
10:42:03.0,1.266,1.648,1.24
10:42:04.0,2.055,1.592,0.973
10:42:05.0,1.205,1.214,1.988
10:42:06.0,1.631,1.218,1.243
10:42:07.0,1.563,1.265,1.356
10:42:08.0,1.28,1.549,0.949
10:42:09.0,763.023,1.579,1.375
10:42:10.0,2795.946,410.178,2365.387
10:42:11.0,2551.38,2944.933,3833.559
10:42:12.0,2356.131,2701.05,4037.298
10:42:13.0,2484.158,2750.052,3502.617
10:42:14.0,2466.192,2756.65,3288.138
10:42:15.0,2022.869,2899.789,3537.117
10:42:16.0,2273.782,2795.671,4082.98
10:42:17.0,2219.348,2600.867,3490.569
10:42:18.0,2573.327,2772.393,4040.014
10:42:19.0,2779.568,2764.474,3469.065
10:42:20.0,2655.069,2727.154,3922.771
10:42:21.0,2437.081,2927.383,3771.47
10:42:22.0,2243.916,2809.969,4072.525
10:42:23.0,2270.886,2819.283,4056.565
10:42:24.0,1.321,3125.313,984.634
10:42:25.0,1.528,24.42,1.282
10:42:26.0,1.211,1.0,2.041
10:42:27.0,1.214,1.236,1.542
10:42:28.0,1.334,1.703,1.221
10:42:29.0,1.57,1.234,1.361
10:42:30.0,1.472,1.56,1.941
10:42:31.0,1.562,1.63,0.993
10:42:32.0,1.492,1.262,1.551
10:42:33.0,1.519,1.416,1.585
10:42:34.0,1.632,1.364,0.978
10:42:35.0,1.479,1.28,2.033
10:42:36.0,1.28,1.635,1.217
10:42:37.0,0.929,1.233,1.574
10:42:38.0,1.182,1.218,1.965
10:42:39.0,1.473,1.227,1.515
10:42:40.0,1.537,1.347,1.687
10:42:41.0,1.27,1.264,0.926
10:42:42.0,1.184,1.579,1.537
10:42:43.0,1.599,0.936,1.377
10:42:44.0,1.565,1.607,1.363
10:42:45.0,143.949,1.58,1.288
10:42:46.0,825.252,1.266,24.497
10:42:47.0,1755.054,686.224,2126.297
10:42:48.0,4548.985,1478.452,3651.181
10:42:49.0,4409.58,3051.201,4661.259
10:42:50.0,4341.074,5442.435,5007.205
10:42:51.0,4760.724,5209.073,5188.857
10:42:52.0,4473.68,4795.135,4904.197
10:42:53.0,3832.979,4771.806,4225.777
10:42:54.0,4583.112,4352.558,4725.972
10:42:55.0,5012.116,4583.38,5354.262
10:42:56.0,5324.422,4400.985,4578.952
10:42:57.0,4754.249,4282.997,4826.607
10:42:58.0,3995.064,4388.359,3987.867
10:42:59.0,4832.055,4149.379,4892.82
10:43:00.0,4645.137,4550.625,4238.01
10:43:01.0,4303.723,5485.075,4912.154
10:43:02.0,4496.46,4909.336,4806.119
