Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
11:00:43.0,0.0,0.0,0.0
11:00:44.0,1.581,1.628,1.944
11:00:45.0,1.583,1.255,0.984
11:00:46.0,1.6,1.25,0.962
11:00:47.0,1.293,1.489,1.68
11:00:48.0,1.294,1.218,2.066
11:00:49.0,1.264,0.931,1.591
11:00:50.0,1.598,1.251,0.962
11:00:51.0,288.857,1.565,1.36
11:00:52.0,87.62,128.391,55.891
11:00:53.0,270.022,182.177,324.653
11:00:54.0,346.511,399.761,584.207
11:00:55.0,363.218,283.729,744.611
11:00:56.0,375.835,448.531,520.314
11:00:57.0,460.224,351.333,644.49
11:00:58.0,430.823,426.969,701.943
11:00:59.0,749.887,441.722,632.36
11:01:00.0,407.143,406.96,591.578
11:01:01.0,386.804,344.337,743.388
11:01:02.0,229.281,311.279,829.984
11:01:03.0,315.733,288.541,711.167
11:01:04.0,408.267,303.962,861.771
11:01:05.0,363.785,302.971,786.421
11:01:06.0,324.489,231.753,662.731
11:01:07.0,311.228,332.32,932.717
11:01:08.0,395.933,378.054,699.268
11:01:09.0,357.719,304.545,906.824
11:01:10.0,318.892,359.179,847.489
11:01:11.0,385.66,260.209,899.859
11:01:12.0,409.475,402.256,964.415
11:01:13.0,424.051,459.041,902.785
11:01:14.0,400.097,347.621,832.204
11:01:15.0,382.768,381.357,731.986
11:01:16.0,514.616,495.605,753.361
11:01:17.0,793.962,368.121,997.949
11:01:18.0,372.223,384.945,1104.818
11:01:19.0,462.163,378.401,949.338
11:01:20.0,591.113,411.935,1093.738
11:01:21.0,523.791,434.305,931.416
11:01:22.0,486.603,469.467,1156.933
11:01:23.0,755.651,478.097,896.747
11:01:24.0,812.535,353.427,1133.974
11:01:25.0,798.88,518.426,1080.437
11:01:26.0,525.266,431.978,1163.822
11:01:27.0,471.837,560.359,1203.114
11:01:28.0,602.133,442.38,878.732
11:01:29.0,500.592,480.412,1192.996
11:01:30.0,627.166,443.452,1041.159
11:01:31.0,934.974,521.231,1244.122
11:01:32.0,818.416,535.439,904.252
11:01:33.0,689.495,569.568,1173.915
11:01:34.0,628.33,330.535,1007.585
11:01:35.0,606.844,485.786,1158.315
11:01:36.0,798.164,559.558,946.139
11:01:37.0,573.895,485.852,1239.025
11:01:38.0,646.416,532.333,1025.476
11:01:39.0,671.003,341.816,1116.361
11:01:40.0,9.177,250.46,334.034
11:01:41.0,1.28,0.952,1.609
11:01:42.0,1.611,1.278,1.704
11:01:43.0,1.282,1.271,1.251
11:01:44.0,1.604,1.255,0.964
11:01:45.0,1.568,1.669,1.282
11:01:46.0,1.567,1.377,1.566
11:01:47.0,1.606,1.256,0.994
11:01:48.0,1.613,0.999,1.301
11:01:49.0,1.674,1.556,1.375
11:01:50.0,1.56,1.631,1.377
11:01:51.0,2.06,1.276,1.278
11:01:52.0,1.578,1.256,0.999
11:01:53.0,1.576,1.984,1.666
11:01:54.0,1.245,1.536,1.647
11:01:55.0,0.948,1.233,1.648
11:01:56.0,1.569,1.416,1.525
11:01:57.0,861.417,486.796,674.011
11:01:58.0,864.206,770.864,1602.082
11:01:59.0,877.337,677.999,1409.388
11:02:00.0,832.187,861.539,1796.209
11:02:01.0,904.82,548.213,1262.927
11:02:02.0,638.093,513.678,1312.821
11:02:03.0,774.732,640.929,1473.08
11:02:04.0,605.396,441.43,1330.547
11:02:05.0,573.571,580.337,1513.822
11:02:06.0,746.854,421.576,1298.192
11:02:07.0,643.728,615.213,1466.956
11:02:08.0,794.356,621.407,1362.529
11:02:09.0,682.58,507.709,1350.486
11:02:10.0,36.689,429.294,997.639
11:02:11.0,1.666,1.257,2.665
11:02:12.0,1.608,1.041,1.296
11:02:13.0,1.586,0.983,1.279
11:02:14.0,1.277,1.567,0.968
11:02:15.0,1.583,1.574,0.929
11:02:16.0,1.572,1.232,1.7
11:02:17.0,1.24,1.229,2.048
11:02:18.0,1.548,1.364,1.959
11:02:19.0,1.625,1.274,0.975
11:02:20.0,1.236,0.932,1.62
11:02:21.0,1.592,1.568,0.972
11:02:22.0,0.966,1.2,1.978
11:02:23.0,1.598,0.985,1.289
11:02:24.0,1.593,1.568,0.981
11:02:25.0,1.28,1.958,1.662
11:02:26.0,1.562,1.96,1.206
11:02:27.0,1.579,0.993,1.663
11:02:28.0,1.308,1.235,1.267
11:02:29.0,1.29,1.598,0.949
11:02:30.0,1.585,1.259,0.933
11:02:31.0,1.238,0.936,1.596
11:02:32.0,287.011,2.286,1.296
11:02:33.0,132.069,110.73,64.832
11:02:34.0,260.91,212.028,379.559
11:02:35.0,2351.039,371.612,357.787
11:02:36.0,3726.435,1822.372,353.742
11:02:37.0,4328.397,2405.598,2738.225
11:02:38.0,5149.677,2470.265,3257.587
11:02:39.0,4816.133,2854.15,3388.222
11:02:40.0,5485.411,3355.285,4175.535
11:02:41.0,4502.952,3287.549,4156.776
11:02:42.0,4117.833,3285.02,4179.446
11:02:43.0,4949.784,3786.024,4351.296
11:02:44.0,5520.262,3347.091,3905.968
11:02:45.0,5137.768,3715.114,4212.712
11:02:46.0,5675.999,3269.183,4072.206
11:02:47.0,4932.393,3219.715,3883.966
11:02:48.0,5127.74,4009.069,3976.004
11:02:49.0,5264.625,3452.128,3775.445
11:02:50.0,5106.323,3840.092,4276.79
11:02:51.0,5152.842,3733.213,4368.158
11:02:52.0,4130.116,3791.023,3617.616
