Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
11:18:33.0,0.0,,0.0
11:18:34.0,1.891,0.0,0.961
11:18:35.0,1.216,1.315,1.259
11:18:36.0,1.213,0.983,1.574
11:18:37.0,1.468,1.274,0.978
11:18:38.0,1.878,1.266,2.76
11:18:39.0,359.265,72.267,327.812
11:18:40.0,363.289,532.601,852.554
11:18:41.0,1489.632,1037.185,1095.837
11:18:42.0,1493.322,1615.326,1054.218
11:18:43.0,1482.208,1502.063,1178.521
11:18:44.0,1680.618,1751.23,1592.464
11:18:45.0,1081.762,995.583,1106.374
11:18:46.0,1585.904,1635.126,1047.799
11:18:47.0,1805.7,1401.865,1214.935
11:18:48.0,1614.142,1712.74,1094.163
11:18:49.0,1649.666,1438.391,1102.976
11:18:50.0,1590.656,1355.927,1388.041
11:18:51.0,1758.182,1799.266,1066.522
11:18:52.0,1594.952,1398.354,1317.025
11:18:53.0,1832.164,1640.79,1042.673
11:18:54.0,1430.529,1304.757,998.412
11:18:55.0,1961.992,1628.14,1178.641
11:18:56.0,1705.116,1736.032,1375.95
11:18:57.0,2153.226,1564.241,1300.758
11:18:58.0,1830.864,1687.716,1383.121
11:18:59.0,2211.478,1658.108,1405.27
11:19:00.0,1940.654,1857.132,1279.315
11:19:01.0,2178.046,1529.342,1349.138
11:19:02.0,1938.174,1842.788,1211.519
11:19:03.0,1919.54,1570.827,1557.724
11:19:04.0,1860.669,1840.319,1251.094
11:19:05.0,2129.736,1473.894,1440.267
11:19:06.0,1837.383,1879.274,1198.303
11:19:07.0,1937.935,1590.73,1348.916
11:19:08.0,2000.614,1765.063,1337.446
11:19:09.0,1849.484,1591.975,1571.274
11:19:10.0,2217.746,1743.541,1346.636
11:19:11.0,1898.943,1627.756,1211.86
11:19:12.0,2171.903,1986.156,1400.237
11:19:13.0,1736.151,1639.132,1393.742
11:19:14.0,2127.198,1880.529,1404.596
11:19:15.0,1883.672,1762.062,1213.19
11:19:16.0,2095.909,1947.524,2156.484
11:19:17.0,1855.113,1711.107,1413.384
11:19:18.0,2163.143,1929.974,1445.207
11:19:19.0,1880.544,1611.788,1433.682
11:19:20.0,1960.641,1923.333,1366.527
11:19:21.0,2188.444,1721.05,1381.455
11:19:22.0,2029.499,2000.1,1491.498
11:19:23.0,2102.211,1575.882,1256.158
11:19:24.0,1796.531,2011.537,1454.024
11:19:25.0,2250.5,1706.731,1594.829
11:19:26.0,1865.896,1946.408,1042.863
11:19:27.0,2294.947,1481.078,32.694
11:19:28.0,1.247,0.958,1.276
11:19:29.0,1.249,1.31,1.567
11:19:30.0,0.931,1.624,1.284
11:19:31.0,0.967,1.533,1.349
11:19:32.0,1.259,1.316,1.668
11:19:33.0,1.245,0.97,1.57
11:19:34.0,0.951,1.189,1.315
11:19:35.0,1.251,1.277,1.267
11:19:36.0,1.556,0.966,0.968
11:19:37.0,1.229,1.564,1.261
11:19:38.0,1.244,1.296,1.279
11:19:39.0,1.555,1.0,0.981
11:19:40.0,2.339,1.245,1.316
11:19:41.0,1.245,1.234,1.613
