Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
18:07:31.0,,0.0,0.0
18:07:32.0,0.0,,
18:07:33.0,1.248,0.983,1.599
18:07:34.0,5.301,1.623,0.96
18:07:35.0,0.968,1.283,1.594
18:07:36.0,1.278,1.623,0.965
18:07:37.0,1.294,5.265,5.252
18:07:38.0,0.967,1.625,1.248
18:07:39.0,290.959,0.995,1.607
18:07:40.0,491.353,194.553,482.454
18:07:41.0,1461.299,1613.699,2293.879
18:07:42.0,1461.132,2518.577,2549.07
18:07:43.0,1494.683,2338.064,3577.164
18:07:44.0,1114.87,2311.161,3753.373
18:07:45.0,1343.788,2820.258,3926.614
18:07:46.0,1395.38,2645.833,4266.672
18:07:47.0,1554.582,2771.308,4270.046
18:07:48.0,1629.645,3118.625,4515.937
18:07:49.0,1593.713,2815.692,4349.992
18:07:50.0,1584.843,3277.221,4526.394
18:07:51.0,1641.171,3102.52,4998.505
18:07:52.0,1461.741,3495.029,4459.147
18:07:53.0,1839.294,3317.719,4855.591
18:07:54.0,1793.217,3371.309,4551.456
18:07:55.0,1623.083,3552.337,5022.285
18:07:56.0,1715.712,3378.238,5264.896
18:07:57.0,1663.986,3442.76,5442.725
18:07:58.0,1751.964,3527.348,4938.495
18:07:59.0,1679.431,3687.628,5740.084
18:08:00.0,2008.445,3456.992,5574.099
18:08:01.0,1568.512,3181.262,5566.222
18:08:02.0,1895.543,3563.172,5933.194
18:08:03.0,2040.906,3159.686,5499.604
18:08:04.0,2093.782,3280.227,5607.803
18:08:05.0,2137.69,3603.591,4965.913
18:08:06.0,2169.648,3526.048,5327.146
18:08:07.0,1928.297,3632.541,6028.567
18:08:08.0,2028.863,3081.027,6794.558
18:08:09.0,2147.74,3283.307,5592.284
18:08:10.0,2025.385,3449.109,7140.301
18:08:11.0,2141.85,3040.131,7233.81
18:08:12.0,2093.448,3287.648,7424.801
18:08:13.0,1965.803,3098.055,7186.625
18:08:14.0,1956.837,3321.179,6786.601
18:08:15.0,2049.331,3259.055,7421.204
18:08:16.0,2040.941,3101.968,7732.306
18:08:17.0,2085.884,3225.027,7453.239
