Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
18:48:58.0,0.0,0.0,0.0
18:48:59.0,1.262,2.314,0.93
18:49:00.0,1.242,1.583,1.508
18:49:01.0,1.574,4.979,1.265
18:49:02.0,1.504,1.711,7.248
18:49:03.0,6.832,1.697,1.943
18:49:04.0,1.601,0.976,1.25
18:49:05.0,1.601,0.961,0.973
18:49:06.0,1.244,6.934,1.454
18:49:07.0,1.252,1.584,5.509
18:49:08.0,290.946,0.983,0.997
18:49:09.0,703.811,174.053,332.986
18:49:10.0,1876.826,1026.256,1638.079
18:49:11.0,2946.346,1470.111,2158.606
18:49:12.0,3436.599,1440.271,2055.229
18:49:13.0,3122.667,1382.981,2442.428
18:49:14.0,3338.248,1303.452,3139.639
18:49:15.0,3582.539,1639.873,2828.562
18:49:16.0,3799.739,1562.701,3306.754
18:49:17.0,3347.125,1745.635,3428.45
18:49:18.0,3417.004,1822.855,3399.383
18:49:19.0,3512.791,1814.407,3712.11
18:49:20.0,3283.805,2077.617,3783.731
18:49:21.0,3771.901,1995.435,3665.355
18:49:22.0,3649.399,2113.519,3658.697
18:49:23.0,3626.542,1992.732,3697.422
18:49:24.0,3531.208,1984.464,3818.026
18:49:25.0,3624.001,1893.104,3766.853
18:49:26.0,3654.943,2112.47,3636.794
18:49:27.0,3540.089,2061.549,4035.441
18:49:28.0,3840.212,2081.665,4036.756
18:49:29.0,3767.016,2084.128,3548.174
18:49:30.0,3721.21,2100.59,4062.701
18:49:31.0,3571.644,2028.83,3915.868
18:49:32.0,3810.693,2068.911,3676.882
18:49:33.0,3805.368,2110.322,4114.66
18:49:34.0,3765.823,2048.731,4038.392
18:49:35.0,3771.792,2111.015,3907.998
18:49:36.0,3885.26,2172.776,4141.805
18:49:37.0,3805.838,2019.197,4190.776
18:49:38.0,3765.416,2102.393,4136.073
18:49:39.0,3679.898,2016.085,4160.644
18:49:40.0,3722.203,2082.5,4217.315
18:49:41.0,3736.428,2019.029,4114.637
18:49:42.0,3556.367,2016.791,3727.858
18:49:43.0,3844.445,2075.564,3749.757
18:49:44.0,3928.88,1967.656,4153.79
18:49:45.0,3810.62,2040.553,4135.599
18:49:46.0,3854.511,2199.308,3960.03
18:49:47.0,3892.017,2254.167,4053.241
18:49:48.0,3787.447,2142.787,4041.913
18:49:49.0,3967.752,1906.17,3807.64
18:49:50.0,3817.859,2203.852,4143.797
18:49:51.0,3709.458,2203.218,4116.249
18:49:52.0,3826.436,2144.181,4051.061
18:49:53.0,3775.366,2029.573,4136.777
18:49:54.0,3854.947,2058.041,4106.219
18:49:55.0,3664.665,1970.716,4098.964
18:49:56.0,3811.245,2007.558,4024.988
18:49:57.0,3788.206,2144.703,4074.735
18:49:58.0,3854.623,2198.426,4240.6
18:49:59.0,3829.74,2099.486,3981.754
18:50:00.0,3880.342,2182.501,4067.874
