Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
10:01:02.0,0.0,0.0,
10:01:03.0,1.703,1.968,0.0
10:01:04.0,1.559,1.928,1.627
10:01:05.0,1.545,1.258,1.232
10:01:06.0,1.581,0.968,1.261
10:01:07.0,1.582,0.96,1.265
10:01:08.0,1.593,1.211,1.659
10:01:09.0,1.256,0.932,1.538
10:01:10.0,0.978,1.664,1.579
10:01:11.0,1.563,1.933,1.644
10:01:12.0,393.448,263.989,73.594
10:01:13.0,945.803,1083.005,1683.601
10:01:14.0,1371.558,1344.447,3405.746
10:01:15.0,1351.274,700.877,3116.623
10:01:16.0,1412.814,1266.478,3915.73
10:01:17.0,1283.07,1295.397,4279.571
10:01:18.0,1454.951,1547.697,4682.67
10:01:19.0,1474.538,1508.913,4482.112
10:01:20.0,1687.428,1734.456,4803.682
10:01:21.0,1556.281,1730.11,4307.146
10:01:22.0,1780.08,1976.177,4313.517
10:01:23.0,1693.655,2061.778,4316.854
10:01:24.0,1942.592,2067.315,4140.333
10:01:25.0,2067.112,2134.266,4608.269
10:01:26.0,2020.798,2372.287,4374.695
10:01:27.0,2010.478,2145.241,4298.29
10:01:28.0,1982.764,2159.346,4546.352
10:01:29.0,2037.638,2319.715,4512.626
10:01:30.0,2167.526,2074.877,4471.024
10:01:31.0,2035.213,2089.048,4578.528
10:01:32.0,2090.544,2371.599,4169.437
10:01:33.0,2256.237,2285.055,4671.493
10:01:34.0,2073.041,2430.633,4517.165
10:01:35.0,2231.377,2540.928,4439.022
10:01:36.0,2086.488,2603.713,5084.652
10:01:37.0,2202.867,2465.065,4902.564
10:01:38.0,2163.164,2567.857,4935.421
10:01:39.0,2185.498,2558.982,4756.446
10:01:40.0,2116.35,2496.263,5170.965
10:01:41.0,2165.424,2573.011,4929.885
10:01:42.0,2052.777,2546.13,4856.871
10:01:43.0,2052.444,2442.533,5017.309
10:01:44.0,2050.03,2566.155,4915.385
10:01:45.0,1995.626,2429.258,4873.498
10:01:46.0,1971.232,2183.327,4901.044
10:01:47.0,1918.456,2289.205,4867.354
10:01:48.0,2159.786,2410.223,4844.19
10:01:49.0,2132.296,2548.14,4943.655
10:01:50.0,2128.805,2390.099,5009.271
10:01:51.0,2148.134,2463.465,4945.943
10:01:52.0,2086.338,2273.698,4795.094
10:01:53.0,2000.555,2416.966,4899.018
10:01:54.0,2232.081,2541.117,4938.128
10:01:55.0,2115.561,2548.476,4936.2
10:01:56.0,2138.29,2619.17,4983.843
10:01:57.0,2068.418,2593.862,4958.826
10:01:58.0,2023.138,2335.702,5010.761
10:01:59.0,1971.185,2524.458,4806.102
10:02:00.0,2123.48,2436.348,4956.306
10:02:01.0,2044.983,2513.148,5063.057
10:02:02.0,2054.402,2547.757,5016.664
10:02:03.0,2106.595,2607.911,5002.158
10:02:04.0,2060.482,2602.714,4906.47
10:02:05.0,2225.422,2641.819,4989.55
10:02:06.0,2120.034,2397.865,4994.123
10:02:07.0,1941.315,2542.163,4959.379
10:02:08.0,1973.828,2671.654,4986.892
10:02:09.0,2109.495,2669.871,5074.726
10:02:10.0,2087.459,2555.706,4963.422
10:02:11.0,2073.156,2582.235,4973.606
10:02:12.0,2157.552,2533.76,4982.164
10:02:13.0,2122.985,2475.43,4812.589
10:02:14.0,2110.296,2394.333,4961.618
10:02:15.0,1927.06,2279.801,4944.189
10:02:16.0,2158.39,2382.397,4960.96
10:02:17.0,2038.095,2451.738,5001.041
10:02:18.0,2049.191,2385.276,4952.323
10:02:19.0,2143.508,2523.586,4895.565
10:02:20.0,2191.281,2510.944,4856.016
10:02:21.0,2077.624,2492.416,5185.23
10:02:22.0,2048.748,2572.911,4965.697
10:02:23.0,1994.461,2436.954,4974.518
10:02:24.0,1875.371,2255.207,4850.2
10:02:25.0,1960.83,2417.282,4944.105
10:02:26.0,2052.106,2550.585,4974.732
10:02:27.0,2048.533,2546.721,4989.493
10:02:28.0,2130.827,2505.866,5052.223
10:02:29.0,2069.048,2569.511,4991.793
10:02:30.0,2115.781,2617.294,4957.458
10:02:31.0,2153.57,2559.016,4940.994
10:02:32.0,2096.847,2464.457,4932.97
10:02:33.0,2078.372,2533.277,4955.368
10:02:34.0,2028.375,2392.234,4947.23
10:02:35.0,1839.471,2657.606,4980.616
10:02:36.0,2083.692,2593.015,5002.888
10:02:37.0,2077.823,2731.322,4976.504
10:02:38.0,2066.744,2630.315,5043.346
10:02:39.0,2115.943,2536.957,5134.099
10:02:40.0,1947.203,2526.453,4770.658
10:02:41.0,2053.456,2521.241,5074.03
10:02:42.0,2052.519,2408.506,5026.987
10:02:43.0,2147.669,2380.41,5055.56
10:02:44.0,1813.004,2366.465,4886.008
10:02:45.0,2176.904,2575.526,4898.517
10:02:46.0,2212.711,2502.474,4945.013
10:02:47.0,2124.258,2527.129,5009.992
10:02:48.0,2137.392,2581.236,4944.161
10:02:49.0,2057.865,2516.523,5093.46
10:02:50.0,2020.093,2577.027,4804.51
10:02:51.0,1948.027,2688.482,4988.569
10:02:52.0,1990.962,2614.014,4951.533
10:02:53.0,1953.56,2339.156,4870.458
10:02:54.0,1928.375,2495.46,5059.183
10:02:55.0,1983.796,2631.663,4762.458
10:02:56.0,2019.43,2504.378,5119.036
10:02:57.0,2042.07,2526.093,5005.101
10:02:58.0,2092.419,2501.454,5058.352
10:02:59.0,2132.968,2437.192,5014.125
10:03:00.0,2119.144,2537.086,4820.711
10:03:01.0,2121.92,2599.195,5175.967
10:03:02.0,2116.142,2493.243,4964.823
10:03:03.0,1845.748,2504.193,4921.06
10:03:04.0,2161.82,2582.071,4923.065
10:03:05.0,2073.7,2579.221,5109.091
10:03:06.0,2131.659,2538.053,4927.88
10:03:07.0,2063.988,2533.508,4823.482
10:03:08.0,2155.682,2465.703,4656.733
10:03:09.0,2068.068,2558.034,5294.632
10:03:10.0,2140.388,2498.423,5141.184
10:03:11.0,2042.799,2241.281,5034.691
10:03:12.0,2092.124,2509.892,5125.31
10:03:13.0,2180.333,2497.364,5062.783
10:03:14.0,2076.205,2514.546,5125.847
10:03:15.0,2015.258,2594.543,4902.637
10:03:16.0,2069.146,2656.256,5374.838
10:03:17.0,2053.231,2546.421,5176.547
10:03:18.0,2051.915,2560.529,5067.949
10:03:19.0,2055.022,2506.553,4916.657
10:03:20.0,1929.886,2418.213,5181.084
10:03:21.0,2101.108,2596.028,5046.693
10:03:22.0,2071.302,2501.337,5028.868
10:03:23.0,2060.25,2567.22,5139.067
10:03:24.0,2115.303,2597.277,5118.936
10:03:25.0,2003.88,2569.824,4972.714
10:03:26.0,2083.266,2632.848,5072.558
10:03:27.0,2135.32,2538.527,5197.83
10:03:28.0,2115.776,2372.477,5164.939
10:03:29.0,1933.485,2338.216,4976.24
10:03:30.0,2033.319,2501.258,5079.532
10:03:31.0,1935.454,2580.759,5123.498
10:03:32.0,2056.515,2618.984,5105.458
10:03:33.0,2056.645,2553.954,4762.762
10:03:34.0,2121.373,2584.307,5353.906
10:03:35.0,2141.632,2585.636,5150.668
10:03:36.0,2157.488,2445.394,5095.564
10:03:37.0,1987.2,2506.102,5158.791
10:03:38.0,1981.374,2213.303,5086.794
10:03:39.0,1989.927,2549.695,5112.756
10:03:40.0,2151.223,2469.022,5107.038
10:03:41.0,2047.699,2429.573,5099.707
10:03:42.0,1993.397,2115.114,4990.163
10:03:43.0,1785.138,2238.337,5307.911
10:03:44.0,1990.338,2166.837,4936.94
10:03:45.0,2001.144,2467.636,5201.297
10:03:46.0,2089.837,2521.708,5065.385
10:03:47.0,2122.332,2378.657,5173.739
10:03:48.0,2027.088,2368.416,5008.475
10:03:49.0,2112.682,2630.357,5126.222
10:03:50.0,2195.514,2598.512,5186.399
10:03:51.0,2102.751,2494.738,5047.481
10:03:52.0,2110.676,2610.357,5096.9
10:03:53.0,2084.294,2537.292,5120.801
10:03:54.0,2047.845,2549.927,4986.547
10:03:55.0,2086.058,2570.972,4997.342
10:03:56.0,2133.681,2632.514,5227.952
10:03:57.0,2025.427,2389.416,5099.438
10:03:58.0,1959.663,2475.492,5031.385
10:03:59.0,2180.182,2405.373,5055.921
10:04:00.0,2199.554,2531.153,5175.11
10:04:01.0,2200.501,2535.841,5227.033
10:04:02.0,2133.331,2533.354,4877.024
10:04:03.0,2255.377,2606.549,5179.723
10:04:04.0,2202.31,2646.412,5059.05
10:04:05.0,2082.811,2493.504,5121.308
10:04:06.0,1884.75,2296.989,5068.812
10:04:07.0,1842.381,2198.139,4948.993
