Elapsed time,192.168.46.11 Network I/O unit=kb:bytessent,192.168.46.12 Network I/O unit=kb:bytessent,192.168.46.13 Network I/O unit=kb:bytessent
13:59:31.0,0.0,,0.0
13:59:32.0,1.275,0.0,0.948
13:59:33.0,1.566,1.576,1.263
13:59:34.0,0.966,0.966,1.272
13:59:35.0,1.259,1.609,0.975
13:59:36.0,1.635,1.604,1.264
13:59:37.0,0.983,0.96,1.61
13:59:38.0,1.258,1.285,0.963
13:59:39.0,0.966,1.577,1.59
13:59:40.0,0.964,1.275,1.262
13:59:41.0,0.962,1.585,1.589
13:59:42.0,1.263,1.287,0.964
13:59:43.0,1.308,1.581,1.247
13:59:44.0,1.579,1.271,0.977
13:59:45.0,0.968,1.247,1.268
13:59:46.0,1.291,1.62,1.29
13:59:47.0,1.306,1.279,1.243
13:59:48.0,1.236,1.272,1.557
13:59:49.0,1.238,0.973,1.584
13:59:50.0,1.265,0.968,0.968
13:59:51.0,1.236,1.559,1.552
13:59:52.0,0.983,0.967,1.269
13:59:53.0,0.98,1.588,1.581
13:59:54.0,0.961,1.279,1.278
13:59:55.0,0.996,1.606,1.602
13:59:56.0,1.596,1.308,0.988
13:59:57.0,1.261,1.251,1.571
13:59:58.0,1.614,0.98,0.967
13:59:59.0,0.966,1.25,1.584
14:00:00.0,0.975,1.274,1.247
14:00:01.0,1.562,1.617,1.264
14:00:02.0,1.28,0.971,1.265
14:00:03.0,0.961,1.269,1.242
14:00:04.0,0.968,1.583,1.242
14:00:05.0,1.576,1.6,1.272
14:00:06.0,1.322,0.975,1.305
14:00:07.0,1.594,1.293,0.981
14:00:08.0,1.31,1.265,1.244
14:00:09.0,1.57,1.282,1.28
14:00:10.0,1.282,0.962,1.28
14:00:11.0,1.284,1.265,0.961
14:00:12.0,1.286,1.595,0.963
14:00:13.0,1.316,1.59,1.292
14:00:14.0,1.235,1.278,1.559
14:00:15.0,1.241,1.028,1.665
14:00:16.0,0.985,0.979,1.628
14:00:17.0,0.975,1.262,1.589
14:00:18.0,1.241,1.291,1.577
14:00:19.0,1.638,0.97,1.266
14:00:20.0,1.568,0.967,1.257
14:00:21.0,1.319,0.968,1.285
14:00:22.0,286.173,1.258,1.248
14:00:23.0,716.728,2.809,427.611
14:00:24.0,2573.798,662.269,2515.333
14:00:25.0,3286.279,1157.521,2738.575
14:00:26.0,3177.788,1190.988,2722.536
14:00:27.0,3745.187,1160.898,3005.274
14:00:28.0,3862.731,1139.535,2958.598
14:00:29.0,3740.375,1075.293,2898.493
14:00:30.0,3894.41,1166.588,2929.217
14:00:31.0,4024.623,1106.895,3138.173
14:00:32.0,4312.576,1251.018,3333.209
14:00:33.0,3782.912,1144.251,3258.888
14:00:34.0,4089.971,1121.143,3402.531
14:00:35.0,3817.608,1172.578,3481.309
14:00:36.0,4179.684,1246.75,3298.388
14:00:37.0,3807.942,1209.295,3129.738
14:00:38.0,4268.462,1225.473,3028.018
14:00:39.0,4547.555,1285.545,3485.031
14:00:40.0,4414.992,1328.841,3627.75
14:00:41.0,4173.723,1344.957,3547.602
14:00:42.0,4569.988,1359.347,3722.153
14:00:43.0,4780.91,1323.298,4213.644
14:00:44.0,4959.843,1391.142,5186.751
14:00:45.0,4331.641,1386.837,5239.515
14:00:46.0,4829.15,1444.542,5127.957
14:00:47.0,4778.407,1488.391,4863.121
14:00:48.0,4956.792,1505.059,5222.407
14:00:49.0,4774.273,1540.218,4811.681
14:00:50.0,4875.097,1556.88,5099.447
14:00:51.0,4981.727,1421.329,5066.554
14:00:52.0,4786.217,1496.82,5142.229
14:00:53.0,5380.131,1590.569,5097.446
14:00:54.0,5237.901,1590.988,4906.095
14:00:55.0,5016.835,1521.919,4966.425
14:00:56.0,5207.058,1669.191,4958.442
14:00:57.0,5086.525,1549.269,4812.388
14:00:58.0,4994.997,1475.539,4738.184
14:00:59.0,5489.518,1678.98,4876.448
14:01:00.0,5046.687,1696.621,5115.385
14:01:01.0,4805.971,1663.343,4720.765
14:01:02.0,4955.628,1702.228,4701.414
14:01:03.0,5239.361,1677.289,5104.182
14:01:04.0,4734.421,1680.045,4735.624
14:01:05.0,5294.086,1821.15,4857.833
14:01:06.0,5577.343,1683.852,4868.719
14:01:07.0,4706.68,1684.837,4726.946
14:01:08.0,5188.124,1688.841,4860.609
14:01:09.0,5219.69,1821.349,4800.622
14:01:10.0,5080.058,1609.194,4821.559
14:01:11.0,5596.828,1778.232,4556.251
14:01:12.0,4844.857,1886.906,4783.093
14:01:13.0,5501.256,1751.169,4731.524
14:01:14.0,5250.875,1699.936,4819.524
14:01:15.0,5473.076,1766.396,4666.649
14:01:16.0,5593.281,1851.574,4652.325
14:01:17.0,5323.275,1781.016,4474.74
14:01:18.0,5847.686,1605.611,4675.595
14:01:19.0,5368.257,1812.748,4506.091
14:01:20.0,5631.241,1806.666,4678.801
14:01:21.0,4995.005,1757.939,4764.728
14:01:22.0,5432.768,1751.573,4806.02
14:01:23.0,5370.562,1869.969,4709.677
14:01:24.0,5297.546,1834.612,4755.753
14:01:25.0,5646.78,1801.72,4581.201
14:01:26.0,5616.47,1623.942,4438.902
14:01:27.0,6027.097,1733.549,4584.62
14:01:28.0,5777.916,1741.081,4766.958
14:01:29.0,6991.671,1696.329,4585.106
14:01:30.0,6203.39,1794.637,4320.82
14:01:31.0,7001.0,1839.322,4393.439
14:01:32.0,6943.065,1655.609,4121.288
14:01:33.0,6468.38,1656.16,4165.817
14:01:34.0,6875.43,1658.073,4298.693
14:01:35.0,6639.813,1674.438,4162.744
14:01:36.0,6425.863,1643.336,4349.874
14:01:37.0,6965.845,1782.884,4458.155
14:01:38.0,6828.743,1734.337,4134.535
14:01:39.0,6619.133,1671.614,4361.792
14:01:40.0,6879.818,1712.705,4308.568
14:01:41.0,6733.557,1612.424,4286.189
14:01:42.0,6893.555,1798.913,4345.461
14:01:43.0,6930.709,1611.177,4124.382
14:01:44.0,6924.453,1711.375,4404.891
14:01:45.0,6759.625,1729.139,4152.631
14:01:46.0,7190.873,1512.208,3882.101
14:01:47.0,7207.28,1786.829,4097.68
14:01:48.0,6872.007,1760.152,4210.46
14:01:49.0,7481.147,1749.132,4171.27
14:01:50.0,7119.509,1789.116,4141.827
14:01:51.0,7255.614,1721.511,4061.716
14:01:52.0,7212.732,1681.791,4145.777
14:01:53.0,7190.638,1769.963,3954.827
14:01:54.0,7057.148,1621.91,3978.172
14:01:55.0,7200.369,1650.943,4108.37
14:01:56.0,7241.609,1655.598,3989.402
14:01:57.0,7073.84,1651.261,4215.419
14:01:58.0,7150.962,1650.004,4230.319
14:01:59.0,7165.069,1644.861,4112.608
14:02:00.0,7086.356,1695.061,4139.941
14:02:01.0,7165.24,1692.199,4221.15
14:02:02.0,7043.791,1743.755,4112.356
14:02:03.0,7104.421,1630.596,4202.029
14:02:04.0,7086.324,1565.478,3927.932
14:02:05.0,7233.823,1576.835,4108.715
14:02:06.0,7201.259,1767.304,4085.649
14:02:07.0,7151.551,1834.518,4256.708
14:02:08.0,7180.599,1755.666,4254.898
14:02:09.0,7152.626,1734.125,4083.322
14:02:10.0,7179.606,1823.988,4049.983
14:02:11.0,7119.602,1727.563,4255.76
14:02:12.0,7139.176,1750.708,4206.101
14:02:13.0,7148.732,1760.437,4011.066
