Elapsed time,192.168.46.11 Network I/O unit=kb:bytesrecv,192.168.46.12 Network I/O unit=kb:bytesrecv,192.168.46.13 Network I/O unit=kb:bytesrecv
10:13:20.0,0.0,0.0,0.0
10:13:21.0,2.552,2.882,2.497
10:13:22.0,2.878,2.068,2.48
10:13:23.0,2.905,2.471,2.068
10:13:24.0,2.449,2.068,2.913
10:13:25.0,2.572,2.567,2.506
10:13:26.0,2.894,2.08,2.492
10:13:27.0,5.624,2.916,2.491
10:13:28.0,7.916,3.0,3.904
10:13:29.0,1349.159,174.342,321.416
10:13:30.0,4030.97,3687.608,3516.552
10:13:31.0,4973.678,4587.339,5225.875
10:13:32.0,6156.622,3965.775,4215.753
10:13:33.0,6024.73,5398.083,5843.845
10:13:34.0,6215.251,5426.506,5769.898
10:13:35.0,5932.074,5772.463,6211.945
10:13:36.0,5863.887,5732.235,6085.625
10:13:37.0,5968.391,5693.371,6481.584
10:13:38.0,858.596,4832.831,2705.075
10:13:39.0,2.485,2.867,2.044
10:13:40.0,2.489,2.51,2.509
10:13:41.0,2.896,2.064,2.477
10:13:42.0,2.488,2.528,2.528
10:13:43.0,2.896,2.064,2.476
10:13:44.0,2.504,2.489,2.473
10:13:45.0,2.503,2.473,2.489
10:13:46.0,825.384,326.734,372.477
10:13:47.0,1354.234,1440.003,1327.585
10:13:48.0,1459.514,1504.292,1389.929
10:13:49.0,1757.198,1972.213,1823.668
10:13:50.0,1821.02,1870.311,1748.353
10:13:51.0,1592.04,1977.334,1674.47
10:13:52.0,1481.477,1789.101,1415.938
10:13:53.0,1324.762,1579.518,1363.813
10:13:54.0,1246.014,1508.678,1238.655
10:13:55.0,1184.858,1531.226,1177.565
10:13:56.0,1192.166,1495.804,1117.389
10:13:57.0,496.651,1042.593,943.595
10:13:58.0,56.388,112.763,102.779
10:13:59.0,3.136,4.487,5.751
10:14:00.0,2.901,1.817,2.484
10:14:01.0,2.068,2.485,2.889
10:14:02.0,2.485,2.485,2.473
10:14:03.0,2.481,2.914,2.044
10:14:04.0,2.485,2.878,2.068
10:14:05.0,2.901,2.02,2.481
10:14:06.0,2.086,2.484,2.905
10:14:07.0,4.212,3.231,4.208
10:14:08.0,2.166,3.648,4.088
10:14:09.0,2.496,2.977,2.044
10:14:10.0,2.068,2.45,2.932
10:14:11.0,2.91,2.529,2.076
10:14:12.0,2.068,2.45,2.908
10:14:13.0,5070.93,2557.89,2588.309
10:14:14.0,6467.419,6157.661,5119.613
10:14:15.0,6143.729,6660.258,4726.071
10:14:16.0,6162.638,6990.888,4613.959
10:14:17.0,5874.453,7148.51,4737.111
10:14:18.0,5811.375,7279.107,4613.274
10:14:19.0,5961.067,7090.681,4642.525
10:14:20.0,5805.588,7271.835,4537.319
10:14:21.0,1422.196,4270.936,4039.476
10:14:22.0,2.068,2.477,2.889
10:14:23.0,2.205,2.552,2.958
10:14:24.0,2.92,2.068,2.493
10:14:25.0,3.028,2.6,2.154
10:14:26.0,2.902,2.021,2.485
10:14:27.0,2.212,2.485,2.89
10:14:28.0,2.91,2.583,2.06
10:14:29.0,2.489,2.403,2.514
10:14:30.0,2.068,2.906,2.492
