Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
18:07:31.0,,0.0,0.0
18:07:32.0,0.0,,
18:07:33.0,0.0,0.078,0.0
18:07:34.0,0.0,0.0,1.882
18:07:35.0,0.0,0.0,0.019
18:07:36.0,0.113,0.0,0.0
18:07:37.0,0.0,0.0,0.0
18:07:38.0,0.0,1.906,0.0
18:07:39.0,0.0,0.078,0.0
18:07:40.0,0.019,0.0,0.0
18:07:41.0,0.0,1.98,0.0
18:07:42.0,0.0,0.0,0.066
18:07:43.0,0.0,0.085,9.57
18:07:44.0,0.058,0.0,0.0
18:07:45.0,25.699,0.0,0.015
18:07:46.0,8.144,0.0,0.0
18:07:47.0,0.0,30.64,22.738
18:07:48.0,0.011,0.003,0.0
18:07:49.0,0.0,0.0,0.0
18:07:50.0,0.039,0.0,0.0
18:07:51.0,11.437,0.0,0.0
18:07:52.0,21.339,32.558,32.738
18:07:53.0,0.0,0.042,0.0
18:07:54.0,0.0,0.0,0.019
18:07:55.0,0.011,0.0,0.07
18:07:56.0,0.0,0.0,0.0
18:07:57.0,32.121,31.609,32.281
18:07:58.0,0.011,0.082,0.0
18:07:59.0,0.0,0.0,0.05
18:08:00.0,0.093,0.0,0.0
18:08:01.0,0.0,0.0,0.0
18:08:02.0,31.992,32.808,31.664
18:08:03.0,0.0,0.16,0.0
18:08:04.0,0.0,0.0,0.128
18:08:05.0,0.128,0.0,0.085
18:08:06.0,0.0,0.0,0.0
18:08:07.0,32.101,0.0,32.195
18:08:08.0,0.011,31.574,0.0
18:08:09.0,0.0,0.0,2.777
18:08:10.0,0.019,0.0,0.0
18:08:11.0,0.0,0.0,0.0
18:08:12.0,31.96,0.0,0.066
18:08:13.0,0.101,34.945,31.941
18:08:14.0,19.0,0.0,0.0
18:08:15.0,0.0,15.968,15.964
18:08:16.0,0.0,0.0,2.98
18:08:17.0,0.0,3.0,0.0
18:08:18.0,32.417,32.515,32.394
18:08:19.0,20.878,0.113,16.699
18:08:20.0,2.757,1.199,4.089
18:08:21.0,0.0,19.515,0.0
18:08:22.0,0.0,0.0,0.0
