Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
18:48:58.0,0.0,,0.0
18:48:59.0,0.0,0.0,0.07
18:49:00.0,0.0,0.0,0.0
18:49:01.0,0.0,0.078,0.007
18:49:02.0,0.0,0.0,0.0
18:49:03.0,0.058,0.0,0.0
18:49:04.0,0.0,0.0,0.0
18:49:05.0,0.054,0.0,0.0
18:49:06.0,0.0,0.074,0.07
18:49:07.0,0.0,0.0,0.0
18:49:08.0,0.0,0.0,0.0
18:49:09.0,0.0,2.718,0.066
18:49:10.0,0.0,0.0,0.0
18:49:11.0,0.0,0.097,4.699
18:49:12.0,0.0,0.0,0.0
18:49:13.0,0.062,0.0,0.0
18:49:14.0,24.207,0.0,0.0
18:49:15.0,8.261,32.468,27.835
18:49:16.0,0.0,0.0,0.0
18:49:17.0,0.0,0.0,0.0
18:49:18.0,0.0,0.0,0.0
18:49:19.0,0.0,0.0,0.074
18:49:20.0,32.367,32.082,31.808
18:49:21.0,0.019,0.015,0.0
18:49:22.0,0.0,0.0,0.0
18:49:23.0,0.0,0.0,0.0
18:49:24.0,0.0,0.0,0.019
18:49:25.0,32.05,0.0,6.578
18:49:26.0,2.828,32.023,25.625
18:49:27.0,0.0,0.0,0.0
18:49:28.0,0.0,0.0,0.0
18:49:29.0,0.0,0.015,1.75
18:49:30.0,0.062,0.0,0.0
18:49:31.0,32.148,32.589,32.035
18:49:32.0,0.0,0.0,0.0
18:49:33.0,0.0,0.0,0.0
18:49:34.0,0.0,0.0,0.0
18:49:35.0,0.062,0.0,0.0
18:49:36.0,31.937,31.699,32.113
18:49:37.0,0.0,0.0,0.0
18:49:38.0,0.0,0.0,0.0
18:49:39.0,0.0,0.0,0.156
18:49:40.0,0.0,0.0,0.0
18:49:41.0,32.156,10.644,32.05
18:49:42.0,0.109,21.648,0.175
18:49:43.0,17.578,17.593,17.589
18:49:44.0,3.316,5.074,3.261
18:49:45.0,0.019,0.0,0.0
18:49:46.0,32.039,0.0,0.0
18:49:47.0,0.0,32.167,32.16
18:49:48.0,0.121,0.125,0.113
18:49:49.0,21.421,21.375,21.417
18:49:50.0,0.0,0.0,0.0
18:49:51.0,0.007,0.019,0.0
18:49:52.0,32.121,32.152,32.07
18:49:53.0,0.0,0.0,0.0
18:49:54.0,0.0,0.0,0.007
18:49:55.0,20.152,0.105,0.109
18:49:56.0,4.414,24.417,24.417
18:49:57.0,32.039,32.253,32.242
18:49:58.0,0.0,0.0,0.0
18:49:59.0,0.0,0.007,0.015
18:50:00.0,0.0,0.0,0.0
18:50:01.0,1.703,0.019,0.0
18:50:02.0,32.171,0.0,32.125
18:50:03.0,20.589,32.167,20.457
18:50:04.0,4.394,24.875,7.371
18:50:05.0,0.019,0.0,0.0
18:50:06.0,0.0,0.0,0.0
18:50:07.0,0.0,0.0,0.0
18:50:08.0,32.011,32.082,32.019
18:50:09.0,0.0,0.0,0.015
18:50:10.0,0.0,0.0,0.0
18:50:11.0,24.14,0.136,0.101
18:50:12.0,5.121,29.207,29.195
18:50:13.0,32.078,32.296,32.031
18:50:14.0,0.0,0.058,0.156
18:50:15.0,0.062,0.0,0.0
18:50:16.0,0.152,0.0,0.0
18:50:17.0,0.0,0.0,0.0
18:50:18.0,32.25,31.996,32.304
18:50:19.0,0.0,3.0,0.05
18:50:20.0,25.656,0.144,25.574
18:50:21.0,3.406,28.933,3.48
18:50:22.0,0.0,0.0,0.0
18:50:23.0,32.074,0.0,0.5
18:50:24.0,0.0,32.085,31.75
18:50:25.0,0.015,0.0,0.0
18:50:26.0,0.042,0.0,0.0
18:50:27.0,0.0,0.0,0.0
18:50:28.0,0.0,0.0,0.0
18:50:29.0,32.339,32.187,32.003
18:50:30.0,0.101,0.125,0.117
18:50:31.0,33.085,33.191,33.07
18:50:32.0,0.0,0.0,0.0
18:50:33.0,0.0,0.0,0.0
18:50:34.0,31.921,32.167,32.156
18:50:35.0,0.015,0.0,0.0
18:50:36.0,2.937,0.0,0.0
18:50:37.0,0.0,0.0,0.0
18:50:38.0,0.0,0.0,0.0
18:50:39.0,32.101,0.093,33.937
18:50:40.0,0.105,32.16,0.101
18:50:41.0,29.636,29.644,29.621
18:50:42.0,0.0,0.0,0.0
18:50:43.0,0.0,0.0,0.0
18:50:44.0,0.5,0.054,0.054
18:50:45.0,32.101,32.242,32.246
18:50:46.0,0.054,0.0,0.0
18:50:47.0,0.0,0.0,0.0
18:50:48.0,0.0,0.0,0.0
18:50:49.0,0.0,0.0,0.167
