Elapsed time,192.168.46.11 Disks I/O unit=mb:writebytes:fs=/,192.168.46.12 Disks I/O unit=mb:writebytes:fs=/,192.168.46.13 Disks I/O unit=mb:writebytes:fs=/
13:59:31.0,0.0,,0.0
13:59:32.0,0.0,0.0,0.0
13:59:33.0,0.0,0.0,0.027
13:59:34.0,0.0,0.011,0.011
13:59:35.0,0.011,0.0,0.0
13:59:36.0,0.023,0.0,0.0
13:59:37.0,0.0,0.0,0.0
13:59:38.0,0.0,0.0,0.011
13:59:39.0,0.0,0.0,0.0
13:59:40.0,0.0,0.0,0.0
13:59:41.0,0.019,0.0,0.0
13:59:42.0,0.0,0.0,0.0
13:59:43.0,0.0,0.0,0.0
13:59:44.0,0.0,0.0,0.011
13:59:45.0,0.011,0.0,0.0
13:59:46.0,0.011,0.0,0.0
13:59:47.0,0.0,0.0,0.0
13:59:48.0,0.0,0.015,0.0
13:59:49.0,0.0,0.0,0.0
13:59:50.0,0.0,0.0,0.0
13:59:51.0,0.019,0.0,0.0
13:59:52.0,0.0,0.0,0.0
13:59:53.0,0.0,0.0,0.0
13:59:54.0,0.0,0.011,0.0
13:59:55.0,0.011,0.0,0.0
13:59:56.0,0.011,0.0,0.0
13:59:57.0,0.0,0.0,0.0
13:59:58.0,0.0,0.0,0.0
13:59:59.0,0.0,0.0,0.0
14:00:00.0,0.0,0.0,0.0
14:00:01.0,0.019,0.011,0.0
14:00:02.0,0.0,0.0,0.0
14:00:03.0,0.0,0.0,0.0
14:00:04.0,0.0,0.0,0.0
14:00:05.0,0.011,0.0,0.0
14:00:06.0,0.011,0.0,0.0
14:00:07.0,0.0,0.0,0.0
14:00:08.0,0.0,0.007,0.007
14:00:09.0,0.0,0.0,0.0
14:00:10.0,0.0,0.0,0.0
14:00:11.0,0.019,0.0,0.0
14:00:12.0,0.0,0.0,0.0
14:00:13.0,0.0,0.0,0.0
14:00:14.0,0.0,0.0,0.011
14:00:15.0,0.011,0.0,0.0
14:00:16.0,0.011,0.0,0.0
14:00:17.0,0.0,0.0,0.0
14:00:18.0,0.0,0.007,0.003
14:00:19.0,0.0,0.0,0.0
14:00:20.0,0.0,0.0,0.0
14:00:21.0,0.019,0.0,0.0
14:00:22.0,0.0,0.0,0.0
14:00:23.0,0.0,0.0,0.0
14:00:24.0,0.0,0.027,0.015
14:00:25.0,0.023,0.0,0.0
14:00:26.0,10.261,8.769,0.0
14:00:27.0,0.0,0.0,0.0
14:00:28.0,10.335,0.015,0.0
14:00:29.0,0.0,0.0,0.015
14:00:30.0,12.019,0.0,32.214
14:00:31.0,0.0,23.542,0.0
14:00:32.0,0.0,0.0,0.0
14:00:33.0,0.0,0.0,0.0
14:00:34.0,0.0,0.015,0.015
14:00:35.0,2.531,0.0,0.0
14:00:36.0,30.429,32.636,32.125
14:00:37.0,0.0,0.0,0.0
14:00:38.0,0.0,0.0,0.007
14:00:39.0,0.0,0.0,0.0
14:00:40.0,0.0,0.0,0.0
14:00:41.0,32.074,0.015,32.015
14:00:42.0,0.0,32.113,0.0
14:00:43.0,0.0,0.0,0.0
14:00:44.0,0.0,0.015,0.015
14:00:45.0,0.015,0.0,0.0
14:00:46.0,31.55,31.445,32.0
14:00:47.0,0.0,0.0,0.0
14:00:48.0,0.0,0.007,0.0
14:00:49.0,0.0,0.0,0.0
14:00:50.0,0.0,0.0,0.0
14:00:51.0,32.433,0.019,32.261
14:00:52.0,0.0,32.058,0.0
14:00:53.0,0.0,0.0,0.089
14:00:54.0,0.0,0.015,0.027
14:00:55.0,0.035,0.0,0.0
14:00:56.0,31.726,0.0,32.023
14:00:57.0,0.117,32.203,0.117
14:00:58.0,0.0,14.507,14.507
14:00:59.0,0.0,3.238,3.25
14:01:00.0,0.0,0.0,0.0
14:01:01.0,0.16,0.0,0.0
14:01:02.0,32.398,32.046,32.097
14:01:03.0,0.0,0.156,18.589
14:01:04.0,14.312,22.042,3.582
14:01:05.0,0.14,0.0,0.0
14:01:06.0,0.0,0.0,0.0
14:01:07.0,31.917,32.132,32.113
14:01:08.0,3.242,0.019,0.007
14:01:09.0,0.113,0.0,0.113
14:01:10.0,0.0,23.734,23.683
14:01:11.0,0.0,0.0,0.0
14:01:12.0,33.113,0.0,31.933
14:01:13.0,0.054,32.136,0.0
14:01:14.0,0.0,0.015,0.015
14:01:15.0,0.023,0.0,0.0
14:01:16.0,18.484,0.0,0.0
14:01:17.0,30.121,0.117,57.761
14:01:18.0,0.0,57.621,0.097
14:01:19.0,0.0,0.0,0.0
14:01:20.0,0.0,0.0,0.0
14:01:21.0,3.554,0.0,0.0
14:01:22.0,0.0,0.0,0.0
14:01:23.0,33.121,32.144,32.367
14:01:24.0,0.0,0.015,0.015
14:01:25.0,0.019,0.0,0.113
14:01:26.0,0.261,31.222,31.144
14:01:27.0,0.0,0.0,0.0
14:01:28.0,31.734,32.265,31.96
14:01:29.0,19.48,0.0,0.0
14:01:30.0,0.0,0.0,0.0
14:01:31.0,0.097,0.0,0.0
14:01:32.0,4.332,0.0,0.0
14:01:33.0,32.035,0.05,32.097
14:01:34.0,0.0,32.437,0.144
14:01:35.0,0.019,0.101,26.597
14:01:36.0,21.328,30.105,3.527
14:01:37.0,0.0,0.0,0.0
14:01:38.0,32.632,0.101,32.468
14:01:39.0,4.671,31.812,0.0
14:01:40.0,0.0,0.0,0.0
14:01:41.0,0.015,0.0,0.0
14:01:42.0,25.929,0.0,0.0
14:01:43.0,36.523,0.039,0.074
14:01:44.0,0.0,32.152,32.042
14:01:45.0,26.66,0.0,0.117
14:01:46.0,3.683,26.121,26.207
14:01:47.0,26.214,0.164,0.0
14:01:48.0,0.0,0.046,0.039
14:01:49.0,32.019,32.144,32.148
14:01:50.0,0.0,0.0,0.0
14:01:51.0,0.046,0.0,0.0
14:01:52.0,0.0,0.0,0.0
14:01:53.0,0.128,0.0,0.101
14:01:54.0,59.835,0.125,59.886
14:01:55.0,5.074,65.121,5.035
14:01:56.0,0.007,0.0,0.0
14:01:57.0,0.0,0.0,0.0
14:01:58.0,0.0,0.058,0.058
14:01:59.0,32.011,0.0,32.07
14:02:00.0,0.0,32.164,0.0
14:02:01.0,0.019,0.0,0.0
14:02:02.0,0.0,0.0,0.0
14:02:03.0,0.117,0.191,0.089
14:02:04.0,49.941,0.132,24.976
14:02:05.0,12.214,61.769,37.328
14:02:06.0,0.148,0.0,0.0
14:02:07.0,0.0,0.0,0.0
14:02:08.0,0.0,0.046,0.242
14:02:09.0,0.0,0.0,0.0
14:02:10.0,32.066,11.605,32.074
14:02:11.0,0.25,20.503,0.0
14:02:12.0,0.0,0.0,0.0
14:02:13.0,0.113,0.054,0.117
14:02:14.0,26.609,22.066,26.71
14:02:15.0,32.054,4.703,32.285
14:02:16.0,0.093,32.402,0.0
14:02:17.0,0.0,0.0,0.0
14:02:18.0,0.0,0.05,0.042
14:02:19.0,0.0,0.0,0.0
14:02:20.0,32.042,0.0,13.359
14:02:21.0,0.042,31.683,18.226
14:02:22.0,22.656,0.042,22.652
14:02:23.0,4.578,27.167,4.57
14:02:24.0,0.0,0.046,0.046
14:02:25.0,0.042,0.003,0.0
14:02:26.0,32.214,32.16,32.339
14:02:27.0,0.0,0.0,0.0
14:02:28.0,0.0,0.058,0.0
14:02:29.0,0.0,0.0,0.058
14:02:30.0,20.453,0.0,0.128
14:02:31.0,34.773,23.164,55.152
14:02:32.0,0.0,32.105,0.0
14:02:33.0,0.0,0.0,0.0
14:02:34.0,0.0,0.0,0.015
14:02:35.0,0.042,0.015,0.0
14:02:36.0,32.101,0.0,32.097
14:02:37.0,0.0,32.062,0.0
14:02:38.0,0.105,0.257,0.113
14:02:39.0,28.605,23.578,28.757
14:02:40.0,0.0,5.117,0.0
14:02:41.0,32.203,0.0,0.0
14:02:42.0,0.0,32.136,32.066
14:02:43.0,0.0,0.0,0.0
14:02:44.0,0.0,0.0,0.23
14:02:45.0,0.015,0.015,0.0
14:02:46.0,0.226,0.0,0.0
14:02:47.0,32.257,32.062,32.117
14:02:48.0,30.656,0.238,30.792
14:02:49.0,5.519,36.214,5.589
14:02:50.0,0.0,0.0,0.0
14:02:51.0,0.0,0.0,0.0
14:02:52.0,32.281,0.0,32.125
14:02:53.0,0.0,32.14,0.0
14:02:54.0,0.0,0.0,0.082
14:02:55.0,0.015,0.027,0.0
14:02:56.0,0.058,0.0,0.0
14:02:57.0,31.835,0.0,31.968
14:02:58.0,0.113,32.046,0.0
14:02:59.0,25.75,0.117,25.855
14:03:00.0,5.449,31.234,5.457
14:03:01.0,0.011,0.0,0.0
14:03:02.0,31.605,0.0,0.0
14:03:03.0,0.523,32.136,32.304
14:03:04.0,0.0,0.0,0.062
14:03:05.0,0.015,0.031,0.0
14:03:06.0,0.019,0.0,0.0
14:03:07.0,0.0,0.0,0.0
14:03:08.0,31.921,28.503,32.074
14:03:09.0,25.703,3.515,21.183
14:03:10.0,0.0,25.542,4.531
14:03:11.0,0.042,0.0,0.0
14:03:12.0,0.0,0.0,0.0
14:03:13.0,32.191,0.191,31.828
14:03:14.0,0.0,32.195,0.175
14:03:15.0,0.015,0.015,0.0
14:03:16.0,0.117,0.0,0.0
14:03:17.0,21.628,0.0,21.292
14:03:18.0,36.437,26.015,36.746
14:03:19.0,0.0,32.07,0.242
14:03:20.0,0.0,0.0,0.0
14:03:21.0,0.257,0.0,0.0
14:03:22.0,0.0,0.0,0.0
14:03:23.0,7.039,0.128,0.039
14:03:24.0,25.07,32.121,32.132
14:03:25.0,20.921,0.011,20.667
14:03:26.0,4.644,20.847,4.878
14:03:27.0,0.0,4.613,0.0
14:03:28.0,0.0,0.0,0.0
14:03:29.0,32.07,0.0,32.097
14:03:30.0,0.0,32.042,0.0
14:03:31.0,0.046,0.0,0.0
14:03:32.0,0.0,16.863,0.0
14:03:33.0,0.14,0.046,17.039
14:03:34.0,58.027,26.167,58.203
14:03:35.0,4.75,36.82,4.73
14:03:36.0,17.046,0.0,0.0
14:03:37.0,0.0,0.0,0.0
14:03:38.0,0.0,0.0,0.0
14:03:39.0,31.964,0.0,0.007
14:03:40.0,0.0,32.015,31.761
14:03:41.0,0.039,0.0,0.0
14:03:42.0,0.144,0.0,0.125
14:03:43.0,26.402,79.335,26.242
14:03:44.0,82.578,26.273,82.71
14:03:45.0,32.234,35.511,32.531
14:03:46.0,0.0,0.0,0.0
14:03:47.0,0.0,18.082,0.0
14:03:48.0,0.0,0.308,18.082
14:03:49.0,18.05,0.0,0.05
14:03:50.0,32.019,0.0,32.027
14:03:51.0,0.187,32.093,0.0
14:03:52.0,0.0,72.5,0.0
14:03:53.0,22.515,29.425,101.984
14:03:54.0,110.453,30.949,31.191
14:03:55.0,32.121,0.019,31.89
14:03:56.0,0.273,32.48,0.0
14:03:57.0,0.0,0.0,0.0
14:03:58.0,0.0,19.726,0.0
14:03:59.0,11.5,0.0,19.644
14:04:00.0,40.332,0.0,0.0
14:04:01.0,0.0,31.937,32.183
14:04:02.0,0.125,0.0,0.0
14:04:03.0,20.695,0.171,0.121
14:04:04.0,4.449,25.187,25.226
14:04:05.0,0.05,0.054,0.0
14:04:06.0,32.031,32.039,31.957
14:04:07.0,0.0,0.0,0.0
14:04:08.0,0.0,0.0,0.0
14:04:09.0,0.0,0.0,94.57
14:04:10.0,0.0,94.558,0.0
14:04:11.0,131.476,0.0,32.199
14:04:12.0,20.382,53.531,24.8
14:04:13.0,0.0,20.949,17.562
14:04:14.0,0.0,0.132,0.05
14:04:15.0,0.023,0.019,0.0
14:04:16.0,49.449,0.0,32.218
14:04:17.0,0.0,32.222,0.0
14:04:18.0,0.0,0.101,83.324
14:04:19.0,109.46,83.796,26.796
14:04:20.0,5.031,30.867,4.738
14:04:21.0,31.652,0.0,0.0
14:04:22.0,0.5,31.847,31.945
14:04:23.0,0.0,0.39,0.0
14:04:24.0,0.0,0.0,0.371
14:04:25.0,0.015,0.039,0.0
14:04:26.0,0.253,0.0,0.0
14:04:27.0,32.039,11.187,32.156
14:04:28.0,0.113,21.066,0.117
14:04:29.0,33.593,27.941,33.667
14:04:30.0,0.0,5.804,0.0
14:04:31.0,0.332,0.0,0.0
14:04:32.0,32.093,0.0,32.289
14:04:33.0,0.0,51.218,18.957
14:04:34.0,18.968,0.0,0.046
14:04:35.0,0.019,0.05,0.0
14:04:36.0,0.0,0.0,0.0
14:04:37.0,32.101,0.0,16.855
14:04:38.0,0.117,31.988,15.277
14:04:39.0,25.949,0.128,25.937
14:04:40.0,0.0,25.867,0.0
14:04:41.0,96.734,0.0,96.746
14:04:42.0,0.0,96.796,0.0
14:04:43.0,32.609,32.781,32.824
14:04:44.0,0.0,0.0,0.187
14:04:45.0,0.023,0.046,0.0
14:04:46.0,0.273,0.0,0.0
14:04:47.0,26.664,0.101,23.488
14:04:48.0,31.535,26.675,34.468
14:04:49.0,0.0,31.523,0.05
14:04:50.0,0.0,0.0,0.0
14:04:51.0,0.109,0.0,0.0
14:04:52.0,11.988,11.921,11.972
14:04:53.0,32.187,0.0,32.078
14:04:54.0,0.0,32.195,0.23
14:04:55.0,0.019,0.023,0.0
