Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
14:59:34.0,0.0
14:59:35.0,0.244
14:59:36.0,0.25
14:59:37.0,0.251
14:59:38.0,0.239
14:59:39.0,0.314
14:59:40.0,0.247
14:59:41.0,4.397
14:59:42.0,5032.55
14:59:43.0,11986.861
14:59:44.0,11998.496
14:59:45.0,11987.526
14:59:46.0,12000.371
14:59:47.0,11984.311
14:59:48.0,12002.707
14:59:49.0,11991.537
14:59:50.0,12005.157
14:59:51.0,11991.493
14:59:52.0,12005.224
14:59:53.0,11993.391
14:59:54.0,12007.517
14:59:55.0,11997.599
14:59:56.0,12012.052
14:59:57.0,11992.32
14:59:58.0,12005.726
14:59:59.0,11996.864
15:00:00.0,12006.185
15:00:01.0,11993.648
15:00:02.0,12002.82
15:00:03.0,11989.982
15:00:04.0,12003.74
15:00:05.0,12006.409
15:00:06.0,11992.955
15:00:07.0,12004.635
15:00:08.0,11994.497
15:00:09.0,12005.116
15:00:10.0,12000.314
15:00:11.0,12004.842
15:00:12.0,11995.84
15:00:13.0,12004.246
15:00:14.0,12012.549
15:00:15.0,12008.021
15:00:16.0,11994.673
15:00:17.0,12006.763
15:00:18.0,12007.584
15:00:19.0,11996.182
15:00:20.0,12005.736
15:00:21.0,11993.999
15:00:22.0,12007.382
15:00:23.0,12013.737
15:00:24.0,12016.451
15:00:25.0,12003.695
15:00:26.0,12018.037
15:00:27.0,12011.956
15:00:28.0,12011.703
15:00:29.0,12011.222
15:00:30.0,12002.565
15:00:31.0,12008.318
15:00:32.0,12008.254
15:00:33.0,12010.53
15:00:34.0,12012.623
15:00:35.0,12009.046
15:00:36.0,12000.196
15:00:37.0,12007.862
15:00:38.0,11998.398
15:00:39.0,12013.782
15:00:40.0,11995.181
15:00:41.0,12014.333
15:00:42.0,11998.517
15:00:43.0,12010.907
15:00:44.0,12009.505
15:00:45.0,11999.046
15:00:46.0,12007.28
15:00:47.0,12011.864
15:00:48.0,11998.612
15:00:49.0,12013.65
15:00:50.0,12056.912
15:00:51.0,12001.144
15:00:52.0,12010.402
15:00:53.0,12011.36
15:00:54.0,12012.387
15:00:55.0,12014.082
15:00:56.0,12008.069
15:00:57.0,12013.325
15:00:58.0,11998.628
15:00:59.0,12011.981
15:01:00.0,12005.399
15:01:01.0,12014.264
15:01:02.0,12000.654
15:01:03.0,12010.287
15:01:04.0,12009.459
15:01:05.0,12010.854
15:01:06.0,12010.458
15:01:07.0,11997.466
15:01:08.0,12013.757
15:01:09.0,12002.83
15:01:10.0,12007.862
15:01:11.0,11998.092
15:01:12.0,12011.774
15:01:13.0,12001.876
15:01:14.0,12010.563
15:01:15.0,12000.441
15:01:16.0,12009.778
15:01:17.0,12008.801
15:01:18.0,11997.64
15:01:19.0,12008.545
15:01:20.0,12001.285
15:01:21.0,12008.638
15:01:22.0,12001.19
15:01:23.0,12015.631
15:01:24.0,11996.963
15:01:25.0,12008.367
15:01:26.0,12000.339
15:01:27.0,12014.28
15:01:28.0,11997.167
15:01:29.0,12014.992
15:01:30.0,12001.19
15:01:31.0,12009.138
15:01:32.0,12002.649
15:01:33.0,12013.83
15:01:34.0,11999.536
15:01:35.0,12009.165
15:01:36.0,12010.907
15:01:37.0,12012.22
15:01:38.0,12009.121
15:01:39.0,12009.342
15:01:40.0,11998.381
15:01:41.0,12011.595
15:01:42.0,11997.484
15:01:43.0,12012.757
15:01:44.0,11999.885
15:01:45.0,12011.262
15:01:46.0,11999.317
15:01:48.0,12009.989
15:01:49.0,12010.557
15:01:50.0,12012.162
15:01:51.0,12014.554
15:01:52.0,12011.587
15:01:53.0,12000.55
15:01:54.0,12010.417
15:01:55.0,11999.178
15:01:56.0,12013.485
15:01:57.0,11999.067
15:01:58.0,12013.705
15:01:59.0,12012.003
15:02:00.0,12003.365
15:02:01.0,12012.32
15:02:02.0,11999.859
15:02:03.0,12012.263
15:02:04.0,11999.546
15:02:05.0,12008.609
15:02:06.0,12002.764
15:02:07.0,12012.599
15:02:08.0,12001.764
15:02:09.0,12010.679
15:02:10.0,12013.87
15:02:11.0,12014.7
15:02:12.0,12012.489
15:02:13.0,12011.334
15:02:14.0,12011.341
15:02:15.0,12000.524
15:02:16.0,12013.598
15:02:17.0,12001.24
15:02:18.0,12013.99
15:02:19.0,12001.446
15:02:20.0,12011.587
15:02:21.0,11998.294
15:02:22.0,12010.676
15:02:23.0,12018.909
15:02:24.0,12002.379
15:02:25.0,12010.28
15:02:26.0,11995.534
15:02:27.0,12010.237
15:02:28.0,12009.306
15:02:29.0,12010.37
15:02:30.0,11998.173
15:02:31.0,12007.862
15:02:32.0,12007.467
15:02:33.0,12010.805
15:02:34.0,12009.187
15:02:35.0,12010.072
15:02:36.0,12009.826
15:02:37.0,11997.214
15:02:38.0,12013.041
15:02:39.0,12011.339
15:02:40.0,12010.197
15:02:41.0,11999.227
15:02:42.0,12012.125
15:02:43.0,2023.985
15:02:44.0,0.252
15:02:45.0,0.253
15:02:46.0,0.235
15:02:47.0,0.239
15:02:48.0,0.253
