Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
11:14:30.0,0.0
11:14:31.0,0.244
11:14:32.0,0.333
11:14:33.0,0.253
11:14:34.0,0.25
11:14:35.0,0.313
11:14:36.0,0.25
11:14:37.0,0.339
11:14:38.0,4.396
11:14:39.0,0.251
11:14:40.0,0.252
11:14:41.0,0.241
11:14:42.0,0.241
11:14:43.0,0.253
11:14:44.0,0.375
11:14:45.0,0.251
11:14:46.0,0.25
11:14:47.0,0.233
11:14:48.0,0.253
11:14:49.0,0.248
11:14:50.0,0.249
11:14:51.0,0.253
11:14:52.0,83.262
11:14:53.0,1350.939
11:14:54.0,4242.647
11:14:55.0,5769.47
11:14:56.0,6920.128
11:14:57.0,8184.676
11:14:58.0,9110.215
11:14:59.0,8980.864
11:15:00.0,8919.602
11:15:01.0,8999.238
11:15:02.0,9371.617
11:15:03.0,9514.089
11:15:04.0,9119.846
11:15:05.0,9147.143
11:15:06.0,9105.273
11:15:07.0,8808.168
11:15:08.0,8309.45
11:15:09.0,8766.278
11:15:10.0,8687.493
11:15:11.0,8532.215
11:15:12.0,8792.416
11:15:13.0,8439.681
11:15:14.0,9163.499
11:15:15.0,8444.158
11:15:16.0,8430.683
11:15:17.0,8620.528
11:15:18.0,8181.003
11:15:19.0,8416.996
11:15:20.0,8571.118
11:15:21.0,8381.525
11:15:22.0,8223.156
11:15:23.0,8013.781
11:15:24.0,8524.518
11:15:25.0,8236.301
11:15:26.0,8746.562
11:15:27.0,8234.568
11:15:28.0,8031.541
11:15:29.0,8344.535
11:15:30.0,7696.472
11:15:31.0,7771.214
11:15:32.0,7891.608
11:15:33.0,6575.258
11:15:34.0,4826.198
11:15:35.0,3658.226
11:15:36.0,3354.413
11:15:37.0,2678.384
11:15:38.0,3704.302
11:15:39.0,2648.654
11:15:40.0,4706.742
11:15:41.0,6058.032
11:15:42.0,6227.162
11:15:43.0,6775.553
11:15:44.0,5756.899
11:15:45.0,6898.539
11:15:46.0,6196.099
11:15:47.0,5997.16
11:15:48.0,6982.488
11:15:49.0,6585.166
11:15:50.0,8084.59
11:15:51.0,8808.615
11:15:52.0,8815.407
11:15:53.0,8446.934
11:15:54.0,8236.833
11:15:55.0,8344.61
11:15:56.0,8343.997
11:15:57.0,9130.808
11:15:58.0,8223.708
11:15:59.0,8393.302
11:16:00.0,8275.507
11:16:01.0,7888.427
11:16:02.0,8334.217
11:16:03.0,8388.444
