Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
16:35:36.0,0.0
16:35:37.0,0.229
16:35:38.0,0.252
16:35:39.0,0.25
16:35:40.0,0.25
16:35:41.0,0.24
16:35:42.0,0.234
16:35:43.0,0.247
16:35:44.0,0.25
16:35:45.0,0.25
16:35:46.0,0.248
16:35:47.0,0.25
16:35:48.0,0.244
16:35:49.0,0.249
16:35:50.0,0.25
16:35:51.0,0.244
16:35:52.0,0.25
16:35:53.0,0.251
16:35:54.0,4.395
16:35:55.0,0.25
16:35:56.0,0.239
16:35:57.0,0.251
16:35:58.0,0.251
16:35:59.0,0.375
16:36:00.0,0.252
16:36:01.0,0.239
16:36:02.0,0.252
16:36:03.0,0.252
16:36:04.0,0.239
16:36:05.0,0.251
16:36:06.0,0.251
16:36:07.0,0.238
16:36:08.0,0.25
16:36:09.0,0.239
16:36:10.0,0.314
16:36:11.0,0.252
16:36:12.0,355.666
16:36:13.0,937.082
16:36:14.0,295.42
16:36:15.0,591.453
16:36:16.0,593.04
16:36:17.0,478.646
16:36:18.0,490.422
16:36:19.0,542.476
16:36:20.0,493.977
16:36:21.0,528.207
16:36:22.0,542.83
16:36:23.0,632.586
16:36:24.0,590.465
16:36:25.0,532.948
16:36:26.0,591.807
16:36:27.0,523.969
16:36:28.0,594.184
16:36:29.0,492.885
16:36:30.0,490.209
16:36:31.0,535.547
16:36:32.0,620.573
16:36:33.0,404.366
16:36:34.0,518.026
16:36:35.0,513.136
16:36:36.0,538.652
16:36:37.0,430.945
16:36:38.0,605.849
16:36:39.0,486.611
16:36:40.0,535.419
16:36:41.0,529.327
16:36:42.0,562.979
16:36:43.0,428.811
16:36:44.0,590.332
16:36:45.0,444.901
16:36:46.0,614.986
16:36:47.0,591.635
16:36:48.0,498.186
16:36:49.0,540.603
16:36:50.0,443.212
16:36:51.0,648.501
16:36:52.0,468.058
16:36:53.0,491.392
16:36:54.0,497.6
16:36:55.0,552.313
16:36:56.0,562.886
16:36:57.0,512.764
16:36:58.0,607.039
16:36:59.0,609.217
16:37:00.0,591.155
16:37:01.0,489.432
16:37:02.0,528.048
16:37:03.0,583.164
16:37:04.0,487.455
16:37:05.0,616.198
16:37:06.0,334.221
16:37:07.0,723.476
16:37:08.0,521.795
16:37:09.0,481.082
16:37:10.0,627.831
16:37:11.0,512.508
16:37:12.0,432.355
16:37:13.0,422.205
16:37:14.0,514.527
16:37:15.0,623.564
16:37:16.0,592.315
16:37:17.0,442.009
16:37:18.0,596.043
16:37:19.0,562.972
16:37:20.0,519.737
16:37:21.0,426.047
16:37:22.0,662.953
16:37:23.0,584.598
16:37:24.0,370.869
16:37:25.0,756.128
16:37:26.0,677.068
16:37:27.0,450.808
16:37:28.0,497.317
16:37:29.0,576.687
16:37:30.0,478.623
16:37:31.0,486.281
16:37:32.0,613.172
16:37:33.0,514.968
16:37:34.0,341.124
16:37:35.0,507.796
16:37:36.0,566.172
16:37:37.0,494.07
16:37:38.0,511.401
16:37:39.0,378.805
16:37:40.0,488.421
16:37:41.0,392.404
16:37:42.0,446.447
16:37:43.0,440.203
16:37:44.0,458.997
16:37:45.0,477.144
16:37:46.0,463.407
16:37:47.0,584.126
16:37:48.0,559.819
16:37:49.0,542.303
16:37:50.0,395.421
16:37:51.0,479.221
16:37:52.0,645.879
16:37:53.0,569.102
16:37:54.0,496.807
16:37:55.0,601.665
16:37:56.0,580.486
16:37:57.0,448.865
16:37:58.0,389.735
16:37:59.0,642.845
16:38:00.0,489.582
16:38:01.0,528.322
16:38:02.0,624.71
16:38:03.0,440.517
16:38:04.0,557.085
16:38:05.0,615.817
16:38:06.0,506.816
16:38:07.0,439.803
16:38:08.0,540.597
16:38:09.0,471.336
16:38:10.0,538.968
16:38:11.0,611.19
16:38:12.0,540.204
16:38:13.0,449.687
16:38:14.0,442.322
16:38:15.0,570.312
16:38:16.0,499.598
16:38:17.0,402.776
16:38:18.0,478.791
16:38:19.0,499.98
16:38:20.0,531.618
16:38:21.0,578.622
16:38:22.0,436.316
16:38:23.0,654.549
16:38:24.0,521.003
16:38:25.0,546.125
16:38:26.0,581.949
16:38:27.0,599.078
16:38:28.0,531.273
16:38:29.0,459.871
16:38:30.0,477.573
16:38:31.0,389.665
16:38:32.0,494.334
16:38:33.0,477.986
16:38:34.0,453.33
16:38:35.0,592.892
16:38:36.0,421.232
16:38:37.0,555.744
16:38:38.0,539.507
16:38:39.0,480.498
16:38:40.0,557.495
16:38:41.0,481.269
16:38:42.0,391.716
16:38:43.0,645.131
16:38:44.0,540.081
16:38:45.0,452.108
16:38:46.0,622.51
16:38:47.0,432.588
16:38:48.0,644.297
16:38:49.0,595.338
16:38:50.0,541.543
16:38:51.0,536.996
16:38:52.0,697.334
16:38:53.0,540.201
16:38:54.0,384.693
16:38:55.0,21.167
16:38:56.0,0.252
16:38:57.0,0.248
16:38:58.0,0.314
16:38:59.0,0.252
16:39:00.0,0.253
16:39:01.0,0.251
16:39:02.0,0.252
16:39:03.0,0.238
