Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
10:17:59.0,0.0
10:18:00.0,0.243
10:18:01.0,0.237
10:18:02.0,0.247
10:18:03.0,0.251
10:18:04.0,0.247
10:18:05.0,0.25
10:18:06.0,0.231
10:18:07.0,4.395
10:18:08.0,0.252
10:18:09.0,0.249
10:18:10.0,0.251
10:18:11.0,0.238
10:18:12.0,0.363
10:18:13.0,0.25
10:18:14.0,0.229
10:18:15.0,0.253
10:18:16.0,0.251
10:18:17.0,0.248
10:18:18.0,0.24
10:18:19.0,0.239
10:18:20.0,0.252
10:18:21.0,0.249
10:18:22.0,52.57
10:18:23.0,1296.012
10:18:24.0,3797.786
10:18:25.0,6473.207
10:18:26.0,7186.06
10:18:27.0,7897.646
10:18:28.0,7023.646
10:18:29.0,7421.919
10:18:30.0,7067.8
10:18:31.0,7061.583
10:18:32.0,7402.915
10:18:33.0,7276.49
10:18:34.0,7331.064
10:18:35.0,7103.251
10:18:36.0,6932.933
10:18:37.0,7176.334
10:18:38.0,7242.05
10:18:39.0,7343.696
10:18:40.0,6913.611
10:18:41.0,7135.091
10:18:42.0,7085.433
10:18:43.0,7561.513
10:18:44.0,7137.987
10:18:45.0,6666.455
10:18:46.0,7186.904
10:18:47.0,7405.398
10:18:48.0,5844.687
10:18:49.0,5415.088
10:18:50.0,4784.87
10:18:51.0,6597.037
10:18:52.0,6100.516
10:18:53.0,5738.34
10:18:54.0,4612.442
10:18:55.0,5507.561
10:18:56.0,5850.497
10:18:57.0,4946.69
10:18:58.0,6615.721
10:18:59.0,5405.952
10:19:00.0,6669.783
10:19:01.0,5187.341
10:19:02.0,5870.917
10:19:03.0,6440.679
10:19:04.0,4928.874
10:19:05.0,6053.386
10:19:06.0,5291.209
10:19:07.0,5122.581
10:19:08.0,6059.182
10:19:09.0,5720.966
10:19:10.0,4587.806
10:19:11.0,5729.59
10:19:12.0,5214.388
10:19:13.0,4763.126
10:19:14.0,5719.781
10:19:15.0,6484.563
10:19:16.0,2385.365
10:19:17.0,5744.527
10:19:18.0,6925.581
10:19:19.0,5563.72
10:19:20.0,3685.229
10:19:21.0,6453.699
10:19:22.0,2249.336
10:19:23.0,6961.002
10:19:24.0,5988.222
10:19:25.0,2704.065
10:19:26.0,5978.936
10:19:27.0,6287.631
10:19:28.0,1342.012
10:19:29.0,3999.707
10:19:30.0,3955.838
10:19:31.0,2615.858
10:19:32.0,0.256
10:19:33.0,0.252
10:19:34.0,1876.498
10:19:35.0,5823.48
10:19:36.0,4943.351
10:19:37.0,3309.802
10:19:38.0,5318.96
10:19:39.0,3428.914
10:19:40.0,4257.459
10:19:41.0,5707.814
10:19:42.0,5137.56
10:19:43.0,6270.219
10:19:44.0,3184.583
10:19:45.0,5197.111
10:19:46.0,6101.052
10:19:47.0,6290.167
10:19:48.0,3421.793
10:19:49.0,6572.825
10:19:50.0,4576.707
10:19:51.0,5808.875
10:19:52.0,6773.342
10:19:53.0,5435.89
10:19:54.0,6437.64
10:19:55.0,2191.729
10:19:56.0,6067.885
10:19:57.0,5679.472
10:19:58.0,2980.054
10:19:59.0,5470.31
10:20:00.0,5306.942
10:20:01.0,1567.883
10:20:02.0,6093.252
10:20:03.0,5060.824
10:20:04.0,2618.782
10:20:05.0,5378.002
10:20:06.0,6150.212
10:20:07.0,3259.058
10:20:08.0,3602.462
10:20:09.0,5422.482
10:20:10.0,4828.13
10:20:11.0,5650.981
10:20:12.0,3202.073
10:20:13.0,4627.026
10:20:14.0,4832.134
10:20:15.0,4681.551
10:20:16.0,4008.583
10:20:17.0,4470.324
10:20:18.0,3199.163
10:20:19.0,1350.641
10:20:20.0,2609.564
10:20:21.0,3871.639
10:20:22.0,4103.825
10:20:23.0,2800.739
10:20:24.0,2962.015
10:20:25.0,3837.421
10:20:26.0,4044.756
10:20:27.0,5705.072
10:20:28.0,4386.384
10:20:29.0,5765.324
10:20:30.0,6713.109
10:20:31.0,6246.224
10:20:32.0,5551.436
10:20:33.0,6273.693
10:20:34.0,5480.634
10:20:35.0,5289.283
10:20:36.0,4779.335
10:20:37.0,5490.642
10:20:38.0,5364.119
10:20:39.0,4266.713
10:20:40.0,5943.139
10:20:41.0,4504.12
10:20:42.0,4460.074
10:20:43.0,5150.578
10:20:44.0,4923.437
10:20:45.0,5144.849
10:20:46.0,5833.083
10:20:47.0,4123.262
10:20:48.0,2779.635
10:20:49.0,5264.963
10:20:50.0,4739.871
10:20:51.0,3968.912
10:20:52.0,4334.907
10:20:53.0,5211.463
10:20:54.0,4944.759
10:20:55.0,4252.508
10:20:56.0,5091.747
10:20:57.0,6181.079
10:20:58.0,4927.43
10:20:59.0,4753.43
10:21:00.0,2953.91
10:21:01.0,5596.722
10:21:02.0,4757.632
10:21:03.0,3923.178
10:21:04.0,4779.386
10:21:05.0,4231.138
10:21:06.0,2119.307
10:21:07.0,0.333
10:21:08.0,0.595
10:21:09.0,0.249
10:21:10.0,0.253
10:21:11.0,0.784
10:21:12.0,0.785
10:21:13.0,0.25
10:21:14.0,0.306
10:21:15.0,0.252
10:21:16.0,0.239
10:21:17.0,0.238
10:21:18.0,0.236
10:21:19.0,0.253
10:21:20.0,0.252
10:21:21.0,0.239
10:21:22.0,0.238
10:21:23.0,0.237
10:21:24.0,0.25
10:21:25.0,0.251
10:21:26.0,0.251
10:21:27.0,0.252
10:21:28.0,0.252
