Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:11:40.0,0.0
15:11:41.0,0.244
15:11:42.0,0.233
15:11:43.0,0.25
15:11:44.0,1.267
15:11:45.0,3150.784
15:11:46.0,11498.761
15:11:47.0,11996.174
15:11:48.0,12009.958
15:11:49.0,11993.71
15:11:50.0,12007.643
15:11:51.0,11995.242
15:11:52.0,12011.416
15:11:53.0,12010.995
15:11:54.0,12000.644
15:11:55.0,12012.024
15:11:56.0,11999.433
15:11:57.0,12016.306
15:11:58.0,11999.78
15:11:59.0,12012.183
15:12:00.0,11998.725
15:12:01.0,12013.533
15:12:02.0,12000.826
15:12:03.0,12013.532
15:12:04.0,12011.616
15:12:05.0,11999.777
15:12:06.0,12011.2
15:12:07.0,12005.096
15:12:08.0,12010.906
15:12:09.0,11999.705
15:12:10.0,12012.071
15:12:11.0,12013.866
15:12:12.0,12002.985
15:12:13.0,12013.533
15:12:14.0,12001.853
15:12:15.0,12012.351
15:12:16.0,12003.558
15:12:17.0,12013.14
15:12:18.0,12001.969
15:12:19.0,12014.315
15:12:20.0,12000.714
15:12:21.0,12016.974
15:12:22.0,11999.228
15:12:23.0,12012.78
15:12:24.0,12011.477
15:12:25.0,12004.522
15:12:26.0,12014.357
15:12:27.0,12013.054
15:12:28.0,12012.847
15:12:29.0,12003.133
15:12:30.0,12011.682
15:12:31.0,12003.764
15:12:32.0,12012.278
15:12:33.0,12014.652
15:12:34.0,12013.147
15:12:35.0,12013.43
15:12:36.0,12014.968
15:12:37.0,12005.205
15:12:38.0,12011.952
15:12:39.0,12002.238
15:12:40.0,12012.594
15:12:41.0,12000.186
15:12:42.0,12012.166
15:12:43.0,12011.977
15:12:44.0,12001.512
15:12:45.0,12014.593
15:12:46.0,12000.348
15:12:47.0,12014.747
15:12:48.0,12000.393
15:12:49.0,12005.592
15:12:50.0,12012.637
15:12:51.0,12012.23
15:12:52.0,12010.742
15:12:53.0,12012.256
15:12:54.0,12000.713
15:12:55.0,12011.935
15:12:56.0,12011.315
15:12:57.0,12012.23
15:12:58.0,12012.729
15:12:59.0,12012.526
15:13:00.0,12011.978
15:13:01.0,12001.763
15:13:02.0,12011.429
15:13:03.0,12000.571
15:13:04.0,12013.375
15:13:05.0,12002.921
15:13:06.0,12013.303
15:13:07.0,12014.673
15:13:08.0,12014.968
15:13:09.0,12000.183
15:13:10.0,12014.833
15:13:11.0,12002.591
15:13:12.0,12011.152
15:13:13.0,12015.042
15:13:14.0,11999.819
15:13:15.0,12014.068
15:13:16.0,12002.014
15:13:17.0,12013.092
15:13:18.0,12000.208
15:13:19.0,12012.341
15:13:20.0,12000.531
15:13:21.0,12015.9
15:13:22.0,11999.75
15:13:23.0,12012.406
15:13:24.0,12000.135
15:13:25.0,12011.432
15:13:26.0,12001.623
15:13:27.0,12010.653
15:13:28.0,12013.67
15:13:29.0,12011.594
15:13:30.0,12015.489
15:13:31.0,12002.971
15:13:32.0,12013.237
15:13:33.0,12003.458
15:13:34.0,12014.215
15:13:35.0,12013.343
15:13:36.0,12015.677
15:13:37.0,12001.354
15:13:38.0,12014.881
15:13:39.0,12013.524
15:13:40.0,12011.634
15:13:41.0,12013.237
15:13:42.0,12000.465
15:13:43.0,12014.472
15:13:44.0,12013.966
15:13:45.0,12005.358
15:13:46.0,12013.217
15:13:47.0,12014.925
15:13:48.0,12015.979
15:13:49.0,12013.993
15:13:50.0,12013.713
15:13:51.0,12001.378
15:13:52.0,12011.292
15:13:53.0,11999.318
15:13:54.0,12013.388
15:13:55.0,12001.258
15:13:56.0,12013.12
15:13:57.0,12001.077
15:13:58.0,12012.959
15:13:59.0,12000.819
15:14:00.0,12013.003
15:14:01.0,12000.754
15:14:02.0,12012.251
15:14:03.0,12000.48
15:14:04.0,12013.71
15:14:05.0,12001.444
15:14:06.0,12013.145
15:14:07.0,12001.905
15:14:08.0,12015.658
15:14:09.0,12001.032
15:14:10.0,12013.148
15:14:11.0,12014.563
15:14:12.0,12000.649
15:14:13.0,12018.397
15:14:14.0,12000.055
15:14:15.0,12011.918
15:14:16.0,12000.166
15:14:17.0,12014.926
15:14:18.0,12010.04
15:14:19.0,12011.957
15:14:20.0,12013.71
15:14:21.0,12000.369
15:14:22.0,12014.03
15:14:23.0,12001.877
15:14:24.0,12013.895
15:14:25.0,12001.627
15:14:26.0,12009.854
15:14:27.0,12002.604
15:14:28.0,12012.251
15:14:29.0,12002.724
15:14:30.0,12011.656
15:14:31.0,12003.441
15:14:32.0,12010.746
15:14:33.0,12015.35
15:14:34.0,12011.935
15:14:35.0,12003.021
15:14:36.0,12012.822
15:14:37.0,12002.98
15:14:38.0,12014.899
15:14:39.0,11998.18
15:14:40.0,12012.731
15:14:41.0,12012.571
15:14:42.0,12011.678
15:14:43.0,12011.841
15:14:44.0,11999.546
15:14:45.0,5460.102
15:14:46.0,0.318
15:14:47.0,0.236
15:14:48.0,0.251
15:14:49.0,0.237
15:14:50.0,0.238
15:14:51.0,0.251
15:14:52.0,0.25
15:14:53.0,0.252
