Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:24:14.0,0.0
15:24:15.0,0.229
15:24:16.0,0.238
15:24:17.0,0.25
15:24:18.0,2.965
15:24:19.0,1.751
15:24:20.0,0.251
15:24:21.0,0.25
15:24:22.0,0.25
15:24:23.0,0.25
15:24:24.0,0.495
15:24:25.0,0.251
15:24:26.0,0.251
15:24:27.0,0.252
15:24:28.0,0.246
15:24:29.0,0.249
15:24:30.0,0.252
15:24:31.0,0.252
15:24:32.0,0.251
15:24:33.0,0.251
15:24:34.0,187.396
15:24:35.0,2217.831
15:24:36.0,4216.582
15:24:37.0,6134.137
15:24:38.0,7214.99
15:24:39.0,8306.862
15:24:40.0,9237.942
15:24:41.0,8325.296
15:24:42.0,8955.189
15:24:43.0,8800.51
15:24:44.0,8708.548
15:24:45.0,9295.795
15:24:46.0,9206.712
15:24:47.0,8839.097
15:24:48.0,8905.576
15:24:49.0,8368.181
15:24:50.0,8587.874
15:24:51.0,8397.833
15:24:52.0,8597.221
15:24:53.0,8558.924
15:24:54.0,8485.464
15:24:55.0,8235.178
15:24:56.0,8177.842
15:24:57.0,8535.028
15:24:58.0,8608.356
15:24:59.0,8418.246
15:25:00.0,8376.888
15:25:01.0,8466.024
15:25:02.0,8420.323
15:25:03.0,8307.16
15:25:04.0,8127.601
15:25:05.0,8577.364
15:25:06.0,8388.402
15:25:07.0,8500.161
15:25:08.0,8227.659
15:25:09.0,6664.525
15:25:10.0,6194.455
15:25:11.0,6375.534
15:25:12.0,6054.034
15:25:13.0,5526.322
15:25:14.0,6491.74
15:25:15.0,6471.379
15:25:16.0,6317.72
15:25:17.0,6795.961
15:25:18.0,7132.615
15:25:19.0,8230.426
15:25:20.0,8480.167
15:25:21.0,8612.018
15:25:22.0,8573.047
15:25:23.0,8731.554
15:25:24.0,7244.967
15:25:25.0,4242.475
15:25:26.0,4298.094
15:25:27.0,2472.875
15:25:28.0,2551.614
15:25:29.0,4254.944
15:25:30.0,6720.987
15:25:31.0,6739.442
15:25:32.0,7679.635
15:25:33.0,7226.597
15:25:34.0,8024.706
15:25:35.0,8063.025
15:25:36.0,7864.969
15:25:37.0,7848.068
15:25:38.0,7939.792
15:25:39.0,8078.641
15:25:40.0,7568.701
15:25:41.0,8029.869
15:25:42.0,7777.426
15:25:43.0,7959.839
15:25:44.0,7555.189
15:25:45.0,8037.133
15:25:46.0,7408.341
15:25:47.0,8146.031
15:25:48.0,7643.626
15:25:49.0,7775.287
15:25:50.0,7915.437
15:25:51.0,7305.625
15:25:52.0,7626.196
15:25:53.0,7712.713
15:25:54.0,8036.392
15:25:55.0,8316.821
15:25:56.0,7671.363
15:25:57.0,7544.361
15:25:58.0,7972.692
15:25:59.0,7812.822
15:26:00.0,7308.776
15:26:01.0,6442.49
15:26:02.0,6694.515
15:26:03.0,6431.751
15:26:04.0,5745.75
15:26:05.0,5608.76
15:26:06.0,5372.892
15:26:07.0,5712.96
15:26:08.0,6189.85
15:26:09.0,7033.563
15:26:10.0,6889.424
15:26:11.0,7081.594
15:26:12.0,8161.491
15:26:13.0,8429.943
15:26:14.0,8125.836
15:26:15.0,8022.058
15:26:16.0,8336.583
15:26:17.0,8377.931
15:26:18.0,7823.692
15:26:19.0,8234.928
15:26:20.0,7587.602
15:26:21.0,8193.437
15:26:22.0,7815.531
15:26:23.0,7521.47
15:26:24.0,7904.422
15:26:25.0,7828.635
15:26:26.0,7531.103
15:26:27.0,8155.209
15:26:28.0,8040.648
15:26:29.0,7710.699
15:26:30.0,7680.958
15:26:31.0,7456.156
15:26:32.0,6973.212
15:26:33.0,5852.407
15:26:34.0,6280.534
15:26:35.0,5236.275
15:26:36.0,5479.239
15:26:37.0,5234.077
15:26:38.0,5137.991
15:26:39.0,4635.837
15:26:40.0,5592.263
15:26:41.0,5840.262
15:26:42.0,6184.326
15:26:43.0,4928.42
15:26:44.0,5873.745
15:26:45.0,6156.322
15:26:46.0,6880.874
15:26:47.0,7999.075
15:26:48.0,6486.368
15:26:49.0,6333.181
15:26:50.0,8528.336
15:26:51.0,8586.348
15:26:52.0,7874.005
15:26:53.0,8470.434
15:26:54.0,7972.348
15:26:55.0,7216.575
15:26:56.0,6635.483
15:26:57.0,7559.914
15:26:58.0,7935.117
15:26:59.0,7874.066
15:27:00.0,8139.155
15:27:01.0,7569.84
15:27:02.0,7631.927
15:27:03.0,7349.139
15:27:04.0,5945.416
15:27:05.0,5781.098
15:27:06.0,5784.441
15:27:07.0,5712.965
15:27:08.0,5113.789
15:27:09.0,5084.415
15:27:10.0,5767.559
15:27:11.0,5739.341
15:27:12.0,5884.687
15:27:13.0,6311.51
15:27:14.0,5919.719
15:27:15.0,6343.702
15:27:16.0,6082.571
15:27:17.0,8210.25
15:27:18.0,6829.657
15:27:19.0,794.05
15:27:20.0,0.253
15:27:21.0,0.237
15:27:22.0,0.253
15:27:23.0,0.238
15:27:24.0,0.235
15:27:25.0,0.238
15:27:26.0,0.25
15:27:27.0,0.253
15:27:28.0,0.331
15:27:29.0,0.239
15:27:30.0,0.252
15:27:31.0,0.235
