Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:15:43.0,0.0
15:15:44.0,0.239
15:15:45.0,0.251
15:15:46.0,0.989
15:15:47.0,0.252
15:15:48.0,0.252
15:15:49.0,0.253
15:15:50.0,0.251
15:15:51.0,0.314
15:15:52.0,0.237
15:15:53.0,0.252
15:15:54.0,0.24
15:15:55.0,0.251
15:15:56.0,7.596
15:15:57.0,808.119
15:15:58.0,294.012
15:15:59.0,394.992
15:16:00.0,428.885
15:16:01.0,441.635
15:16:02.0,404.778
15:16:03.0,470.464
15:16:04.0,436.199
15:16:05.0,499.055
15:16:06.0,324.917
15:16:07.0,665.192
15:16:08.0,391.726
15:16:09.0,373.426
15:16:10.0,492.758
15:16:11.0,567.72
15:16:12.0,508.324
15:16:13.0,436.006
15:16:14.0,608.015
15:16:15.0,435.448
15:16:16.0,581.525
15:16:17.0,554.183
15:16:18.0,333.669
15:16:19.0,493.352
15:16:20.0,543.804
15:16:21.0,528.258
15:16:22.0,401.447
15:16:23.0,600.583
15:16:24.0,434.877
15:16:25.0,430.366
15:16:26.0,533.658
15:16:27.0,510.352
15:16:28.0,393.746
15:16:29.0,572.558
15:16:30.0,405.661
15:16:31.0,642.075
15:16:32.0,541.038
15:16:33.0,511.397
15:16:34.0,432.061
15:16:35.0,481.239
15:16:36.0,555.422
15:16:37.0,486.543
15:16:38.0,531.881
15:16:39.0,490.694
15:16:40.0,594.82
15:16:41.0,603.307
15:16:42.0,588.458
15:16:43.0,544.711
15:16:44.0,490.041
15:16:45.0,438.981
15:16:46.0,490.456
15:16:47.0,554.788
15:16:48.0,383.102
15:16:49.0,548.206
15:16:50.0,429.005
15:16:51.0,443.688
15:16:52.0,534.047
15:16:53.0,546.689
15:16:54.0,556.765
15:16:55.0,627.295
15:16:56.0,525.607
15:16:57.0,482.171
15:16:58.0,725.936
15:16:59.0,645.742
15:17:00.0,571.839
15:17:01.0,566.289
15:17:02.0,631.614
15:17:03.0,456.953
15:17:04.0,676.773
15:17:05.0,602.576
15:17:06.0,438.493
15:17:07.0,640.346
15:17:08.0,638.945
15:17:09.0,533.413
15:17:10.0,653.672
15:17:11.0,570.208
15:17:12.0,546.547
15:17:13.0,597.347
15:17:14.0,493.886
15:17:15.0,550.801
15:17:16.0,532.406
15:17:17.0,592.095
15:17:18.0,734.439
15:17:19.0,614.78
15:17:20.0,585.227
15:17:21.0,591.209
15:17:22.0,538.836
15:17:23.0,688.244
15:17:24.0,497.07
15:17:25.0,494.325
15:17:26.0,589.595
15:17:27.0,492.236
15:17:28.0,446.325
15:17:29.0,590.447
15:17:30.0,496.907
15:17:31.0,447.779
15:17:32.0,601.871
15:17:33.0,680.97
15:17:34.0,555.75
15:17:35.0,541.793
15:17:36.0,487.662
15:17:37.0,689.604
15:17:38.0,596.857
15:17:39.0,582.596
15:17:40.0,600.473
15:17:41.0,785.304
15:17:42.0,638.814
15:17:43.0,593.551
15:17:44.0,735.12
15:17:45.0,704.041
15:17:46.0,573.833
15:17:47.0,647.396
15:17:48.0,591.26
15:17:49.0,846.572
15:17:50.0,478.471
15:17:51.0,702.884
15:17:52.0,731.913
15:17:53.0,587.45
15:17:54.0,550.344
15:17:55.0,537.242
15:17:56.0,644.515
15:17:57.0,632.678
15:17:58.0,580.668
15:17:59.0,558.513
15:18:00.0,476.376
15:18:01.0,653.487
15:18:02.0,490.248
15:18:03.0,631.36
15:18:04.0,611.379
15:18:05.0,531.517
15:18:06.0,534.865
15:18:07.0,650.243
15:18:08.0,686.306
15:18:09.0,591.756
15:18:10.0,552.375
15:18:11.0,587.966
15:18:12.0,572.74
15:18:13.0,572.659
15:18:14.0,516.597
15:18:15.0,590.797
15:18:16.0,649.647
15:18:17.0,334.854
15:18:18.0,608.129
15:18:19.0,429.263
15:18:20.0,599.09
15:18:21.0,591.453
15:18:22.0,595.004
15:18:23.0,634.353
15:18:24.0,594.987
15:18:25.0,539.721
15:18:26.0,648.19
15:18:27.0,629.157
15:18:28.0,489.158
15:18:29.0,650.941
15:18:30.0,485.183
15:18:31.0,491.305
15:18:32.0,546.253
15:18:33.0,482.875
15:18:34.0,546.064
15:18:35.0,650.694
15:18:36.0,681.195
15:18:37.0,434.435
15:18:38.0,499.601
15:18:39.0,632.662
15:18:40.0,564.674
15:18:41.0,540.147
15:18:42.0,33.677
15:18:43.0,0.237
15:18:44.0,0.253
15:18:45.0,0.237
15:18:46.0,0.253
15:18:47.0,0.252
15:18:48.0,0.238
15:18:49.0,0.237
15:18:50.0,0.239
15:18:51.0,0.239
15:18:52.0,0.239
15:18:53.0,0.252
15:18:54.0,0.252
15:18:55.0,0.253
