Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:19:43.0,0.0
15:19:44.0,0.243
15:19:45.0,0.251
15:19:46.0,0.249
15:19:47.0,4.397
15:19:48.0,0.312
15:19:49.0,0.246
15:19:50.0,0.25
15:19:51.0,0.239
15:19:52.0,0.363
15:19:53.0,0.25
15:19:54.0,0.252
15:19:55.0,0.252
15:19:56.0,0.251
15:19:57.0,0.25
15:19:58.0,0.232
15:19:59.0,0.252
15:20:00.0,0.251
15:20:01.0,0.239
15:20:02.0,36.49
15:20:03.0,1593.675
15:20:04.0,5097.67
15:20:05.0,5600.521
15:20:06.0,7851.846
15:20:07.0,7719.249
15:20:08.0,6988.211
15:20:09.0,7722.004
15:20:10.0,7432.733
15:20:11.0,7496.606
15:20:12.0,7054.32
15:20:13.0,7119.902
15:20:14.0,7178.349
15:20:15.0,6937.181
15:20:16.0,7366.328
15:20:17.0,6787.793
15:20:18.0,7277.26
15:20:19.0,6378.709
15:20:20.0,6959.356
15:20:21.0,6861.226
15:20:22.0,7090.429
15:20:23.0,6562.791
15:20:24.0,6911.148
15:20:25.0,6805.689
15:20:26.0,6438.23
15:20:27.0,6355.541
15:20:28.0,6389.758
15:20:29.0,6289.837
15:20:30.0,4859.274
15:20:31.0,5670.257
15:20:32.0,6474.033
15:20:33.0,5132.462
15:20:34.0,5978.732
15:20:35.0,5441.997
15:20:36.0,3281.89
15:20:37.0,5422.42
15:20:38.0,4120.609
15:20:39.0,5311.942
15:20:40.0,5129.679
15:20:41.0,1702.797
15:20:42.0,3751.556
15:20:43.0,4199.578
15:20:44.0,3818.618
15:20:45.0,2809.234
15:20:46.0,4556.685
15:20:47.0,5118.597
15:20:48.0,5197.698
15:20:49.0,5676.849
15:20:50.0,4457.784
15:20:51.0,4120.925
15:20:52.0,3996.752
15:20:53.0,3711.459
15:20:54.0,6030.532
15:20:55.0,5497.193
15:20:56.0,4713.681
15:20:57.0,5067.728
15:20:58.0,4314.425
15:20:59.0,4622.226
15:21:00.0,5599.928
15:21:01.0,4650.893
15:21:02.0,4257.05
15:21:03.0,4330.748
15:21:04.0,4621.414
15:21:05.0,5045.831
15:21:06.0,5101.625
15:21:07.0,4857.73
15:21:08.0,3998.431
15:21:09.0,4768.315
15:21:10.0,5331.456
15:21:11.0,2598.327
15:21:12.0,5328.893
15:21:13.0,5888.135
15:21:14.0,5088.209
15:21:15.0,5180.788
15:21:16.0,1792.737
15:21:17.0,5227.482
15:21:18.0,5289.541
15:21:19.0,4695.316
15:21:20.0,3189.388
15:21:21.0,4246.699
15:21:22.0,4136.88
15:21:23.0,3261.746
15:21:24.0,3397.482
15:21:25.0,3344.986
15:21:26.0,3674.113
15:21:27.0,3106.298
15:21:28.0,4258.36
15:21:29.0,5095.426
15:21:30.0,2524.573
15:21:31.0,5325.07
15:21:32.0,5057.33
15:21:33.0,3246.813
15:21:34.0,4080.222
15:21:35.0,5279.766
15:21:36.0,4424.579
15:21:37.0,4585.844
15:21:38.0,5019.69
15:21:39.0,5219.664
15:21:40.0,5022.5
15:21:41.0,4611.253
15:21:42.0,3868.989
15:21:43.0,5800.984
15:21:44.0,5869.519
15:21:45.0,3722.109
15:21:46.0,4804.597
15:21:47.0,3561.771
15:21:48.0,5024.39
15:21:49.0,5879.56
15:21:50.0,4263.406
15:21:51.0,5136.583
15:21:52.0,5104.862
15:21:53.0,4115.713
15:21:54.0,5033.601
15:21:55.0,5412.183
15:21:56.0,3168.927
15:21:57.0,6250.5
15:21:58.0,4517.427
15:21:59.0,5139.418
15:22:00.0,5472.006
15:22:01.0,2676.191
15:22:02.0,5213.977
15:22:03.0,5341.822
15:22:04.0,4780.672
15:22:05.0,4468.203
15:22:06.0,4428.819
15:22:07.0,1770.727
15:22:08.0,3443.902
15:22:09.0,3899.996
15:22:10.0,3063.959
15:22:11.0,3537.629
15:22:12.0,4225.848
15:22:13.0,4521.066
15:22:14.0,1970.982
15:22:15.0,4157.732
15:22:16.0,4697.105
15:22:17.0,4728.95
15:22:18.0,4816.228
15:22:19.0,4600.015
15:22:20.0,4561.515
15:22:21.0,5798.596
15:22:22.0,3928.88
15:22:23.0,4777.288
15:22:24.0,4105.011
15:22:25.0,5633.75
15:22:26.0,5547.752
15:22:27.0,2342.808
15:22:28.0,5447.337
15:22:29.0,5696.213
15:22:30.0,4735.546
15:22:31.0,5063.644
15:22:32.0,4774.075
15:22:33.0,4365.969
15:22:34.0,4292.121
15:22:35.0,5302.676
15:22:36.0,4087.748
15:22:37.0,2562.244
15:22:38.0,5783.399
15:22:39.0,4298.684
15:22:40.0,3915.904
15:22:41.0,5997.372
15:22:42.0,4499.125
15:22:43.0,3339.392
15:22:44.0,5634.019
15:22:45.0,4903.041
15:22:46.0,2769.835
15:22:47.0,3006.02
15:22:48.0,0.241
15:22:49.0,0.239
15:22:50.0,0.253
15:22:51.0,0.306
15:22:52.0,1.742
15:22:53.0,0.248
15:22:54.0,0.25
15:22:55.0,0.231
15:22:56.0,0.251
15:22:57.0,0.253
15:22:58.0,0.251
15:22:59.0,0.238
15:23:00.0,0.237
