Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
09:52:10.0,
09:52:11.0,0
09:52:12.0,0.244
09:52:13.0,0.25
09:52:14.0,75.2
09:52:15.0,5802.017
09:52:16.0,12419.093
09:52:17.0,12377.144
09:52:18.0,12357.223
09:52:19.0,12389.151
09:52:20.0,12365.94
09:52:21.0,12375.956
09:52:22.0,12380.274
09:52:23.0,12366.338
09:52:24.0,12396.994
09:52:25.0,12384.718
09:52:26.0,12368.173
09:52:27.0,12369.472
09:52:28.0,12364.552
09:52:29.0,12368.66
09:52:30.0,12376.058
09:52:31.0,12372.856
09:52:32.0,12378.194
09:52:33.0,12364.101
09:52:34.0,12367.476
09:52:35.0,12362.761
09:52:36.0,12370.794
09:52:37.0,12364.715
09:52:38.0,12365.857
09:52:39.0,12383.429
09:52:40.0,12369.958
09:52:41.0,12374.683
09:52:42.0,12356.252
09:52:43.0,12380.161
09:52:44.0,12360.219
09:52:45.0,12375.07
09:52:46.0,12378.486
09:52:47.0,12373.892
09:52:48.0,12367.172
09:52:49.0,12367.565
09:52:50.0,12374.826
09:52:51.0,12363.875
09:52:52.0,12366.986
09:52:53.0,12340.496
09:52:54.0,12368.108
09:52:55.0,12347.494
09:52:56.0,12388.786
09:52:57.0,12376.542
09:52:58.0,12371.797
09:52:59.0,12367.008
09:53:00.0,12383.061
09:53:01.0,12370.919
09:53:02.0,12363.974
09:53:03.0,12364.977
09:53:04.0,12370.627
09:53:05.0,12384.62
09:53:06.0,12370.285
09:53:07.0,12390.19
09:53:08.0,12357.811
09:53:09.0,12383.597
09:53:10.0,12374.886
09:53:11.0,12373.87
09:53:12.0,12392.995
09:53:13.0,12359.435
09:53:14.0,12371.303
09:53:15.0,12372.031
09:53:16.0,12347.273
09:53:17.0,12378.954
09:53:18.0,12368.751
09:53:19.0,12351.212
09:53:20.0,12372.296
09:53:21.0,12368.174
09:53:22.0,12375.781
09:53:23.0,12364.21
09:53:24.0,12390.423
09:53:25.0,12375.757
09:53:26.0,12361.303
09:53:27.0,12371.662
09:53:28.0,12362.282
09:53:29.0,12368.304
09:53:30.0,12367.089
09:53:31.0,12358.28
09:53:32.0,12377.978
09:53:33.0,12368.052
09:53:34.0,12378.964
09:53:35.0,12360.594
09:53:36.0,12386.608
09:53:37.0,12349.144
09:53:38.0,12387.846
09:53:39.0,12361.464
09:53:40.0,12360.521
09:53:41.0,12369.933
09:53:42.0,12373.486
09:53:43.0,12355.872
09:53:44.0,12382.148
09:53:45.0,12359.515
09:53:46.0,12383.168
09:53:47.0,12379.346
09:53:48.0,12383.644
09:53:49.0,12374.219
09:53:50.0,12378.49
09:53:51.0,12364.676
09:53:52.0,12376.859
09:53:53.0,12369.872
09:53:54.0,12378.604
09:53:55.0,12373.433
09:53:56.0,12362.616
09:53:57.0,12366.885
09:53:58.0,12361.698
09:53:59.0,12369.196
09:54:00.0,12357.354
09:54:01.0,12383.556
09:54:02.0,12372.271
09:54:03.0,12373.266
09:54:04.0,12357.008
09:54:05.0,12387.12
09:54:06.0,12364.18
09:54:07.0,12371.243
09:54:08.0,12355.482
09:54:09.0,12371.042
09:54:10.0,12358.224
09:54:11.0,12360.738
09:54:12.0,12402.271
09:54:13.0,12420.79
09:54:14.0,12388.855
09:54:15.0,12336.202
09:54:16.0,12364.685
09:54:17.0,12350.592
09:54:18.0,12351.998
09:54:19.0,12350.875
09:54:20.0,12368.89
09:54:21.0,12388.569
09:54:22.0,12373.468
09:54:23.0,12353.897
09:54:24.0,12373.126
09:54:25.0,12355.224
09:54:26.0,12384.565
09:54:27.0,12392.022
09:54:28.0,12383.64
09:54:29.0,12374.07
09:54:30.0,12405.648
09:54:31.0,12372.531
09:54:32.0,12363.971
09:54:33.0,12375.301
09:54:34.0,12366.53
09:54:35.0,12375.55
09:54:36.0,12361.556
09:54:37.0,12375.23
09:54:38.0,12359.891
09:54:39.0,12362.543
09:54:40.0,12367.262
09:54:41.0,12352.188
09:54:42.0,12356.516
09:54:43.0,12360.976
09:54:44.0,12363.989
09:54:45.0,12388.702
09:54:46.0,12397.862
09:54:47.0,12393.482
09:54:48.0,12356.378
09:54:49.0,12359.85
09:54:50.0,12355.866
09:54:51.0,12375.64
09:54:52.0,12372.176
09:54:53.0,12381.984
09:54:54.0,12365.317
09:54:55.0,12374.799
09:54:56.0,12377.714
09:54:57.0,12375.362
09:54:58.0,12367.964
09:54:59.0,12358.495
09:55:00.0,12368.503
09:55:01.0,12368.844
09:55:02.0,12364.801
09:55:03.0,12376.922
09:55:04.0,12377.18
09:55:05.0,12364.212
09:55:06.0,12379.463
09:55:07.0,12371.249
09:55:08.0,12376.563
09:55:09.0,12364.564
09:55:10.0,12333.486
09:55:11.0,12369.356
09:55:12.0,12359.913
09:55:13.0,12382.708
09:55:14.0,12364.029
09:55:15.0,3743.75
09:55:16.0,0.249
09:55:17.0,0.253
09:55:18.0,0.237
09:55:19.0,0.253
09:55:20.0,0.237
09:55:21.0,0.252
09:55:22.0,0.251
09:55:23.0,0.25
09:55:24.0,0.245
09:55:25.0,0.248
09:55:26.0,0.251
09:55:27.0,0.252
09:55:28.0,0.25
