Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
16:04:46.0,0.0
16:04:47.0,0.229
16:04:48.0,0.238
16:04:49.0,0.25
16:04:50.0,0.235
16:04:51.0,0.249
16:04:52.0,0.237
16:04:53.0,0.251
16:04:54.0,0.25
16:04:55.0,0.252
16:04:56.0,0.249
16:04:57.0,0.252
16:04:58.0,0.252
16:04:59.0,0.25
16:05:00.0,4.464
16:05:01.0,0.25
16:05:02.0,0.25
16:05:03.0,0.253
16:05:04.0,0.248
16:05:05.0,0.315
16:05:06.0,0.375
16:05:07.0,0.251
16:05:08.0,0.248
16:05:09.0,0.315
16:05:10.0,0.251
16:05:11.0,0.252
16:05:12.0,0.249
16:05:13.0,0.239
16:05:14.0,0.251
16:05:15.0,0.248
16:05:16.0,0.252
16:05:17.0,508.404
16:05:18.0,3553.119
16:05:19.0,5659.57
16:05:20.0,6811.854
16:05:21.0,8756.473
16:05:22.0,9439.14
16:05:23.0,9321.661
16:05:24.0,8493.581
16:05:25.0,9431.133
16:05:26.0,9205.396
16:05:27.0,9270.688
16:05:28.0,9558.435
16:05:29.0,8619.418
16:05:30.0,8715.169
16:05:31.0,9241.367
16:05:32.0,9162.288
16:05:33.0,8526.733
16:05:34.0,8135.217
16:05:35.0,8731.406
16:05:36.0,8183.433
16:05:37.0,8093.257
16:05:38.0,8358.238
16:05:39.0,8475.408
16:05:40.0,8462.59
16:05:41.0,8486.875
16:05:42.0,8349.603
16:05:43.0,8172.213
16:05:44.0,8316.89
16:05:45.0,8633.87
16:05:46.0,8340.538
16:05:47.0,8057.793
16:05:48.0,8745.33
16:05:49.0,9097.931
16:05:50.0,8699.985
16:05:51.0,6844.863
16:05:52.0,7150.59
16:05:53.0,6639.522
16:05:54.0,5881.153
16:05:55.0,5787.131
16:05:56.0,6523.418
16:05:57.0,6304.702
16:05:58.0,6737.559
16:05:59.0,7054.684
16:06:00.0,6877.746
16:06:01.0,8033.837
16:06:02.0,8277.718
16:06:03.0,6829.184
16:06:04.0,6623.619
16:06:05.0,5750.164
16:06:06.0,5281.625
16:06:07.0,5457.511
16:06:08.0,5830.541
16:06:09.0,7448.026
16:06:10.0,8025.818
16:06:11.0,7139.093
16:06:12.0,8216.366
16:06:13.0,7527.547
16:06:14.0,7866.389
16:06:15.0,8088.222
16:06:16.0,8067.002
16:06:17.0,7643.835
16:06:18.0,8189.613
16:06:19.0,8500.668
16:06:20.0,8226.616
16:06:21.0,8062.284
16:06:22.0,8722.478
16:06:23.0,8466.366
16:06:24.0,8231.046
16:06:25.0,8094.795
16:06:26.0,8402.909
16:06:27.0,7920.238
16:06:28.0,8221.012
16:06:29.0,7804.176
16:06:30.0,7687.625
16:06:31.0,7738.803
16:06:32.0,6715.901
16:06:33.0,6645.779
16:06:34.0,6358.745
16:06:35.0,5357.793
16:06:36.0,4710.176
16:06:37.0,5188.033
16:06:38.0,5098.082
16:06:39.0,6087.741
16:06:40.0,6586.044
16:06:41.0,6792.689
16:06:42.0,6967.744
16:06:43.0,6200.916
16:06:44.0,6622.674
16:06:45.0,6093.286
16:06:46.0,5720.6
16:06:47.0,5915.157
16:06:48.0,5263.633
16:06:49.0,5335.123
16:06:50.0,5637.875
16:06:51.0,6396.351
16:06:52.0,6457.329
16:06:53.0,6778.813
16:06:54.0,7884.603
16:06:55.0,8018.615
16:06:56.0,8467.737
16:06:57.0,8326.169
16:06:58.0,8354.865
16:06:59.0,8297.798
16:07:00.0,8444.076
16:07:01.0,7879.227
16:07:02.0,7830.092
16:07:03.0,7409.329
16:07:04.0,7166.986
16:07:05.0,8089.517
16:07:06.0,7464.416
16:07:07.0,6595.847
16:07:08.0,6302.056
16:07:09.0,5918.596
16:07:10.0,4995.733
16:07:11.0,5387.221
16:07:12.0,6725.813
16:07:13.0,7399.431
16:07:14.0,7295.761
16:07:15.0,7440.907
16:07:16.0,7761.377
16:07:17.0,7645.471
16:07:18.0,7137.637
16:07:19.0,7715.848
16:07:20.0,6525.131
16:07:21.0,7842.302
16:07:22.0,7520.504
16:07:23.0,7035.643
16:07:24.0,7949.96
16:07:25.0,8174.152
16:07:26.0,7477.156
16:07:27.0,7753.6
16:07:28.0,7757.044
16:07:29.0,7602.046
16:07:30.0,8448.576
16:07:31.0,7458.865
16:07:32.0,8095.423
16:07:33.0,7770.449
16:07:34.0,7872.459
16:07:35.0,8606.607
16:07:36.0,6519.278
16:07:37.0,4336.852
16:07:38.0,4493.052
16:07:39.0,2554.125
16:07:40.0,2332.821
16:07:41.0,3033.596
16:07:42.0,2653.142
16:07:43.0,2455.814
16:07:44.0,4116.981
16:07:45.0,5599.517
16:07:46.0,5792.084
16:07:47.0,7380.419
16:07:48.0,7544.624
16:07:49.0,8009.123
16:07:50.0,8060.308
16:07:51.0,7882.631
16:07:52.0,7814.982
16:07:53.0,7916.423
16:07:54.0,7788.579
16:07:55.0,7031.382
16:07:56.0,7954.473
16:07:57.0,7693.409
16:07:58.0,8149.681
16:07:59.0,7583.253
16:08:00.0,6574.646
16:08:01.0,0.242
16:08:02.0,0.237
16:08:03.0,0.25
16:08:04.0,0.25
