Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
16:16:19.0,0.0
16:16:20.0,0.231
16:16:21.0,0.252
16:16:22.0,0.238
16:16:23.0,0.252
16:16:24.0,0.248
16:16:25.0,4.397
16:16:26.0,0.252
16:16:27.0,0.253
16:16:28.0,0.25
16:16:29.0,0.252
16:16:30.0,0.252
16:16:31.0,0.378
16:16:32.0,0.248
16:16:33.0,0.248
16:16:34.0,0.239
16:16:35.0,0.241
16:16:36.0,0.251
16:16:37.0,0.252
16:16:38.0,0.253
16:16:39.0,0.249
16:16:40.0,0.253
16:16:41.0,609.881
16:16:42.0,202.129
16:16:43.0,394.382
16:16:44.0,420.216
16:16:45.0,194.659
16:16:46.0,346.879
16:16:47.0,311.632
16:16:48.0,393.358
16:16:49.0,505.747
16:16:50.0,504.405
16:16:51.0,484.064
16:16:52.0,348.116
16:16:53.0,585.784
16:16:54.0,561.94
16:16:55.0,517.912
16:16:56.0,643.397
16:16:57.0,573.896
16:16:58.0,496.939
16:16:59.0,724.683
16:17:00.0,461.782
16:17:01.0,475.711
16:17:02.0,686.436
16:17:03.0,341.128
16:17:04.0,451.91
16:17:05.0,383.076
16:17:06.0,547.995
16:17:07.0,594.824
16:17:08.0,441.456
16:17:09.0,684.499
16:17:10.0,590.613
16:17:11.0,503.837
16:17:12.0,426.831
16:17:13.0,699.105
16:17:14.0,434.804
16:17:15.0,389.389
16:17:16.0,390.343
16:17:17.0,487.55
16:17:18.0,545.381
16:17:19.0,777.46
16:17:20.0,603.966
16:17:21.0,397.198
16:17:22.0,643.223
16:17:23.0,580.278
16:17:24.0,651.223
16:17:25.0,468.629
16:17:26.0,645.771
16:17:27.0,589.625
16:17:28.0,434.473
16:17:29.0,704.019
16:17:30.0,578.014
16:17:31.0,497.502
16:17:32.0,631.26
16:17:33.0,592.747
16:17:34.0,483.863
16:17:35.0,558.271
16:17:36.0,669.207
16:17:37.0,385.915
16:17:38.0,358.638
16:17:39.0,472.744
16:17:40.0,638.744
16:17:41.0,363.175
16:17:42.0,723.022
16:17:43.0,487.182
16:17:44.0,678.176
16:17:45.0,441.266
16:17:46.0,601.973
16:17:47.0,556.067
16:17:48.0,526.481
16:17:49.0,716.431
16:17:50.0,623.091
16:17:51.0,434.285
16:17:52.0,687.727
16:17:53.0,598.492
16:17:54.0,579.71
16:17:55.0,520.846
16:17:56.0,723.163
16:17:57.0,569.452
16:17:58.0,452.15
16:17:59.0,627.478
16:18:00.0,647.115
16:18:01.0,551.139
16:18:02.0,670.812
16:18:03.0,414.452
16:18:04.0,638.478
16:18:05.0,460.279
16:18:06.0,609.799
16:18:07.0,599.747
16:18:08.0,481.45
16:18:09.0,634.568
16:18:10.0,391.041
16:18:11.0,522.264
16:18:12.0,789.952
16:18:13.0,685.8
16:18:14.0,364.216
16:18:15.0,616.291
16:18:16.0,567.911
16:18:17.0,547.842
16:18:18.0,689.911
16:18:19.0,557.295
16:18:20.0,563.702
16:18:21.0,700.301
16:18:22.0,631.958
16:18:23.0,602.783
16:18:24.0,521.275
16:18:25.0,664.181
16:18:26.0,611.352
16:18:27.0,567.174
16:18:28.0,625.688
16:18:29.0,620.729
16:18:30.0,569.362
16:18:31.0,372.493
16:18:32.0,742.67
16:18:33.0,478.058
16:18:34.0,564.384
16:18:35.0,413.744
16:18:36.0,646.061
16:18:37.0,592.565
16:18:38.0,423.603
16:18:39.0,649.277
16:18:40.0,586.82
16:18:41.0,432.296
16:18:42.0,711.222
16:18:43.0,530.655
16:18:44.0,485.132
16:18:45.0,629.131
16:18:46.0,650.245
16:18:47.0,444.372
16:18:48.0,670.827
16:18:49.0,589.373
16:18:50.0,587.234
16:18:51.0,434.777
16:18:52.0,675.757
16:18:53.0,584.894
16:18:54.0,422.045
16:18:55.0,788.355
16:18:56.0,379.875
16:18:57.0,451.154
16:18:58.0,626.179
16:18:59.0,693.127
16:19:00.0,567.816
16:19:01.0,670.273
16:19:02.0,589.321
16:19:03.0,536.425
16:19:04.0,688.748
16:19:05.0,552.581
16:19:06.0,496.817
16:19:07.0,587.079
16:19:08.0,590.95
16:19:09.0,390.509
16:19:10.0,492.164
16:19:11.0,587.277
16:19:12.0,667.822
16:19:13.0,612.036
16:19:14.0,412.51
16:19:15.0,711.252
16:19:16.0,571.038
16:19:17.0,558.651
16:19:18.0,621.055
16:19:19.0,498.931
16:19:20.0,325.575
16:19:21.0,712.43
16:19:22.0,730.034
16:19:23.0,338.914
16:19:24.0,689.713
16:19:25.0,327.069
16:19:26.0,28.073
16:19:27.0,0.238
16:19:28.0,0.25
16:19:29.0,0.239
16:19:30.0,0.254
