Elapsed time,192.168.46.15 Network I/O unit=kb:bytessent
15:31:57.0,0.0
15:31:58.0,0.241
15:31:59.0,0.238
15:32:00.0,0.248
15:32:01.0,0.25
15:32:02.0,0.251
15:32:03.0,0.235
15:32:04.0,0.243
15:32:05.0,1037.16
15:32:06.0,8988.333
15:32:07.0,12017.816
15:32:08.0,11973.059
15:32:09.0,12003.46
15:32:11.0,11973.038
15:32:12.0,11995.413
15:32:13.0,11991.518
15:32:14.0,12008.68
15:32:15.0,11996.849
15:32:16.0,11979.658
15:32:17.0,12026.945
15:32:18.0,11982.376
15:32:19.0,11994.149
15:32:20.0,12007.606
15:32:21.0,11990.923
15:32:22.0,12023.628
15:32:23.0,11982.586
15:32:24.0,12006.461
15:32:25.0,12008.366
15:32:26.0,12006.582
15:32:27.0,12005.92
15:32:28.0,12008.015
15:32:29.0,12005.638
15:32:30.0,12006.738
15:32:31.0,12004.29
15:32:32.0,11994.217
15:32:33.0,12009.712
15:32:34.0,11993.58
15:32:35.0,12007.947
15:32:36.0,12007.492
15:32:37.0,12011.96
15:32:38.0,12001.311
15:32:39.0,11982.517
15:32:40.0,12002.245
15:32:41.0,12007.997
15:32:42.0,12003.551
15:32:43.0,12006.029
15:32:44.0,12008.889
15:32:45.0,12009.238
15:32:46.0,12016.597
15:32:47.0,11985.579
15:32:48.0,12007.765
15:32:49.0,11997.509
15:32:50.0,12011.197
15:32:51.0,12018.703
15:32:52.0,11984.963
15:32:53.0,12010.835
15:32:54.0,11996.203
15:32:55.0,12007.95
15:32:56.0,12031.405
15:32:57.0,12011.181
15:32:58.0,12013.11
15:32:59.0,12002.743
15:33:00.0,12010.578
15:33:01.0,12006.497
15:33:02.0,11999.022
15:33:03.0,12014.588
15:33:04.0,12014.998
15:33:05.0,12000.784
15:33:06.0,12011.297
15:33:07.0,12000.462
15:33:08.0,12012.83
15:33:09.0,11996.895
15:33:10.0,12003.964
15:33:11.0,12012.434
15:33:12.0,12000.802
15:33:13.0,12008.643
15:33:14.0,12000.005
15:33:15.0,12008.596
15:33:16.0,12009.544
15:33:17.0,12000.234
15:33:18.0,12009.754
15:33:19.0,12018.002
15:33:20.0,11985.838
15:33:21.0,12008.067
15:33:22.0,11998.197
15:33:23.0,12010.513
15:33:24.0,11996.619
15:33:25.0,12011.588
15:33:26.0,12012.363
15:33:27.0,12001.01
15:33:28.0,12012.846
15:33:29.0,11997.59
15:33:30.0,12012.164
15:33:31.0,12010.784
15:33:32.0,12009.0
15:33:33.0,12009.776
15:33:34.0,11996.507
15:33:35.0,12011.267
15:33:36.0,12011.184
15:33:37.0,12011.134
15:33:38.0,12005.515
15:33:39.0,12008.11
15:33:40.0,11997.903
15:33:41.0,12009.007
15:33:42.0,11997.922
15:33:43.0,12009.715
15:33:44.0,12011.68
15:33:45.0,11996.552
15:33:46.0,12009.667
15:33:47.0,12021.047
15:33:48.0,11984.537
15:33:49.0,12010.766
15:33:50.0,11998.792
15:33:51.0,12010.648
15:33:52.0,11996.872
15:33:53.0,12010.881
15:33:54.0,12008.413
15:33:55.0,12009.78
15:33:56.0,12029.812
15:33:57.0,11988.002
15:33:58.0,11997.832
15:33:59.0,12009.576
15:34:00.0,11999.911
15:34:01.0,12009.831
15:34:02.0,12010.275
15:34:03.0,11997.331
15:34:04.0,12009.967
15:34:05.0,11999.338
15:34:06.0,12005.412
15:34:07.0,12009.736
15:34:08.0,12010.262
15:34:09.0,12009.417
15:34:10.0,12010.967
15:34:11.0,11994.454
15:34:12.0,12011.21
15:34:13.0,12013.92
15:34:14.0,12013.205
15:34:15.0,12034.322
15:34:16.0,11987.577
15:34:17.0,12000.555
15:34:18.0,12009.788
15:34:19.0,11998.353
15:34:20.0,12012.408
15:34:21.0,12000.945
15:34:22.0,12010.874
15:34:23.0,12013.372
15:34:24.0,12012.467
15:34:25.0,12005.905
15:34:26.0,12010.062
15:34:27.0,12010.83
15:34:28.0,12010.325
15:34:29.0,11999.269
15:34:30.0,12009.876
15:34:31.0,12000.071
15:34:32.0,12013.166
15:34:33.0,12001.478
15:34:34.0,12031.775
15:34:35.0,11986.932
15:34:36.0,12000.555
15:34:37.0,12012.978
15:34:38.0,11996.502
15:34:39.0,12009.049
15:34:40.0,12010.814
15:34:41.0,12017.184
15:34:42.0,12014.016
15:34:43.0,11880.687
15:34:44.0,11984.709
15:34:45.0,12007.585
15:34:46.0,11993.825
15:34:47.0,12004.658
15:34:48.0,12006.691
15:34:49.0,11998.282
15:34:50.0,12008.046
15:34:51.0,11996.275
15:34:52.0,12008.568
15:34:53.0,12007.088
15:34:54.0,11997.65
15:34:55.0,12011.151
15:34:56.0,11996.896
15:34:57.0,12012.072
15:34:58.0,12014.353
15:34:59.0,12013.764
15:35:00.0,12013.121
15:35:01.0,12001.492
15:35:02.0,12029.226
15:35:03.0,12011.883
15:35:04.0,12001.035
15:35:05.0,12012.414
15:35:06.0,9642.958
15:35:07.0,0.242
15:35:08.0,0.249
15:35:09.0,0.238
15:35:10.0,0.238
15:35:11.0,0.25
15:35:12.0,0.252
15:35:13.0,0.237
15:35:14.0,0.238
15:35:15.0,0.25
15:35:16.0,0.301
15:35:17.0,0.25
15:35:18.0,0.252
15:35:19.0,0.25
15:35:20.0,0.252
15:35:21.0,0.246
15:35:22.0,0.247
15:35:23.0,0.25
